id,price,moonRank,💎 score (%),storeURL,Background,Direction,Element,Hat,House,Mask Eyes,Mouth,Nose Eyes,Sign,Skin
1763,1.77,2064,49.19,https://magiceden.io/item-details/4sjfsKZgc5Vrsr5rBP36PBYG8PsPqQYdk7p9g4PiJ9zf,Background 26,,Fire,Hat 18,7th House,Mask Eyes 33,Mouth 8,Nose Eyes 14,Pisces,Skin 25
1769,0.65,533,88.58,https://magiceden.io/item-details/AnxCtkHP2CgFqc8M945qjjxZB6nT4R77z77gn4CSJF4B,Background 42,,Fire,Hat 32,2nd House,Mask Eyes 25,Mouth 21,Nose Eyes 20,Pisces,Skin 30
1774,1,286,89.63,https://magiceden.io/item-details/9Zn5LQPoUtvLCMADnRqvz36Bjuw7Ebe9d4bKXux33FJs,Background 47,,Fire,Hat 36,7th House,Mask Eyes 13,Mouth 12,Nose Eyes 27,Capricorn,Skin 5
1784,1,1417,68.8,https://magiceden.io/item-details/3GEQRAGqAWWbQUNFPnvkPp4f7VQAgtvuSE7ftaQ819Ya,Background 49,,Air,Hat 6,8th House,Mask Eyes 29,Mouth 14,Nose Eyes 31,Cancer,Skin 44
1789,1,1226,72.32,https://magiceden.io/item-details/2Z6gu7ALzrGnCefoXyXyffm1UWkZueBRqQzF6EKT9LfK,Background 39,,Earth,Hat 38,3rd House,Mask Eyes 28,Mouth 38,Nose Eyes 14,Sagittarius,Skin 25
1796,1,673,82.51,https://magiceden.io/item-details/6wmnUW4CbV71iBBkBwJSZB1nVCpY6S9UMx8V8r5Whc6S,Background 66,,Earth,Hat 40,5th House,Mask Eyes 44,Mouth 36,Nose Eyes 1,Scorpio,Skin 48
1803,2.5,619,68.5,https://magiceden.io/item-details/CSvzeub5ionvGdgqeqAgNo6PzZhNNTPxyDoaNbTdEVyV,Background 53,,Earth,Hat 44,8th House,Mask Eyes 42,Mouth 39,Nose Eyes 27,Virgo,Skin 40
1827,10,1874,0,https://magiceden.io/item-details/mWX3AJrmG4CZvW8uuNd2wVTbKp1BS4iw1XTJpCL7uoT,Background 81,,Air,Hat 53,11th House,Mask Eyes 7,Mouth 18,Nose Eyes 14,Gemini,Skin 50
1866,0.85,1420,70.25,https://magiceden.io/item-details/FMjCkfh1JYBLF7JWsyGXitbHvai7FZaphfAZtTXH8d45,Background 33,,Water,Hat 47,12th House,Mask Eyes 62,Mouth 11,Nose Eyes 35,Virgo,Skin 8
1872,1,2116,55.93,https://magiceden.io/item-details/GEXXsWfPmUoUoXZrCAhZPCZVus3PHKNpwkyh91c1arFG,Background 46,,Air,Hat 28,10th House,Mask Eyes 47,Mouth 3,Nose Eyes 28,Gemini,Skin 39
1880,2.5,188,76.44,https://magiceden.io/item-details/BW3BNBzfgoaSUtDoHa4UFUcrsFXT2mKYxXMgywf3Zi2X,Background 294,West,Air,Hat 219,1st House,Mask Eyes 208,Mouth 122,Nose Eyes 123,Sagittarius,Skin 600
1966,1.5,1991,53.23,https://magiceden.io/item-details/CgetWTgTWX5EF4nzCdJqjKnGtsqa1fWdASewPuAMHESq,Background 64,,Earth,Hat 17,1st House,Mask Eyes 55,Mouth 12,Nose Eyes 11,Sagittarius,Skin 30
1990,1.32,2096,53.1,https://magiceden.io/item-details/58F7ChXyAKKnoXkw1o1aDYE8uGvw8ZsqacaJMMMw7pcZ,Background 50,,Earth,Hat 29,8th House,Mask Eyes 44,Mouth 9,Nose Eyes 5,Aquarius,Skin 26
2004,1,691,82.17,https://magiceden.io/item-details/AFza816DDn13p8QaLn99gZQzAUDkFufYaj1NhYNiyDco,Background 59,,Air,Hat 16,6th House,Mask Eyes 57,Mouth 38,Nose Eyes 27,Leo,Skin 32
2025,1.67,493,79.12,https://magiceden.io/item-details/8cvTV7BMzwHf8zRjAejTkLrgFgHsfBZ6xmW8UXotoVJR,Background 65,,Water,Hat 5,4th House,Mask Eyes 53,Mouth 6,Nose Eyes 16,Cancer,Skin 58
2061,2.5,1308,55.81,https://magiceden.io/item-details/DjoMCxoYJhuCQWxk1wHgqdhji82cKRsk55LFeTDtM5Hp,Background 14,,Earth,Hat 16,2nd House,Mask Eyes 12,Mouth 21,Nose Eyes 19,Leo,Skin 41
2069,0.58,1045,79.86,https://magiceden.io/item-details/1MEnghdLKwnr6SELC8dPfSP5eKWkjdc4qhDvoybg2Su,Background 50,,Air,Hat 41,8th House,Mask Eyes 11,Mouth 7,Nose Eyes 2,Scorpio,Skin 36
2099,2.85,1511,48.57,https://magiceden.io/item-details/Hu7JmkqhhSQXRHWezX1Mz6DRUU9x2HxutgbxgF7dnjFA,Background 74,,Fire,Hat 10,2nd House,Mask Eyes 24,Mouth 39,Nose Eyes 10,Sagittarius,Skin 22
2143,2.8,305,71.28,https://magiceden.io/item-details/5TJV7xfbC7MNynABGAAaTEsBXbYWB5f2DqRCMvniQxsG,Background 42,,Fire,Hat 27,2nd House,Mask Eyes 57,Mouth 5,Nose Eyes 3,Taurus,Skin 28
2145,0.55,1160,78.04,https://magiceden.io/item-details/FxjjWUgwciudz57XjAYavTPeGKdY8fC8sUdfS5b1AXLL,Background 51,,Fire,Hat 53,8th House,Mask Eyes 37,Mouth 26,Nose Eyes 7,Sagittarius,Skin 30
2151,14,14,0,https://magiceden.io/item-details/41hhGHQnQmra96nJTESv1iS2iTxyYguyn6EXMs1S3V3C,Background 170,East,Earth,Hat 165,7th House,Mask Eyes 187,Mouth 119,Nose Eyes 89,Gemini,Skin 135
2165,3,1174,53.28,https://alpha.art/t/6LyqBKvZJjXML8TS1562X7rvsf1XStV7chXAPpr5uzLg,Background 5,,Fire,Hat 48,11th House,Mask Eyes 7,Mouth 36,Nose Eyes 34,Cancer,Skin 55
2173,1.7,1612,58.21,https://magiceden.io/item-details/Gg6N2Ba4KtgzJnammFGntJkFRVxmkFseGWmC3Y74HwfB,Background 16,,Air,Hat 18,3rd House,Mask Eyes 64,Mouth 40,Nose Eyes 12,Aries,Skin 23
2200,500,2017,0,https://magiceden.io/item-details/Co8BSvadnkU6TiaGUBFiRZdHrxydmEh9aXs7QFjhwz2P,Background 37,,Water,Hat 10,10th House,Mask Eyes 6,Mouth 16,Nose Eyes 30,Libra,Skin 63
