id,price,moonRank,💎 score (%),storeURL,accessory,background,beak,brick,clothing,ears,eyes,feathers,hat,item
408,0.6,5106,63.39,https://magiceden.io/item-details/6ESbWzuzWmQzpaXtqCuV3LLCzLtJ4J8bxLeqGUYjrHoE,none,rose,normal,,interview,gold,squinting,white,red-baseball-cap,none
413,0.44,3726,73.37,https://magiceden.io/item-details/G2BmbN8iWo8YfaBYZgxfstnAqtk1EE1RWqxyfoA24kQb,fang,blue,blue,,none,none,really-close,yellow,space-cadet,none
427,0.6,2025,82.1,https://magiceden.io/item-details/CWMSwgU6KsN9GFPHpHuaksquV4KeeJJEMRSqNm9rBqRx,cig,blue,glow-up,,jail,hoop,normal,yellow,athlete,none
446,0.18,721,94.22,https://magiceden.io/item-details/4mLNXxCPLkxk8uqLfArgVz9XdwiUWr6b3tvvA95V8uWt,none,forest,brown,,collar,gold,nerd,yellow,devo-touque,red-power-meter
453,0.9,3863,67.94,https://magiceden.io/item-details/8MSvrx3JbghTi2DTqGcdoUNQjfGxbqoj942WciENezxi,none,forest,blue,,choker,ruby,normal,white,black-touque,none
491,0.74,5054,62.31,https://magiceden.io/item-details/HPhkGqeM1prn7xEnBhJv7CXkxXTCFRKXB53QgouvFike,none,blue,blue,,intergalactic-suspenders,none,squinting,pink,black-touque,none
502,0.8,1125,85.57,https://magiceden.io/item-details/YnJ8fLg2kQyo4E2FhbJNSZVdR5pT4dGoE4PeXjc267q,none,rose,normal,,green-T,gold,really-close,blue,black-touque,red-power-meter
514,0.35,1993,84.8,https://magiceden.io/item-details/9CVjcpuaZL7wpTCQDuDtj4Fj5uBTVVFuSSjRuRev9FpZ,none,solana,blue,,honest-work-overalls,none,kiss,yellow,none,monocle
535,0.2,811,93.48,https://magiceden.io/item-details/Bm7Ugpkhvq6no7Hqzkwhrnoi7D4JXEhB6zFRBWg2p121,pipe,hardboiled,brown,,none,gold,really-close,yellow,green-touque,monocle
549,0.5,334,93.37,https://magiceden.io/item-details/BWPkHf9zTuhNht8W7Tz4LBz5oUBvEGtK9Em6xCWTYZnZ,cig,polkadot,pink,,blue-trekkie,none,half-moon,minty,santa-hat,none
555,0.5,3638,73.31,https://alpha.art/t/DZSTGYw2Ti1fXZDxyBTGY2dcHxpCqfk5RaKmrG2Aybtj,cig,peach,normal,,interview,ruby,t,yellow,none,none
556,0.15,4030,74.43,https://magiceden.io/item-details/2RXPVd5u8f5Z2Y64bma4GQpe48v7zqdjKJWKr7g6MR4o,none,forest,normal,,none,gold,normal,pink,cyborg,none
561,0.25,2936,80.07,https://magiceden.io/item-details/2Af9bzTwKauN4RttHijoNUmpKwe9mgkGV4XQg738PGQH,kissed,blue,brown,,none,ruby,normal,yellow,green-touque,none
565,0.14,5220,67.3,https://alpha.art/t/3hfPK3uYa8sLgShcMeiADFkmoTbTNQpk6cEQTuz1wkXW,none,eggplant,glow-up,,none,none,baked,blue,none,none
570,0.42,2278,82.37,https://alpha.art/t/Fg6ae2MqSznoccL3BdFqaTcgRFLWxYMF6HXH9iqyN1Ga,pipe,eggplant,normal,,punk,none,normal,yellow,paper,monocle
573,0.1,6019,62.85,https://magiceden.io/item-details/HbZJKzokU23fGVyPLZxqw3bbbLtZQ5Ge9qGFKA13zAYr,none,forest,pika,,jail,none,half-moon,yellow,none,none
574,0.5,4687,66.94,https://magiceden.io/item-details/297Vkj9bdqEdEFD89VvCRpNWRwcBzxd4NGEGh4b7hd1X,none,rose,chad,,green-T,gold,squinting,yellow,none,none
600,0.75,1770,82.15,https://magiceden.io/item-details/9jHzNcQ77oiJZrmhLHiTXC9123aYSLv6Dk5z6fektmgz,none,eggplant,pika,,intergalactic-suspenders,none,kiss,yellow,none,vr-heartbeat
603,0.7,6194,55.79,https://magiceden.io/item-details/4sdNuukYtRAzvA5wTH2nEZmkGNXAEfGsd1CAHEcGQeUr,cig,rose,normal,,punk,none,normal,yellow,none,none
606,0.1,3477,78.29,https://magiceden.io/item-details/E1h628hkS2mrws41ua2AFe7S7S9uCk7PjemBCn1Epawy,cig,blue,blue,,none,none,ditto,yellow,devo-touque,eyepatch
627,0.08,4548,71.98,https://magiceden.io/item-details/D1P9dbb9gEref38WgY4mTKbLrQ9A4cFHPKEZHDUskkdZ,none,hardboiled,blue,,blue-trekkie,none,really-close,yellow,red-baseball-cap,none
629,0.05,6234,62.04,https://magiceden.io/item-details/8h48vA6NqxQNj12gU1rgHKZDZrKUnFMaDZb5Byz8hrJT,none,eggplant,glow-up,,none,none,squinting,yellow,crown-jewel,none
658,0.04,2169,86.83,https://magiceden.io/item-details/4LbjYg8imNUd9UPsM7GjByzhR6GC6U8cSjPFuWhKdoFY,none,forest,normal,,stitches,none,kiss,yellow,blue-baseball-cap,vr-blockchain
664,0.35,1726,86.42,https://magiceden.io/item-details/7hJKiihH2mzfPPHEyXMgjhobkHEXUkMbmFbUfRcg9opk,vape,eggplant,pink,,interview,none,ditto,yellow,green-touque,eyepatch
674,0.04,4666,71.67,https://magiceden.io/item-details/41pFZFZe3VnXJ2H754viHpybFb8XDscqbpzzVsTzrYUf,none,mango,blue,,punk,none,normal,white,green-touque,none
676,0.29,3545,75.97,https://magiceden.io/item-details/DhcYxCoue2hVYVmReKQ7hxB2HmTfonYps5kLqtHEMtgw,vape,peach,normal,,blue-sweater,none,squinting,white,cake,none
680,0.4,3750,73.63,https://alpha.art/t/8Xc1ww1WcU7cqAq9mdpebAmpHFEdFhTe4DAm7Yj6EQaG,none,peach,pink,,none,gold,grandpa,yellow,crown,none
681,0.35,1054,90.5,https://magiceden.io/item-details/FVBesRzdNNnhYQgqntZUvRF5mCo5E5sNJFsEw7VsxHcR,pipe,blue,pika,,green-T,none,t,yellow,rambo,monocle
684,0.04,2122,87.11,https://magiceden.io/item-details/EVqDUcpLPM3L2KdwkxqGDqaxktZLY4tC55NkfMx4QpTz,kissed,eggplant,chad,,none,none,half-moon,minty,blue-baseball-cap,none
719,0.5,3740,72.69,https://magiceden.io/item-details/6n9JFYFu1jGmxW1CZQodAM8fgMvaxrEHRLFofXyxcSxd,none,blue,pink,,green-T,none,squinting,blue,pumpkin,none
720,0.55,5429,61.93,https://magiceden.io/item-details/Aw4ZkHwvJxYZQ241Q6MPFueBWSMCrNb1eYkQMU9EBgZK,none,blue,glow-up,,none,none,nerd,pink,paper,none
743,0.15,2331,84.74,https://magiceden.io/item-details/74uR1jZLTUJG3v7uezED1gHQPaYee2FvGjRTSUduXHNh,pipe,forest,normal,,skater,none,tired,pink,brains,none
747,0.5,941,89.69,https://magiceden.io/item-details/3NjuGBFrKDkVQkyutyyVZxs9QaWf3EfHjnj79sa9jKc9,kissed,blue,pika,,skater,none,t,yellow,all-seeing-eye,eyepatch
751,0.11,6400,60.44,https://magiceden.io/item-details/GdWSroC7wCyuNu78NfxDrrDNNSTpsgEbiBpbzgkQt7rS,none,eggplant,brown,,interview,none,normal,white,none,none
762,0.4,2924,78.64,https://magiceden.io/item-details/C5Cg4HVoqDgwdTiTgg64sX9kZXc2cUL5rybWNQbPBnN2,vape,blue,blue,,stitches,none,t,minty,none,none
765,0.24,2589,82.28,https://magiceden.io/item-details/xKHjfLZtvjfWqREFQyGaRffW1xj6feH9uqcJ2bKkb4H,none,eggplant,earth,,skater,none,really-close,pink,toddler,eyepatch
772,0.45,3843,72.56,https://magiceden.io/item-details/iN61PSYQm3zLqVeeReL5vU4BqKfb2LXDTQXDqT1aUQf,none,peach,normal,,frankenduck,gold,ditto,yellow,rambo,none
791,0.5,1572,85.85,https://magiceden.io/item-details/9eQWgsjRG4CuTKEs1ouFFm9CDc1W9NjNokm7uZKx6AkB,none,peach,glow-up,,blue-sweater,none,normal,blue,cake,monocle
794,0.5,1410,86.84,https://magiceden.io/item-details/33Caee1WdwjKXHfFYMAXDtGijGpQDXGbEr48mNATufD2,none,hardboiled,earth,,nipples,none,grandpa,blue,crown-jewel,none
805,0.5,1209,88.06,https://magiceden.io/item-details/97bibMxX6B3JyrB3xGty5AYF4dakUCHQyXPgBK161nia,juice,peach,pink,,honest-work-overalls,ruby,half-moon,white,none,none
817,0.399,2753,79.69,https://magiceden.io/item-details/8qnktKRSj8TSQG2pU37cxj4ZQ8CBkZPxQisJT2DRW8BJ,kissed,rose,brown,,red-sweater,none,normal,yellow,none,eyepatch
823,0.83,4212,66.52,https://magiceden.io/item-details/AFw1oVFr19vEY8Rct2N6wRcbP2S2aCiLtZbmrJDAeWfS,kissed,peach,blue,,honest-work-overalls,none,squinting,yellow,black-touque,none
825,0.66,2867,76.39,https://magiceden.io/item-details/6apGxe3ijLBGCNEpHsWbAr7vcvF5144QmvMQpU3yS81m,cig,peach,normal,,none,none,nerd,yellow,devo-touque,subordinate
850,0.11,2284,85.43,https://magiceden.io/item-details/EdkJwZzNPd3oD9mMAaejtYs9t6tQ6eaTJmFEowmnaPRB,pipe,brick,earth,,none,none,tired,white,devil,none
852,0.15,6525,59.28,https://magiceden.io/item-details/DwAUiZeQCXBuDHVpBJ9xSFZNHqrddb2SHkTYwHSC5Rd2,none,blue,blue,,none,none,normal,yellow,black-touque,none
858,0.1,1921,87.73,https://alpha.art/t/7tL3wAGcjDo922pNBoJwdvE1nmVGFuUuhQVD1gpa4oHA,cig,blue,glow-up,,frankenduck,gold,normal,blue,toddler,none
883,0.5,3495,74.18,https://magiceden.io/item-details/9zUqrrUx38stc4wMagqPNFFov9nMGhFk7Ewxb4vivsMv,none,forest,glow-up,,punk,none,t,blue,cake,none
893,0.1,2975,81.33,https://magiceden.io/item-details/4TrQuyJoexFTjSizZJyi5pgA6ujnmD88tUHx5BuPGo8m,none,night-sky,normal,,nipples,none,normal,white,toddler,eyepatch
901,0.5,766,90.75,https://magiceden.io/item-details/Qx7qrGc9ovkdoHFnHe4uuMz9YFDzo7bh5qwzeg8eJJG,cig,forest,thanos,,none,none,normal,yellow,cake,eyepatch
940,0.2,1691,88.13,https://magiceden.io/item-details/5bTFrQC6xg8D34qpj4pTtj8sriqWTPp4e8JQC6PcgpoF,pipe,eggplant,glow-up,,choker,none,baked,minty,none,none
941,0.098,1681,89.21,https://magiceden.io/item-details/Dq5eruowzxEWdLocEGMM8E2SdBBiL7ciBfX8bypybDfc,none,blue,pink,,honest-work-overalls,none,squinting,pink,brains,red-power-meter
