id,price,moonRank,💎 score (%),storeURL,Background,Body,Ears,Eyes,Head,Mouth
3146,1.25,2941,62.68,https://magiceden.io/item-details/AvTcbeS4dssgzhUAsgCaxEmjPp6ViR3ppdodSXa7BX9q,Cream,Brown,Nothing,Nothing,Military Hat,Nothing
3155,2.3,1050,75.02,https://magiceden.io/item-details/Eoj4bAwssbbN6PbG3Pts8NDvUV4qM1kxSokG8GTj6xFf,City,Black,Nothing,Nothing,Usanka,Blunt
3181,10,3098,0,https://magiceden.io/item-details/ASNJcdvh6NmrWHPscujQTkvtWbLxEAoqGv1FK9kfK6qW,Psychedelic,Cyan,Nothing,Nothing,Nothing,Jaws
3196,2.5,1333,69.6,https://magiceden.io/item-details/CHwWapxdA3qhJqMXQ1CnbmkHZDY15i5jUsx87w6nCHJE,Psychedelic,Gold,Silver Earring,Nothing,Nothing,Nothing
3201,5,2940,25.19,https://magiceden.io/item-details/3j79iSD6vgmqGcbAnqkxSqhsaK2U47PzHsQpC79pVPx9,Red Gradient,Brown,Nothing,Nothing,Shark,Nothing
3203,3.1,2987,43.63,https://magiceden.io/item-details/8iZUt7zDvsEpKvDmdo6AnZWk2AGATeP8XpeECYeSaR4V,Psychedelic,Albino,Nothing,Nothing,Afro,Nothing
3221,3,3131,42.89,https://magiceden.io/item-details/3Vy1TCSj2ayPjLJBSPJ1yLDBe8nCPS7mRxaig94DpCyK,Psychedelic,Red,Nothing,Nothing,Fez,Nothing
3227,1.15,2376,70.5,https://magiceden.io/item-details/HkygeiZkv7gK31h1JvDuSYBdM1E4cUXD6d7FT712VoSy,Psychedelic,Brown,EarPiece,Nothing,Nothing,Nothing
3235,1.55,3259,55.84,https://magiceden.io/item-details/5y5EEtSEqbxRtCLG5JvKJLHAQRs29hQ9Lf5283aKjjAD,Blue Gradient,Brown,Nothing,Nothing,Nothing,Smile
3242,5.9,75,50.79,https://magiceden.io/item-details/EF6B6ZrnjKMhitaAvpJVmtKpJGueoSRHuuFgDmjaBDzA,Cream,Cyan,Silver Earring,Stoned,Fez,Smile
3267,1.2,2644,66.77,https://magiceden.io/item-details/DSfzS8DBgUYsTy3ugB9eTgHh355UZbh7tqb8uS4htUH3,Blue Gradient,Black,Nothing,Nothing,Afro,Nothing
3269,3.5,1326,59.69,https://magiceden.io/item-details/EHuMgZY1Fnf5dq1xgiJquryBpXp6Yj5vV4tZBwQoAL1h,Cream,Albino,Nothing,Nothing,Fez,Red NT Mask
3280,1.2,2901,63.66,https://magiceden.io/item-details/BmkGmTiobdYEKBjvW1q6XYY5UotufJSKWhQjvhrDKPJ6,Brown Gradient,Blue,Nothing,Nothing,Elf,Nothing
