id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyebrows,Eyes,Face Accessory,Glasses,Hair,Head Accessory,Mouth,Skin
3416,1.5,9060,48.44,https://magiceden.io/item-details/8w2aqq8T8gVDYKgERUsFn9oWFCek1z98Gd8XDrrHhX4a,Green,Turtleneck,Worry,Teal,,,Bob Brown,,Black,White
3429,1.5,3385,71.9,https://solanart.io/nft/DDrwcZ4kM8jHZtLnmUoitiHV4V6G3TS7cxsF9wwUS865,Blue,Tshirt,Arched,Purple,,Monocle Regular,,Helix Hat,Pink,White
3432,0.26,9305,59.83,https://alpha.art/t/363rMvTQueJw3585eDBAwhPpcLJLdfzuKSRp81qJqMvs,Grey,Tank Top,Small,Teal,,,Ponytail Black,,Black,Black
3441,0.79,5877,68.7,https://magiceden.io/item-details/EYY3xP3FnThsWGckRdBPrLn1mPK5oPegk551c5wnCSWC,Beige,Tank Top,Scar,Blue,,Monocle Solana,Bob Brown,,Pink,White
3459,0.25,6057,73.36,https://magiceden.io/item-details/Atpf6dcFCyMjAohQm9ScqUteqDC8ahpNBwfJanhMy2GC,Solana1,Tank Top,Arched,Teal,,Glasses Solana,Bob Black,,Pink,White
3462,0.49,4471,77.51,https://magiceden.io/item-details/GAqiWJZgcuvGEYS8N8BhhcAWuSEW5VQA4pAE5ZpDYHmg,Green,Turtleneck,Small,Purple,Gasmask Teal,,Bob Black,,Black,White
3465,0.13,6954,70.85,https://magiceden.io/item-details/GfK8AXr2Cvcwq5EpheAfq3mdMqWGG8xBBSZmiUUpweBS,Teal,Turtleneck,Thin,Blue,,,Ponytail White,,Pink,Cyborg
3470,0.6,7570,63.6,https://solanart.io/nft/57T864Bg6BS3zP1zesbWEut9ZRDRQ2kQkdLGK3QkrUwm,Green,Tshirt,Thin,Teal,,,Ponytail Black,Helix Hat,Gold,White
3476,1.4,5541,63.99,https://magiceden.io/item-details/5mk59a7vSxM7EGUpx9RZAhQrw1ook7BE1wrP8Y9P1CQP,Yellow,Turtleneck,Arched,Teal,,,Ponytail Black,Top Hat,Pink Fangs,Black
3477,0.25,1705,91.35,https://magiceden.io/item-details/G5A82HYP2EmsgraLDAoric8qSV4eAaNokkTt4oooUksR,Blue,Bandages,Arched,Teal,,Glasses Regular,Ponytail Brown,,Black Fangs,White
3479,0.7,1112,89.3,https://solanart.io/nft/2rbrRWNP5YT5on5aMiargFBx71yVeXoV1RDm3zVHotoB,Solana1,Turtleneck,Small,Purple,,Monocle Solana,Bob Teal,Helix Hat,Pink,Black
3486,0.49,2195,86.92,https://solanart.io/nft/4c4Yk3KoAX66in58RruBx1fkxF72Ax29m7aKsGvws1Uv,Solana1,Tank Top,Arched,Purple,,,Ponytail Black,,Gold,Gold
3504,1.99,8600,45.44,https://solanart.io/nft/5zGLw6P1N6u9WS2U5AZ2mANPNY13EYF8hjHqeLTAPTuk,Solana1,Tshirt,Arched,Purple,,,Bob Black,,Pink Fangs,White
3525,1.5,8671,50.05,https://solanart.io/nft/HPKjKpvCEJ2m5PzmgoSK1hd4VJXRS2rh3ii1d52yMRWP,Grey,Tank Top,Scar,Purple,,,Ponytail Black,,Pink,Black
3527,1.89,7688,50.21,https://solanart.io/nft/Fu3k7A21GsLFLqcgdKmYjceF2TUiMXFydrtMfnKhnajL,Blue,Tank Top,Small,Teal,,,Bob Black,Horns,Black,White
3551,0.66,9299,55.85,https://solanart.io/nft/39uWJMc3YniLdkkbyd2TgDEWVkpu8iSqorXxBboEDDhx,Beige,Tank Top,Arched,Teal,,,Ponytail Black,,Black,Black
3554,0.4,4797,77.07,https://solanart.io/nft/6rEL5boBS7kHLpebvzQoEZ6YBRUNL5zL4i4ZgNhkrd9f,Beige,Tank Top,Thin,Teal,,,,,Black Fangs,Black
3562,0.5,7004,66.94,https://solanart.io/nft/9Ba83teAapQLxWJKyTsjMZnMTY6GKyddBeNyqRtuk9Dh,Beige,Tshirt,Thin,Purple,,,Ponytail White,Top Hat,Black,White
3563,0.69,5203,72.49,https://magiceden.io/item-details/2LeJYM3s14kd3KtwmnS6ngvNVXzCa64VssTUDrcTun4Y,Beige,Turtleneck,Arched,Teal,Facemask,,Bob White,,Pink,Cyborg
3564,1.6,2492,74.6,https://solanart.io/nft/BZmpp22yqSaY3kMD2j6B8Ybfy7XPqta8pCRJQYF18Y9G,Teal Flat,Tshirt,Scar,Purple,,,Ponytail Brown,Horns,Pink,Cyborg
3568,2.75,8353,38.86,https://magiceden.io/item-details/Em8n94qBCmzrFMAt5JBpf42DAR527xePQs7Cmws4yhya,Solana2,Tshirt,Thin,Teal,,,Ponytail Brown,,Black Fangs,White
3570,0.45,3798,80.7,https://solanart.io/nft/BjfeMqjVwbjWpKUZfQD5Ypygr3acsz9n2E94SLruSKRB,Beige,Tshirt,Arched,Blue,Facemask,,Ponytail Black,Helix Hat,Pink Fangs,Black
3575,2.2,7932,46.1,https://solanart.io/nft/CauW2GmccSrEJsHCKJXca1NRMpJR6Ykx75Lg9TFB2bwx,Grey,Tshirt,Arched,Blue,,,Bob Brown,Helix Hat,Black,Black
3580,2.25,5191,56.94,https://solanart.io/nft/62S8wTC9XRNWEXBEYnP2ttyG2odWBMTqCaBzxw7zn2J6,Blue,Turtleneck,Arched,Teal,,,Bob Black,Mushrooms,Pink,Blue
3587,0.45,7155,66.82,https://solanart.io/nft/2JrWJitSVU6xHxHGYxjVSTtLwwHnEA8WNSxVqZwan1CB,Grey,Tank Top,Worry,Teal,,,Bob Black,,Black Fangs,White
3592,2,6703,53.18,https://solanart.io/nft/FT3zSJiJHKEriKDQwxDekAh5MY2g3oUBPhSwqStk4KQf,Blue,Hoodie,Thin,Blue,,,Bob Pink,,Pink,White
