id,price,moonRank,💎 score (%),storeURL,1:1,Background,Mouth,Skin,Sunglasses
938,0.11,160,93.43,https://alpha.art/t/FcX4mSmw6YjVtCi5GvWchU3UMMDhbCHMXnpqPyaCHeKw,,Generative_Purple,Knife,Bronze,Shades
954,0.6,97,90.8,https://alpha.art/t/5qZyukpfxwZ8W9Y8LCHm1QXFGyLEfAvqXSxMRb6RfHk5,,Moon,Spatula,Aqua,Normal
965,0.05,414,84.87,https://magiceden.io/item-details/FY8TMo2Wpqcq8cJ6WBprJ16rB5CSWgwooNNPog9np8kb,,Pastel_Green,Gun,Green,Normal
971,0.048,161,94.01,https://magiceden.io/item-details/3omhYCC5U6JGc4xDthLVUpmUC4JdKvFdSRccs8BdBjye,,Pastel_Blue,Pipe,Blue,Shades
995,0.08,332,87.53,https://magiceden.io/item-details/6rqXW1A3hu3ddVmeELkCCDDRiZzgc2YwjGqWoYyXAA1G,,Pastel_Grey,Knife,Red,Normal
1010,0.1,605,77.48,https://alpha.art/t/5zGMZNhAVH9xJRyZkJ2kTcppe59XPKKtbpGEUFfDsxZm,,Pastel_Brown,Gun,Yellow,Normal
1019,0.18,453,82.16,https://alpha.art/t/8YAymz9eFs127EmhTBh363anKPAP4E425Adk4A68uEb5,,Pastel_Brown,Pipe,Blue,Normal
1022,0.173,287,88.22,https://alpha.art/t/E6mwv6EeYJVByG5kWRp5nwfuKpMwdKg5GeLEXuuc49YM,,Pastel_Orange,Knife,Silver,Normal
1028,0.1,418,84.22,https://magiceden.io/item-details/5o3cKk5YMLRevP5R3M4a65xo7z51ykw9TrtrkHdQYUPe,,Pastel_Purple,Pipe,Yellow,Normal
1031,0.08,262,90.05,https://magiceden.io/item-details/3DdbvZVAB5y4xPu9EE8TeLUmDWoqBT41Z1MHuPBmEXef,,Volcanic_Eruption,Gun,Grey,Normal
1039,0.176,775,70.59,https://alpha.art/t/9FCb27VaFeAMLBbmwSCihoH3ZbiTwLp4KejZuqMVpDFs,,Pastel_Orange,Normal,Orange,Shades
1041,0.185,744,71.62,https://alpha.art/t/DeJcFSRjqMfs8azEca2CMMexgTVw8uduGkNBF9q3UKGY,,Pastel_Purple,Normal,Pink,Shades
1077,0.6,87,91.16,https://alpha.art/t/12eqKg2FMZre6hqfN4r48UXFmNqVKZnqa2poqagyufFk,,Pastel_Orange,Spatula,Purple,Normal
