id,price,moonRank,💎 score (%),storeURL,Backgrounds,Body,Eyes,Head,Mouth,Neck
1910,0.249,1264,76.15,https://magiceden.io/item-details/6ZyM6NrmFaZJPbj5RMWvzYtW99os3DWDzuDai3htSbNG,Green,Pheonix,None,None,None,Blue_Balaclava
1928,3.2,1549,41.49,https://alpha.art/t/6DJXsHHbQSfsZDYtNBvd5dYyAdWCgYb5fdAzXEVXhbKa,Peach,Blue,ThreeD_Glasses,None,Vape,None
1929,0.5,1744,64.96,https://magiceden.io/item-details/2kzfrg6xXVkzgEH2qGsRF2g8X8TUwrZqe3645i2pvwmg,Peach,Zombie,Orange_Sunnies,None,None,None
1935,2.6,477,66.87,https://alpha.art/t/BJjBtLSqsygcktwBt6mXJ1CBwRXEWdQs4ZfWuyg1LXcA,Blue,Grey,Orange_Sunnies,Purple_Rag,Vape,None
1939,2,1552,53.43,https://magiceden.io/item-details/2xMMu2UvMJAhByRhahSBUibVo4hs1T2UDPrAAgB1DvYm,Green,Zombie,None,Fedora,None,None
1940,0.2,2076,61.96,https://magiceden.io/item-details/FtjhCWvkrBQ49fnafuEB7X3jakyLLFQ758FgwEnJhqK,Peach,Grey,None,None,Vape,None
1941,0.15,608,89.01,https://magiceden.io/item-details/DhdFx2deoEaoD5SxCxdhV7iQuVECwMnGksJeW1ZkrWvU,Peach,Brown,None,Pink_Rag,None,Green_Balaclava
1946,2,131,79.13,https://magiceden.io/item-details/rPttaGeH3zZA9dhgzDVcXUb1Mkw5jcP56ttQpsanxYe,Yellow,Tan,Laser_Eyes,Halo,Cigarette,None
1952,0.3,271,93.6,https://magiceden.io/item-details/4oEq8NC2G6mDpKgEzQDBafe5m3yppGzxTqGXWzkgPc6v,Green,Brown,None,Pink_Beanie,Vape,Green_Balaclava
1961,2.5,40,75.78,https://magiceden.io/item-details/HRiKMtd3p5c3U49W3NSwxW6JMwg6XAmf6XWkJBntUvAs,Purple,Alien,None,Orange_Beanie,None,Gold_Necklace
1966,0.5,839,81.33,https://magiceden.io/item-details/3stjwZAGM73XK3nCcAbxt2YQf11siU6hDkBP966hojDS,Peach,Tan,Tron,Blue_Beanie,None,None
1968,0.95,300,86.58,https://magiceden.io/item-details/4wmBpSh8ipMP22zATuSjPkPUy1Mw8UKtQhuoH37gfUZs,Pink,Blue,Specs,Fedora,None,Orange_Balaclava
1972,1.2,970,71.96,https://alpha.art/t/7keAPRyaxMRABNabtRRhDJaJXYzzbvMnoyiWhEnHoHWz,Pink,Blue,None,None,None,Diamond_Necklace
1973,0.7,1262,71.68,https://alpha.art/t/2xJmhWAJAtQZnxDEXgzZwsj7oP3SVUe57bcLYn3HszvH,Yellow,Blue,Orange_Sunnies,None,None,Orange_Balaclava
1975,1,862,75.91,https://magiceden.io/item-details/6G5kkhiqsTi5cKbJ1sy9RdkLbZuiG5s2A5hXDYzJvXBp,Peach,Alien,None,Blue_Beanie,None,None
1984,1,625,80.2,https://alpha.art/t/J2TP8ESAfuCXm9iemjTSqXzyUfDbi3QmxPJ4Nhhzfkcx,Yellow,Brown,Blue_Sunnies,Cap,Vape,None
2004,5,342,45.32,https://alpha.art/t/ELFmopoLbvZ3W9my3DHqdT5sqvyRfKCxLgr9kvre2eRq,Pink,Blue,Specs,Orange_Rag,Vape,None
2016,2.8,1974,37.8,https://alpha.art/t/4vnoLmbvRb6igMEVyv4Q8TS6Kyk6DxTnfbSsfVzxW5bD,Peach,Brown,None,Blue_Beanie,None,None
2022,2.5,457,68.24,https://magiceden.io/item-details/DxL5XBybwUgaBRYLeRq9Ckes24SnJ58n6oWwwkSkWA5T,Purple,Grey,Orange_Sunnies,Earring,None,Orange_Balaclava
2036,1.8,450,75.36,https://alpha.art/t/DzZs5AjADj6R6PR6nUeJF8jZctdhdo3gnEhHwPjYQcVg,White,Blue,None,None,Vape,Gold_Necklace
2037,17,95,0,https://alpha.art/t/6DQgiwmz1YGukRQRfVpfhJ11rGv4Mp7ighrvMTeTGKWs,Yellow,Blue,Blue_Sunnies,Antlers,None,Gold_Necklace
2045,1.2,1268,66.57,https://alpha.art/t/HAv5Uqe1unqM8diaPzZaT41zX8hpgfZhkNxPhtZQw4Yd,Yellow,Grey,Blue_Sunnies,Pink_Rag,None,None
2055,0.5,1126,76.14,https://magiceden.io/item-details/BbT13wjUkKEczRvsYnYLh3ZkpvZsetQaxG6QvzCyejaT,Blue,Grey,Blue_Sunnies,Straw_Hat,None,None
2061,1.55,1919,51.3,https://alpha.art/t/64WAQUjmywqGZj1jftn3PtWsnDuVTnhEHRbBsxtK2cLR,Purple,Blue,None,Pink_Beanie,None,None
2070,1.5,716,73.55,https://magiceden.io/item-details/Ekgwm5noxKQNyrZGb28b4B4s61XR178dntfKAXoh2XSM,Peach,Tan,None,Orange_Beanie,None,Blue_Balaclava
2078,0.39,675,85.39,https://alpha.art/t/BJBEY1tDZkyYd3KaJLotbtTPNPr32rf47Z3gHu2kQXpY,Green,Blue,None,Pink_Rag,None,Blue_Balaclava
2082,2.22,221,75.3,https://magiceden.io/item-details/DYSUBy8hmX5rwu9k57L7TBBRxq6prZh58goU9zLbrquH,Peach,Brown,None,Orange_Beanie,Cigarette,Purple_Balaclava
2087,1,780,77.4,https://magiceden.io/item-details/Bbfmr2VjAvU2XcPc1FkwH2B1mL1NvJykfDCe3fzf3Chc,Pink,Tan,Specs,None,None,Purple_Balaclava
2116,1.97,33,81.2,https://alpha.art/t/G1hqSjLaxUtYEkundAMoH8tthP59Nj5DkDpayHPmR9Qb,Green,Tan,Orange_Sunnies,Orange_Beanie,Pipe,Purple_Balaclava
