id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Earrings,Eyes,Fur,Hat,Mouth
3797,40,1666,0,https://magiceden.io/item-details/7BzSY64EyTmWqw3hvU7nwGVewbz6ygrh5wAP6pbwNT79,Purple,Guayabera,None,Roll,White,Seal,Cigarette
3807,8,3575,31.15,https://magiceden.io/item-details/AVZdgYqoGDSGzNTBymhQRuACGJ37GrcxgXGdWJpvadhH,Orange,Puffy Vest,None,Crazy,White,Halo,Bored
3824,20,1778,0,https://magiceden.io/item-details/ECrk1jDz4Lx72BQjnVcUJ8hcj4Y63cMz5hjw3yrCdsoo,Mustard,Prom Dress,None,Bored,Tan,Beanie,Cigar
3826,35,3346,0,https://magiceden.io/item-details/ChLwqRr1vUdH4han2BL7mWFk8ixVGyf4tQUNFrENgpu7,Mustard,Pimp Coat,None,Closed,Golden Brown,None,Grin
3830,15,4890,0,https://magiceden.io/item-details/GFrhgyehKW1Qut4VfrJwwozyNjQcHrsWULUq5ZFFuJKy,Mustard,Striped T,None,Bored,Dark Brown,Seaman Hat,Bored
3833,55.85,3506,0,https://magiceden.io/item-details/26QMDxbuPPVa4nVhgk6gi5mGbh56iP9D8MTiC6gYFEV8,Aquamarine,Bandolier,None,<3<3,Dark Brown,Fez,Bored
3859,14.99,954,0,https://magiceden.io/item-details/HpGbosce1uKZvhqZN9PkMZsmK8pDzNdRbXXZQTAq7dRr,Purple,c22,None,Bored,DMT,Cat,Party Horn
3873,10,4171,6.37,https://magiceden.io/item-details/GqVf4GhWqCUWoCB2zzd5gd69ySUq3XjfPKsvwGmDT7d1,Purple,Wool Turtleneck,None,Sad,Dark Brown,Camo Helmet,Bored
3893,15,4394,0,https://magiceden.io/item-details/FDkccYoWiQcrKakGGA7SfMDGw7boL3fGwrUzXTKjKoGm,Baby Blue,None,None,Bored,DMT,None,Discomfort
3897,10,4642,2.6,https://magiceden.io/item-details/CFrxf6dpoNCEDoGoLciR6Q1sQMX24pz2x34dAdZUGyyo,Mustard,Logo Black T,None,Bored,Golden Brown,Camo Helmet,Bored
3912,8.3,738,50.89,https://magiceden.io/item-details/3mEwttF5wYmWpBz2aKvrLZ1tmUDQd8PF8NsSrmKxJozn,Gray,Hawaiian,Silver Hoop,Roll,Gray,Devil Horns,Pacifier
3923,16,462,0,https://magiceden.io/item-details/4Pvzw49zDF5zfUqKajMMN3AJLYs3d9ydmSN2EtBhL2Hw,Mustard,Army Jacket,Silver Stud,Bored,Death Bot,Seaman Hat,Candy Cane
3980,20,59,0,https://magiceden.io/item-details/HXczDZ5zUKjHg3tqGEpGJHh248BsjvehSwFMyTepvBbd,Purple,Tweed Suit,Gold Stud,Angry,Dark Brown,Prussian Helmet,Blowpipe
3983,16,1451,0,https://magiceden.io/item-details/7HhAdA4aYTrnjyHZmfZLshJFPTgwPU6hwzNfN2CMMDKT,Dark Blue,Army Jacket,None,Sleepy,Prism,Beanie,Grin
4019,10,1186,30.29,https://magiceden.io/item-details/9Z5hLsmhP36iBLHgz8xGUvuQANFQnzmiPTd1pBbVssY9,Orange,Hawaiian,None,Neon Party,Death Bot,Devil Horns,Rage
4023,9,1745,35.81,https://magiceden.io/item-details/6k2BFKbzXKq2WVukhBhUjxfDSb6U7C3zbA6EpvVpy61S,Gray,Black T,None,Bored,Robot,Sea Captain Hat,Cookie
4028,10,4355,4.9,https://magiceden.io/item-details/8X7uhJa2P5exmMNXc93RkDgEy3zWfkMqzsKXFx4rL1Vu,Yellow,Biker Vest,None,Bored,Tan,Cat,Bored
4031,12,3302,0,https://magiceden.io/item-details/2jueA9kNfkxPTHa1cDwAszGHdfvh4szRgQc5Z7TcKKUb,Mustard,Prom Dress,None,Blindfold,Black,Halo,Bored
4061,11,2537,9.47,https://magiceden.io/item-details/2KChWaZXQrCj5LoJ7szdtbtkEphqnrjTDnU4qDjm58Mf,Gray,None,None,Crazy,DMT,Spinner Hat,Pacifier
4067,5.99,2410,60.59,https://magiceden.io/item-details/FEM7QaFJro3maZTZSEZgvJoTwZgZp9nitERKBLFuxWyD,Yellow,Caveman Pelt,None,Neon Party,Tan,Fisherman Hat,Grin
4099,6.75,4621,35.27,https://magiceden.io/item-details/8ryLhEBappXBUoaKpou986Sh5UsHGkzyrJmrkUyqwt9W,Dark Blue,None,None,Robot,Dark Brown,Pengu,Bored
4108,9,2508,29.7,https://magiceden.io/item-details/6R8PSpHVcZisMUsKi26pU9c1zvYX4yWkbWq6fFvLz4rQ,Baby Blue,Black T,None,Sad,Dark Brown,Devil Horns,Rage
4118,10,2857,16.9,https://magiceden.io/item-details/5BiQzp63zVa2mVfinyJ5aSbQdqbTovTZ5uarYc7vCi26,Gray,Black T,Silver Stud,3D,Cream,Cowboy Hat,Bored
4126,6,3488,51.85,https://magiceden.io/item-details/AYoZ7MbxxVSRUWjC1vUEDq5c7dz9WULcejAhao9BekcH,Gray,Black T Holes,None,Angry,Cheetah,Fez,Bored
4128,5,1409,78.51,https://magiceden.io/item-details/Hfe8RymWDqoKkLPqZFCg4hNJ5fWznzYB7PDLB58dphes,Dark Blue,c22,None,x_x,Cheetah,Seaman Hat,Smile
4129,29,96,0,https://magiceden.io/item-details/4GvXzrDBsJpd3LsX4fMkDdZqStgu4RqZKAJCRKRGy4d9,Purple,Puffy Vest,Gold Stud,x_x,Black,Girl's Hair Pink,Rainbow Grill
4156,7.5,4296,30.37,https://magiceden.io/item-details/3HCk8hnrVMRYGioXvW42QLeBQ876EccByJCzGpy9gwmQ,Aquamarine,Biker Vest,None,Bored,Zombie,Ushanka,Bored
4195,12,963,12.08,https://magiceden.io/item-details/E29nu8LhDv5mCcDXECxiHvaxZa8F91MAGgo9rQJpwFJY,Aquamarine,Tank Top,Diamond Stud,Blindfold,Cream,Bowler,Bored
4222,14.5,1176,0,https://magiceden.io/item-details/BM6jXDkTip9Zg2rawf8BgKf17MVAd1rS2W1X8rD9ZYnG,Yellow,Leather Jacket,Silver Stud,Robot,Red,Prussian Helmet,Bored
4224,4,1838,85.07,https://magiceden.io/item-details/EY7AoaR9FNFssvHjDEGaAK4hVWP9JngqSCoQU2dpeUi5,Dark Blue,None,Silver Stud,Awww,Blue,Safari,Grin
4236,99,1247,0,https://magiceden.io/item-details/6cgpTm7gnsyTfg4cAmL4gJGsz1UYGSeiFCdVq8syi3c6,Baby Blue,Hip Hop,Gold Hoop,Bored,Black,Beanie,Smile
4237,14,2523,0,https://magiceden.io/item-details/9fXAB8B7X5zwBCTCMaSztNFF9xdU1e9ZHA8UN59LSnnG,Gray,None,Silver Hoop,Wide Eyed,Blue,None,Pipe
4242,50,1259,0,https://magiceden.io/item-details/3zFHjCnqdrHGbzLMKovXaQwVgX8wYqPdbPTKJoSUKYNv,Aquamarine,Space Suit,None,Sad,Blue,Prussian Helmet,Pout
4254,15,3206,0,https://magiceden.io/item-details/6FPE8MaMipYACfYTAz2WvWQ8mNCqrYctnNZP5hwohA2D,Baby Blue,Flannel Shirt,None,Wide Eyed,Gray,Baby's Bonnet,Bored
4262,12.5,1088,6.08,https://magiceden.io/item-details/HZm6i7Wq2n8NPdMrkHot7KbXbv8kX4UoMJg1J22W7qPf,Aquamarine,Biker Vest,None,Bloodshot,Robot,Trippy Captain,Grin
4263,30,4982,0,https://magiceden.io/item-details/8kxRZmi8VAhsuDmJVBUcHDc41jafy1pjqRmCobFRfgu1,Dark Blue,None,None,Bored,Death Bot,None,Bored
4289,25,253,0,https://magiceden.io/item-details/8s217e7R3KdRAojB7NdyHaBnFxok9hxUajcgRW358RWn,Baby Blue,Logo Black T,Cross,Awww,Tan,Sushi Chef Headband,Grin
4334,8.45,4164,21.93,https://magiceden.io/item-details/2rixLtviMr13MJj5LxVmvTtaYVgMqVNaRhEkzBUQSqTz,Mustard,Tank Top,None,Blindfold,DMT,None,Bored
4347,25,1686,0,https://magiceden.io/item-details/3LJXyAmDugrDQNPzAxzjLq2UDxdGtFVMLzSpPcHe3V9k,Dark Blue,Tank Top,Silver Stud,Bored,Red,None,Rainbow Grill
4349,28,1930,0,https://magiceden.io/item-details/86gMeXt1W2svoW4NRJQZkMTAobowwcFNS44FCswbE9CH,Yellow,Leather Jacket,None,Wide Eyed,Robot,King's Crown,Bored
4359,12,1533,7.51,https://magiceden.io/item-details/FeXq4JJEaCuMPAttkcnyhAMiS52LieVNwr9isn1ZXeDx,Dark Blue,Bones Necklace,Silver Hoop,Hypnotized,Pink,None,Pout
4375,25,4751,0,https://magiceden.io/item-details/6G5u7b6kMKkac3aB4jmfszPHfHZq86zqMSZkKwoVcMrR,Dark Blue,Striped T,None,Eyepatch,Tan,None,Bored
4378,7,3982,37.89,https://magiceden.io/item-details/BoV4tLtMFRsGWed72sjYj2FVw1RNFNB1cMinM53UkGEu,Orange,Black T,None,Closed,Cream,Sea Captain Hat,Bored
4405,12.5,3871,0,https://magiceden.io/item-details/FiDUfYjp56mFjLL21P8s3hZDqDvNYxGgo2PQeDUsdTNF,Aquamarine,Guayabera,None,Hypnotized,Black,Fez,Bored
4408,50,570,0,https://magiceden.io/item-details/CiYEJhYCeD62pkNiLNnPgGJawEFVK756txpGfiFmz51T,Purple,Hawaiian,Gold Stud,Sad,Trippy,None,Dumbfounded
4411,20,1531,0,https://magiceden.io/item-details/6Vnw45VQMbAnhJnRcz2tc1dnqjssKa9aHQoT5w7YH3Vu,Baby Blue,Tie Dye,None,3D,Tan,Stuntman Helmet,Dumbfounded
4416,8,1670,46.42,https://magiceden.io/item-details/Bqw5qNgQtJcGnqGsuU47vhM5N9bFHmn8sfs6dCmmyE4u,Yellow,c22,None,Sad,Golden Brown,Halo,Wah
