id,price,moonRank,💎 score (%),storeURL,accessory,astronaut,fuel,planet,rocket,sky
1135,0.12,1887,76.28,https://magiceden.io/item-details/HpUqSUTMpeir7yXcEaFejQzVZZWKdYzWoCDQNLurKNwR,roseglow,mars,richmix,atlantis,jackson,saturn
1149,0.02,1900,77.13,https://magiceden.io/item-details/3HYpcEznzqLn4A92VPt4J3vu4bpHhRHnLBNvioQ9u1z4,empty,handsup,bloom,dune,shuttle,saturn
1174,0.13,1582,79.85,https://magiceden.io/item-details/Ggu67snug7rLLdQhC56MPn5atLyVah7UwC3x6aes2pJQ,wing,venus,surge,highlands,artifact,moonshine
1176,0.02,1104,86.69,https://magiceden.io/item-details/GdZqGnjFeDoJTRzHg8zYosGgCAGpQBrA1q8suceC2Lqb,booster,mercury,tron,egypt,buran,milkyway
1234,0.029,1751,78.83,https://magiceden.io/item-details/Dg8m6gvGiczWQmkjMyCLrp8pSYx1CrT7viS37fqBqAhe,empty,venus,richmix,highlands,dart,vice
1260,0.027,788,90.41,https://magiceden.io/item-details/AjbgkEeDetuTDjDF7MxpC3rbfCe74BsDiEGBH8T8Dh5K,wing,gemini,richmix,fujeeee,black,moonshine
1281,0.13,960,87.32,https://magiceden.io/item-details/HmctQd7HHmMtck1yeMX8AgFdFYNmKkWuKtNq8vUk3ERN,aura,venus,bloom,highlands,black,firenight
1340,0.02,105,98.69,https://magiceden.io/item-details/HpNhpGEVzkKBEb1uYRvPtURf9MEirXfhjNP3HozPnmaH,glide,ET,jet,fujeeee,red,cloudscape
1344,0.13,144,97.12,https://magiceden.io/item-details/FuwUcgUENkKv4Cqx9YYiEQWFpCN6crDKPEerdRqhR8a6,aura,pengu,jet,inception,blue,moonrise
1363,0.089,2549,68.64,https://magiceden.io/item-details/CycYrnzPmbevLtvHVkwDSVuiZrmsSY4KPV6VMD3hhfj4,empty,venus,tron,egypt,prototype,moonrise
1386,0.1,2430,69.96,https://magiceden.io/item-details/88FVoh3NZASbPVhAWZ7fqaZGYoWwcZdh4H1TAgzYqPyD,empty,venus,bloom,inception,red,firenight
1389,0.5,1027,82.81,https://magiceden.io/item-details/5iePbPx5Mno9kWGSpeBLDnUmvoGtTo6jrrTDYwKzUfJH,empty,pengu,richmix,dune,silo,moonshine
1391,0.33,2519,66.59,https://magiceden.io/item-details/A2daHiUKgmTY7zkB2KMTDYKj7gMn3vh6HVZXRKys7jsL,empty,gemini,richmix,atlantis,yellow,sunset
1392,0.33,2040,72.35,https://magiceden.io/item-details/J3AhsbXu6ApyAKXRVwRvmSJJWF9hxhKSiSrDDppRyiaE,empty,handsup,tron,dune,prototype,hokusai
1434,0.04,1174,85.65,https://magiceden.io/item-details/HaW9bszsuPKH3GMVHwTtVb82hpMzGr4erFjpiNnJiRDN,aura,mars,cloud,fujeeee,prototype,moonrise
1435,0.1,490,93.26,https://magiceden.io/item-details/BcC66ps6xwwHrt9tN7GJ3iHXht3rp9BKv6K1FUUrrggN,birds,gemini,richmix,egypt,jackson,firenight
1436,0.5,188,92.89,https://magiceden.io/item-details/8DGH8n8jMY9n64MDa2BYuMXTaWJzwKgKYg7Sed8Ewr8r,booster,apollo,richmix,atlantis,the_gift,sunset
1470,0.05,696,91.29,https://magiceden.io/item-details/5joX8YaiFC3DtKhjNCDXWJC59HvY3a8YJChfLzZo8Zpm,aura,mars,cloud,highlands,birdman,moonshine
1471,0.1,2873,64.64,https://magiceden.io/item-details/4joAFSMYzsmp4t5XRUd1xz7CkxXeuB5gNWPJJEgkMMui,empty,ET,bloom,dune,blue,cloudscape
1472,0.1,1986,75.29,https://magiceden.io/item-details/HJgx9u23uu1eRutqdtGobgNKqbaFM4SYFDNjEikQStKr,roseglow,apollo,jet,egypt,prototype,firenight
1473,0.1,2328,71.19,https://magiceden.io/item-details/FHe6KS1X7HRFB3VjNes6r5LcjhCTEsVG2Z439ehHgmXE,aura,gemini,bloom,fujeeee,artifact,milkyway
1498,0.024,1685,79.67,https://magiceden.io/item-details/ChYHoNknb65U9dSxoYwsUVmT3rAeL3sRBK6Cya8vCRVf,booster,apollo,cloud,inception,buran,cloudscape
1505,0.11,2911,64.08,https://magiceden.io/item-details/3Np3PbuBeDv8gqeS1q51eXNetMRzy8qodCKMJhfKGW1X,empty,mercury,bloom,highlands,jackson,vice
1509,0.13,2553,68.18,https://magiceden.io/item-details/8zhM3gwNvbUdUG5eze2CM49vCE2vXSA8zkDHEBhfvUfJ,empty,gemini,surge,fujeeee,yellow,cloudscape
1511,0.13,2682,66.63,https://magiceden.io/item-details/3MJdsfCjsvqPioPDDzF9bbfTjUU9DVNY6NgLmq8fkZLo,empty,gemini,bloom,fuji,red,firenight
1520,0.45,1243,80.72,https://magiceden.io/item-details/qCxTsukXgJuAzwfkJWn5LnVUbyUfZRNne37ydSx4rDz,empty,ET,force,atlantis,red,cloudscape
1522,0.22,505,91.88,https://magiceden.io/item-details/JAk4HbEUdx9FD7994LiVz4H5DCGdQ2UPt9V6AkiXJM4R,halo,venus,cloud,egypt,yellow,moonshine
1528,0.2,995,86.2,https://magiceden.io/item-details/G2gtK3eUv1taKhoPcx6ZCDVPiN1VDhKWXNSdWKmHaJaD,booster,mars,surge,highlands,foxy,cloudscape
1531,0.05,3191,61.32,https://magiceden.io/item-details/8Kj2x4voXPmCg4boGr4LFUgMhLm4m4a2wVayac5ZDH3Q,empty,venus,cloud,highlands,prototype,saturn
1532,0.1,320,95.31,https://magiceden.io/item-details/5kokmVaMinT46bCCv5ardKxyYd2gmMfQ3affDgemRxxQ,empty,spaceslug,richmix,egypt,dart,saturn
1533,0.3,2016,72.93,https://magiceden.io/item-details/DMWxEXovGqu3Pw8smKTR1vPfu8RgcHa13Nrj5kUrnW2w,empty,venus,bloom,atlantis,mary,sunset
1534,0.25,1527,79.31,https://magiceden.io/item-details/m1J7yVGbrkSBNBqtGJdhFndQsqmiYmU88H2sVWpLZwD,wing,apollo,tron,highlands,buran,cloudscape
1545,0.05,1754,78.58,https://magiceden.io/item-details/GydKhek5KJ3JjYzwQb73nUri8dytGkf5yB4Q8Z5Yx6Us,booster,gemini,bloom,inception,shuttle,cloudscape
1548,0.3,3208,58.62,https://magiceden.io/item-details/BxsuMiT4dxhupj75Z9BC4gbtREVfYJVE4GDgNsLhbUcm,empty,ET,jet,dune,prototype,cloudscape
1554,0.26,1597,78.37,https://magiceden.io/item-details/FKhs1yQR7g59vcjeRZ3NoNpXhk23pxKStg5qeJLAwfEC,roseglow,apollo,cloud,inception,pollock,moonrise
1555,0.2,2583,67.12,https://magiceden.io/item-details/7emdCKM7V2CjHCqsFU3X1pwuXBZBwqXCAQE6xfTbk61c,empty,mars,jet,fuji,yellow,sunset
1558,0.14,1083,85.74,https://magiceden.io/item-details/Gd8Ag9uFsBjhjZCXbKVf9uw6XnykVE13Xmmx5GLCkKhV,rooster,gemini,surge,inception,buran,cloudscape
1559,0.2,3324,58.22,https://magiceden.io/item-details/DxAEDhMmRiVmDpXVr4kvxWgGaH67vzBeMtm1B9imcVdw,empty,mars,cloud,dune,jackson,milkyway
1621,0.4,833,86.14,https://magiceden.io/item-details/wigau8tB8xNfJCCmDtKQzAvcTyaUz4zTs1wDdKp5s89,roseglow,gemini,force,dune,yellow,moonshine
1641,0.2,1732,77.35,https://magiceden.io/item-details/A9DvYoeqDQqPvpHtcFghSGgbq5MuQtGC45HBq4EPSzq1,roseglow,gemini,cloud,dune,yellow,hokusai
1645,0.2,2339,70.05,https://magiceden.io/item-details/8kGRkRMg9hg9N8vzhLcNsTWFjT2x633xVVtPGGGF3LuF,empty,mercury,jet,fuji,yellow,sunset
1650,0.2,1313,82.38,https://magiceden.io/item-details/DaEufumXhcFX1Hq2DFcZQrCAG6JDrvrs9jHNMjKSoVMh,booster,apollo,bloom,fujeeee,foxy,milkyway
1667,0.2,1960,74.61,https://magiceden.io/item-details/3UyX2SchbnCrPYYjiNjX2kddpVyhKjA32FcAABM7qTBD,empty,mars,cloud,atlantis,borg,cloudscape
1668,0.3,2950,61.71,https://magiceden.io/item-details/Ava7K4qQWeNRA65SK89TStrRbqaVMp2tQHxFp7CAzjMf,empty,apollo,jet,highlands,buran,sunset
1693,0.19,2371,69.77,https://magiceden.io/item-details/JCYDbsQPQ6a6dthvhLk8mJpMSDzhuPCAhQfcm1N25qCP,empty,gemini,tron,inception,borg,milkyway
1707,0.14,1662,78.79,https://magiceden.io/item-details/28WBFdFzi5MVbaKjxBD37nAAwiNwB6SUfSGCh8VAE1HW,empty,apollo,surge,dune,solcrystal,cloudscape
1712,0.14,2255,71.66,https://magiceden.io/item-details/FeA4jskjSoPSgDSkvne1H2YzCTs43W1B67WCNF9oGBLC,roseglow,mars,bloom,fujeeee,prototype,firenight
1716,0.029,2657,67.94,https://magiceden.io/item-details/5cNee2R31xSSrBJ2Pu7AZZ1kueQ7k3miwViM2kQjCVJN,empty,venus,bloom,inception,yellow,sunset
1717,0.4,2083,71.13,https://magiceden.io/item-details/F3KZFPRkBE7YXrd7XNWgnEzwQzi5TExVHSH3r8Utopqg,empty,apollo,bloom,inception,mary,firenight
1748,0.11,2991,63.12,https://magiceden.io/item-details/G5U7rXFH54EwNxJQiLgSyhFstR5UQi4txnqjAWFQtgD6,empty,mars,surge,highlands,prototype,saturn
1751,0.11,416,94.05,https://magiceden.io/item-details/CK3Humx68rRGwYYscWVJr9YS5xLfMuJE3dWppuimvmcN,halo,venus,surge,egypt,pollock,moonshine
1804,0.15,1670,78.59,https://magiceden.io/item-details/JawU5xzoG7qgU98XwuHDPLhnfWPoJj5GWB1UmRKpv3r,roseglow,venus,surge,fuji,jackson,hokusai
1811,0.3,1704,76.68,https://magiceden.io/item-details/GK41iECk2gHVd2YaCwcH3E2tjJGHrCWzXR1f71YHAe9V,aura,apollo,richmix,highlands,shuttle,milkyway
1849,0.025,3012,63.72,https://magiceden.io/item-details/XAq2PhajF8bkhqf64qpXL1VsZda9HwuFiJBo3X6SEL5,empty,gemini,bloom,fujeeee,black,milkyway
1852,0.19,786,88.81,https://magiceden.io/item-details/BZdsSSGsuwXV4AEewdcUHXqwVrCpeYB3NKH28tFiKMxf,roseglow,handsup,cloud,atlantis,shuttle,sunset
1879,0.028,1617,80.45,https://magiceden.io/item-details/B8YmCKyCd41rJzXPXM2zdox88e7EWDQaMbt1EiCCbzZ6,empty,apollo,tron,fuji,silo,moonrise
1886,0.3,2871,62.66,https://magiceden.io/item-details/6f48Y6srkarjM9D3n6UKjr8wQDpQRt6gG3YC51MkmenH,empty,pengu,tron,highlands,jackson,milkyway
1888,0.23,2422,68.76,https://magiceden.io/item-details/HFKu325BVYFPMvPTkVTiSyAoT5UdhpGQWDMtu8B4gcqT,empty,gemini,tron,highlands,black,hokusai
1891,0.29,1583,78.23,https://magiceden.io/item-details/FgKatgghWAiCGSWqwrAxsSLMjpY6cKo2bJbmi13mCQAa,empty,gemini,cloud,dune,discovery,saturn
1894,0.02,787,90.5,https://magiceden.io/item-details/G8a1UJGzWoYajR4khP1BRC13wXxmuQJwn9uBLv2pjyKP,rooster,mercury,richmix,inception,prototype,hokusai
1900,0.3,2641,65.43,https://magiceden.io/item-details/6YdLYCVjJxkm1neruq3RpRrkHfQhpFAzg7jCjXALg9pJ,empty,ET,jet,dune,red,sunset
1905,0.4,190,93.87,https://magiceden.io/item-details/FJ67Ak8SHCPLoWtcutTKofUgkFcxuSg1MsPFHWVft9P5,halo,mars,tron,egypt,hera,moonrise
1906,0.13,2069,74,https://magiceden.io/item-details/F3fDAmyVQzx6Vj2jcbQisTGdLry5nZwFqeBsZPUx1kXp,empty,venus,bloom,fuji,borg,sunset
1907,0.12,2787,65.47,https://magiceden.io/item-details/4gZXzRwyi47z3s2Ettar4tfPJs3VhkMn3mjaw7NJNGam,empty,mercury,richmix,inception,prototype,moonshine
1908,0.12,2187,72.68,https://magiceden.io/item-details/9Ajg6qX4a2C3YwAMS53o2enKsrbyC34eDgfiCEfEtyuG,roseglow,mercury,cloud,inception,artifact,firenight
1916,0.03,632,92.26,https://magiceden.io/item-details/E78TYKrHDGz5pp8iXKKmX4xSWxjge16SLir1ybrBGUAe,booster,handsup,bloom,fuji,pollock,sunset
1956,0.25,210,95.13,https://magiceden.io/item-details/9DoX3AB2SQAvWyxTheNw3eJnsUa2zKbBTK4AzEXzXHQG,wing,pengu,force,highlands,buran,cloudscape
1957,0.15,1390,81.95,https://magiceden.io/item-details/GLebMigkMW7r3fzpeYco4gAPZi9o5fjwpnsXTQnofezq,roseglow,ET,tron,fuji,buran,firenight
1968,0.23,2714,65.25,https://magiceden.io/item-details/6E1samHUUbpdk6LUhG1HW5fTcdG92hAz96RnjAjzmmo,empty,venus,tron,highlands,yellow,sunset
1974,0.13,3020,62.57,https://magiceden.io/item-details/CUBr3D5x3u4CyVggJAPgmkCv7ZwPM5eKa59uabZmsdyg,empty,mars,cloud,fuji,red,milkyway
1983,0.035,2365,71.39,https://magiceden.io/item-details/4LcLuyQhZnwbK38mw6odFWARjjwg2uthYqUcXRCYeEbx,roseglow,ET,richmix,dune,artifact,firenight
