id,price,moonRank,💎 score (%),storeURL,Accessories,Background,Body,Environment,Eyes,Headgear,Mouth
5067,0.05,2067,88.77,https://magiceden.io/item-details/GeDZKrfsdY64BBcJNtCFS8rDehx9bGc8aY4pwGQNwu8K,Crow,Pompus,Satyr,Snow,X,Diablos,Snaggletooth
5079,0.05,4985,73.19,https://magiceden.io/item-details/8sZDtYQDoehSw7hxYVzg3VpJv2dXuMYVxdUUiamUZafw,Cakey,Mint,Banshee,Snow,Happi,,Toof
5082,0.03222,6931,62.98,https://magiceden.io/item-details/9Qv4od6bUT99XEWbTET8GT4v8V5inzZUc7FNfhjuiRdN,,Perry Winkle,Bear,,Dialated,,Sweet Tooth
5098,0.05,2334,87.34,https://magiceden.io/item-details/2A74xQNMGQFLGYGkuhirjc1QSgpuushiDPR4tYNu52dd,Cakey,Best Grey,Banshee,,Burned Out,Gold Horns,Good Grin
5154,0.06,3703,79.93,https://alpha.art/t/5PLE6P2xHTFShixbq1NAjD1jvySsENowuCLbBrkBr2PT,,That One Blue,Satyr,Galaxy,Burned Out,Candy Corn,Cheshire
5201,0.05,7258,61.06,https://magiceden.io/item-details/B3TuNNm9MenThocvG53B7FWhHEVdfJiHbN5p1jUJqiar,,Bluwu,Banshee,Snow,Stare,,Good Grin
5259,0.03222,4539,75.75,https://magiceden.io/item-details/FE3BEax6y76SJ98HPuvyXtu2h775ZPXtSHTTKVDCZYsW,,Pompus,Cat,,Snake,,Buck
5335,0.04,6996,62.56,https://alpha.art/t/5HYxuPngRqZ3MtaKB2GVsSeGyLE5qPxkK6BbEcZCMe4Q,,Blowfish,Banshee,,Jaundice,,Snaggletooth
5339,0.04,7062,62.21,https://alpha.art/t/HPVGY72QA7gKZuLFJUFSLEnm17Sst3nK1UAA1rovS48V,,Mint,Robot,,Derp,,Yellow Smile
5390,0.04,4072,78.17,https://magiceden.io/item-details/GcrgmCyiXZ4MiMSvcK3eywsohnUwW8VmFSSB8rgfBZ4h,IT,Pompus,Robot,Galaxy,Laser Gold,,D Smile
5392,0.07,7248,60.91,https://magiceden.io/item-details/5tkZYDWFSKeXmWzdrGPbjWfgNp9TEKjHNTxkFQJUQ9sq,,That One Blue,Robot,Bubbles,Dialated,,Snaggletooth
5415,0.05,2955,84.03,https://alpha.art/t/HrgA7EW2Sz2UMvEHVc5v33myvKVq72xMz6U41qyjFDJD,Vine,Mint,Monke,Galaxy,Happi,,Ogre
5421,0.06,2588,85.89,https://alpha.art/t/EvYZ6N13Ga2i1n987vBaskZo5w9yZtL7hoWgqDL99VXL,IT,Candy Red,Monke,Galaxy,Happi,Einstein,D Smile
5440,0.07,4867,73.62,https://alpha.art/t/DftXkCWv7HJAftYbk7scZ4h1g6iBw85GNNUrMNFpzqQm,Ramsey,That One Blue,Robot,,High,,Good Grin
5452,0.04,6345,66.03,https://alpha.art/t/Eza3DTZkkFcWZeZyMnaP4jhs5EAtyLZ8jsCJgaVUT395,Crow,Rusted Root,Hoodlum,,Derp,,Cheshire
5526,0.5,3844,74.78,https://alpha.art/t/DDdDsEbPSap1rPLZvdV6HMyGScAz9p416R4MxzGYcVEt,Magic Mirror,Alien Ant Farm,Robot,Snow,Hung,,Good Grin
5528,0.05,3128,83.1,https://magiceden.io/item-details/FsqT82L5nfKG18a9JbeirNcGb2gWnwU9U8cumHCFxXQ4,Kitty Charm,Candy Red,Cat,Snow,Happi,Diablos,Cheshire
5539,0.27,4145,75.48,https://alpha.art/t/5mu44pLhBGrJRRCqh8CAstWHPjj5jyw75sGcBJhXGDgS,,Pompus,Monke,Galaxy,Happi,Candy Corn,Toof
5540,0.17,7006,61.2,https://alpha.art/t/33iigY5LdB9QcBSmt6hVZVfaXoE4xKeb4gLKjy57hcPm,,That One Blue,Cat,,Tranquility,,Cheshire
5548,0.0333,7436,60.28,https://magiceden.io/item-details/DSwyfeCGLbh2BkQQkausHJuT82V9RemX9gWHQQ26MNff,,Fav Green,Cat,,Derp,,Cheshire
5608,0.04,7141,61.78,https://magiceden.io/item-details/6cw3gHMuh8Y4pRNAvb5YDR3DPE3eAhBmgs1pFwHPToLL,,Alien Ant Farm,Bear,,Tranquility,,Good Grin
5752,0.049,6375,65.78,https://magiceden.io/item-details/7NYnNz7f5SiECVfWLniLLUj9jAoPtzLaKk5MdbuZy1Y7,,Pompus,Banshee,Bubbles,Key Lime Pie,,Cheshire
5761,0.21,2735,83.6,https://alpha.art/t/JBRt1u4CvgkbyTvjGG8wKUgFbZWU7EK8px67vhVWZRjb,Flying Pig,Candy Red,Cat,Snow,Stare,Einstein,Yellow Smile
5762,0.75,4012,71.39,https://alpha.art/t/GQ8QqRAr87kzj9tt3hSCzA4Evdj2iGpfnEc7qZ5Htfb2,,Best Grey,Hoodlum,Bubbles,Spooky,Party Animal,Snaggletooth
5764,0.049,4279,76.97,https://magiceden.io/item-details/2UvEAmuGM4DZzPcpSexfDHKSs59s7Aesystu1YmbqfVF,Flying Pig,That One Blue,Robot,Bubbles,Jaundice,,Sweet Tooth
5766,0.049,5060,72.8,https://magiceden.io/item-details/CB9JizQjuJzrdmarrEQ7tUoY85Bd8zz831y4vn1uen19,Flying Pig,Alien Ant Farm,Robot,Galaxy,X,,D Smile
5769,0.033,2833,84.85,https://magiceden.io/item-details/GTue9nqwzvefy6L1YBwWWEzFVPWgqigFvKxYRYzx7zja,,Bahamas,Bear,Snow,X,Over Easy,King Vamp
5772,0.049,6448,65.39,https://magiceden.io/item-details/FGYQXS7ydYViX6LGh1Lmbe6F2tfSAsi4bMux8dT1sH8x,,Best Grey,Cat,,Tranquility,,Whimsy
5786,0.5,1834,85.51,https://alpha.art/t/Bo3W47B9ibPwvKZCwU4Ad2pk29cZtdrSaG41RsevPfVq,,Fav Green,Zombie,,Hung,Crown,Whimsy
5787,0.1,5462,70.15,https://alpha.art/t/Bytz6Q68doGt6iTzBSwjJuhnBbN76K9ntjYnYdfSd2Hn,Cakey,Mint,Satyr,,Stare,,Whimsy
5789,0.5,1374,87.97,https://alpha.art/t/4fY1dtH1tAr4GUicHagPKZArkKGfa4GEaYQGLGioM621,Cakey,Blowfish,Bear,Snow,Snake,Hari-kiri,Snaggletooth
5819,0.12,5000,72.41,https://alpha.art/t/8n5MyYVQeU8Wp1CtsgsLs4zqSTogfrxW25fg3oqoif7H,Flying Pig,Best Grey,Monke,Bubbles,Piranhas,,Snaggletooth
5878,0.1,5349,70.75,https://alpha.art/t/GwCdqQDMu3dWEk8FH3W1rbMZpgxdQFHWSA5eSMVZrtek,Flying Pig,Perry Winkle,Cat,Snow,Happi,,Drippy Purple
5906,0.1,5519,69.84,https://alpha.art/t/9Bzvjp3yeefe1FxhCHSUwrQFdC9JmVGCgbhZwWhfAaCb,,Best Grey,Cat,Snow,Derp,Webbies,D Smile
5909,0.27,2279,85.44,https://alpha.art/t/J6H9kyqvw99ZXNB4WyLR6F4jex9qdZVBNvG3VDRQaNSf,Kitty Charm,Rusted Root,Cat,Galaxy,Derp,Candy Corn,D Smile
5951,0.1,6492,64.65,https://alpha.art/t/54LTijNHTaGu2mWW1aHF35gYBaogtzbPmvQJ9nfrptDE,,Mint,Banshee,,Hero,,Whimsy
5980,0.05,2469,86.62,https://magiceden.io/item-details/J87cMxhSuBNbjrZEMdYmBcPVHsjvSceXTRoqiTt66igb,,Perry Winkle,Bear,Galaxy,Burned Out,Crown,Buck
5983,0.05,4583,75.34,https://magiceden.io/item-details/2mBQKoCgbYmeHPBS9XCiCUay9iG6eeLmtBARzGaewYHy,Ramsey,Rusted Root,Monke,,Stare,,Purp
5991,0.05,1508,91.75,https://magiceden.io/item-details/BzLxg8kDQpT1uWgByr88JRLevUoySWxBeLVHCYrXcwgx,Super Cape,That One Blue,Satyr,Galaxy,Happi,Snaily,Good Grin
5994,0.05,3027,83.64,https://magiceden.io/item-details/5n27KJGN8Jsic9pkMkKmYM3YxQru43hBidUdedVkivfB,Dice,Matilda,Banshee,,Spooky,,King Vamp
5996,0.05,5320,71.4,https://magiceden.io/item-details/Gom8xj8Fqi5izmm6iyN6N255wcBgBREVdhsnmRtaT6js,Cakey,Blowfish,Hoodlum,Galaxy,Stare,,Yellow Smile
6081,0.06,5472,70.49,https://magiceden.io/item-details/CVA2DVnN2eM9Nwav73LHxdLZS1udb7r7pS9ozdLLRdNZ,IT,Candy Red,Robot,Bubbles,Dialated,,Snaggletooth
6128,0.52,6143,62.31,https://alpha.art/t/6XroG3mgu3CCytWhpvmDrVAoqf1BvUcz9228wrumAxvH,,Bahamas,Cat,Galaxy,Do Not Press,,Whimsy
6155,0.3,4246,74.64,https://alpha.art/t/38Pzsbjr67S3TmnnNVYouVY3ZYkx51XxyPnTA3bsFyE3,,That One Blue,Cat,Snow,Stare,Webbies,Sweet Tooth
6162,0.035,7110,62,https://magiceden.io/item-details/9FwFKCNZQ4NtyXWgNRgUR1JrU4btF2sbwEHU981Ho13h,,Best Grey,Bear,Snow,Stare,,Purp
6169,0.035,5127,72.58,https://magiceden.io/item-details/4vEEA2zDVzqLzWB92mFqnkLzNepoD3Vpy6ppp4ZuCdtQ,Crow,Alien Ant Farm,Cat,,Hero,,Purple People Eater
6204,0.04,2828,84.81,https://magiceden.io/item-details/CgTXGk3McGg5bADpmtsEqHAFQUUq6Lf4Lx35r5earWWz,,Fav Green,Cat,Bubbles,Bowie,Einstein,Buck
6249,0.35,4278,73.97,https://alpha.art/t/CF2bbi1wiJU2nXqrPpzGD6zTxuBBf4hAK2QW6pUT4eK9,,Rusted Root,Bear,Galaxy,Dialated,Unicorn,Snaggletooth
6315,0.1,2372,86.64,https://alpha.art/t/D1FhDbpiJ9v4zhnabTtJa7PW3btQ6jVwFgsP33Ym7zPC,,Candy Red,Punk,Snow,Stare,Gold Horns,Whimsy
6316,0.16,3468,80.19,https://alpha.art/t/2c1CWrU3F9zBZ6RuhytjfQEsUkw4TdTh3261dZtdgxkH,Cakey,That One Blue,Punk,Galaxy,Jaundice,,King Vamp
6378,0.06,7091,61.85,https://magiceden.io/item-details/BBzbiWKoNkv4zZns4JGGcJEgRSMMRewrRyv1MzkitfdL,,Candy Red,Satyr,Snow,Derp,,Good Grin
6388,0.15,2724,84.26,https://alpha.art/t/8Q6kqxRbUdB16J7NuDq71qh8HfvqA7BVNodJ596ZS4y4,,Candy Red,Robot,Galaxy,Burned Out,Einstein,Ogre
6397,0.05,3928,78.83,https://magiceden.io/item-details/2zAwABRkwviGYEwumUPXLG7wNhtwawmec1mk9YcxJubn,Crow,Blowfish,Satyr,Galaxy,Vipers,,Snaggletooth
6419,1,2004,79.6,https://alpha.art/t/HrkrADcetox6KgCxvitkkfHyEPbr2RZzQi7xpUBreYq9,Ramsey,Bahamas,Hoodlum,Bubbles,Derp,,Toast
6460,0.5,5579,65.52,https://alpha.art/t/9L3vCwDeaPymTtDgKKwZZQGejR5SZkYDGmcfhXo3kGBC,,Mint,Cat,,Stare,Party Animal,Cheshire
6532,0.69,1174,87.13,https://alpha.art/t/F33TtmjiHEaJo3uGfag1Ln9okW2AUU2ycCkVWyuqWxMQ,Vine,Pompus,Hoodlum,Galaxy,Dialated,Antennae,Cheshire
6547,0.05,4382,76.41,https://alpha.art/t/BwW9MeZLybGWxkVuhKA9q9zaFmwMxxoYDwhjrj2JqsTm,,Fav Green,Hoodlum,Bubbles,3D Glasses,Antennae,Cheshire
6550,0.05,6809,63.46,https://magiceden.io/item-details/5RvGRZhJ5w9xBcHYRvb59taKRaStBkmQuZDbDYn3qMzj,,Bahamas,Monke,,Pain,,D Smile
6557,0.1,2412,86.43,https://alpha.art/t/GcxKK83Sx2C9wV94VnzY2irViPfa5bmxBrX5HrrMh4f2,Crow,Bahamas,Banshee,Snow,Tranquility,Diablos,Snaggletooth
6568,0.093,5627,69.34,https://alpha.art/t/7SHnBK8yHykaDs8YWzqLdyLe8Gs9MJ6t2BThNHw4iTky,Cakey,Bluwu,Monke,Snow,Stare,,Sweet Tooth
6577,0.113,4757,73.78,https://alpha.art/t/2FV8889Vxgb1x1i7HG4wGh4WV5Lc81BPmnWb5sK5T2YX,,That One Blue,Bear,,Tranquility,Antennae,Snaggletooth
6605,0.03,1287,93.13,https://magiceden.io/item-details/7wcuSvugzJfKcNyqaJH8FMQPth3MoUDNgPGojkdjfGMj,Dice,Perry Winkle,Banshee,,Hung,Candy Corn,D Smile
6616,0.05,6098,67.25,https://magiceden.io/item-details/XWCyw39QTvVnp69bSEksAyFbYNaTpBmrqgKPKZxr9uj,,Candy Red,Punk,,X,,D Smile
6648,0.98,1335,83.37,https://alpha.art/t/4rxqSQnYd7u54HFCEmDEAa9hgKkY185Ma2yvw6WkWUEB,Flying Pig,Bluwu,Monke,,Do Not Press,Gold Horns,Stitch
6674,0.1,4647,74.5,https://alpha.art/t/Hsez7ozG6pLRcz5vP1wtWSNdaJUfHxrLBkjsGwj3L38F,,Best Grey,Monke,,Stare,Webbies,Buck
6764,0.03222,5455,70.86,https://magiceden.io/item-details/ciu8dywf7HHkX8bGcRMnbsztnfsUnV2UoDNfLY3362B,,Pompus,Robot,Bubbles,Happi,Webbies,Cheshire
6799,0.3,4165,75.07,https://alpha.art/t/3Dec1MHp6j66A59aBMt9iq6weKkYYfRSB8J4D88rVCWt,IT,Mint,Punk,,Bowie,,Good Grin
