id,price,moonRank,💎 score (%),storeURL,Background,Eyes,Headware,Item,Mouth,Outfit,Skin
3818,29.5,524,0,https://solanart.io/nft/DV8JZ9ZHaTnmCUB9b4sgYXPedUiqi8Qf5uXp4zaWo28U,Red,Possessed,Cyberwear,Umbrella,No Accessory,Advanced Red Samurai Armour,Green Cyber Suit
3828,1.3,1316,85.28,https://magiceden.io/item-details/9h8E1i9CZnCNCz4FkXvqvaFkkw9p7R3kbbPsigenb8gX,Leaves,Stoned,Boony Hat,Modded Naginata,Bamboo Bong,Caveman,Sand Cyber Suit
3838,14.99,6075,0,https://solanart.io/nft/5vaXQWV5DcvMADQf9vevRC4n75eWGTGH8JdCzu8u48tk,Yellow,Yellow,Rice Paddy Hat,Handgun,Bamboo Bong,Black Tshirt,Blue
3845,1.8,6881,55.23,https://solanart.io/nft/GA3osbFELopZZfxJAuLqBAevrfJPtCpcWHypFceNGBUi,Salmon,Blue,Cowboy Hat,Hot Yakitori,Chewing Wheat,White Tshirt,Black
3846,4,8809,24.55,https://alpha.art/t/G1x1pwEzZUJmepy9oTXrG4wCXV4PUuMN5EdufgQsPw7B,Yellow,Brown,White Ski Mask,Fan,No Accessory,Blue Flannel,Mud
3848,2.5,4341,59.66,https://solanart.io/nft/HSfpspzh6YESa413Z4wn7nrGwSRmGYRzAQaxBe1EGbdx,Leaves,Bloodshot,Black Motorbike Helmet,Fan,No Accessory,No Outfit,Spirit
3852,2,5797,58.11,https://solanart.io/nft/85rqEfvDFiKmtp1DY8GVkEC3vjWgrZZPzaJa3xbgXR6V,Light Gray,Cyber,Cowboy Hat,Baseball Bat,Surgical Mask,BOGO Tshirt,Green
3853,4,4345,44.64,https://solanart.io/nft/9ZGFSsMnKjrUnDmEFumF3ej2HzELD9rsgXvPzp9kveTd,Purple Rain,Yellow,Green Headphones,Fan,Chewing Bamboo,Blue Flannel,Blue
3856,11.24,1652,0,https://solanart.io/nft/A22Q1WGUKhEawdw1twhza7ufh5BtGohnjupNvWVM4GN3,Salmon,Yellow,Helmet With Antlers,Leafy Stick,Surgical Mask,Caveman,Black Tattooed
3881,4.4,1797,52.11,https://solanart.io/nft/DRdCRNLTFLnEtGydJkVbyPLxDpBaBJzmvoVQTR8HzhgX,Yellow,Brown,Blue Ski Goggles,Fan,Beard,Bloody Robe,Black
3885,1.99,2803,71.68,https://solanart.io/nft/FAhgzAFCbYcsMn8ENhhubUxGsmy76pGrZCakWKMXAwDF,Light Gray,Cyber,Cyberwear,Fan,No Accessory,Winter Coat,Spirit
3891,1.6,3880,70.74,https://magiceden.io/item-details/EmXbxDTS1aD567eLnrHXv6A9NtQWie8oktVA6pukoDLM,Pink Neon Kanji,Blue,No Headwear,Rambo Dagger,Pipe,SWAT Gear,Ghost
3902,8,5287,0.4,https://solanart.io/nft/9kjjQN9acEXF1DwTzcvhBC4ztagS4teFW2hk54HQWwRi,Yellow,Brown,VR Headset,Katana,Cigarette,Cyber Policesuit,Green
3909,1.2,1788,84.15,https://solanart.io/nft/opoVaY64MbNJjavCGpRsJC92YkR2rv4At9fKN8v7vYd,Purple,Ghost,No Headwear,Katana,Mustache,Blue Flannel,Green
3914,0.86,4948,73.33,https://magiceden.io/item-details/DM3BTtf1gyb2YhbEAKruaaTfv6wHZF8Zrev4r6AAU8Qr,Light Green,Green,Red Visor,Spear,Toothpick,Caveman,Green Cyber Suit
3956,1,7464,60.6,https://solanart.io/nft/BHYeDKCmMDG1HRWzCDjUKZA6qZ94Eq3RjWH8nzhHNaBJ,Red,Brown,Boony Hat,SMG,Surgical Mask,Red Flannel,Blue
3957,3,1516,67.38,https://solanart.io/nft/Epudg8XENckfYL3yXSzB5mt8bwKssRzG3Fw33TfhFcJd,Light Green,Stoned,Eyepatch,Assault Rifle,Chewing Bamboo,Bloody Robe,Half Robotic
3961,42,2587,0,https://solanart.io/nft/EXyAhox1Z39eJQTNL1V6pvvfVbZ9GpJJmEX95L8Rx2zN,Yellow,Green,Red Visor,Modded Naginata,Cigarette,Solana Tshirt,Green Robotic
3963,1,8680,55.13,https://solanart.io/nft/2hL1FyzHNwSx8dMkuT5sw1eVimCorPzWMehZFe61YGPf,Light Green,Green,Hannya Mask,Lantern,No Accessory,BOGO Tshirt,Green
