id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Head,Mouth,Neck,Soul-O-Meter
7717,1.57,6882,68.77,https://magiceden.io/item-details/4P4JHGxmfoZaMJXwzEoUSoUtzborgY3Tdr24BCQQCoBY,Red,Collie,Purple Tee,Angry,Blue Bow,Open Mouth,Black and White Bandana,Common
7722,3.27,8939,43.54,https://magiceden.io/item-details/GEsE4fciojF8cGsPSMXuMFnHcAjG1S8XeX69rtiChmfH,Red,Shiba,None,Drunk,Black Newsboy Cap,Closed Mouth,None,Common
7732,2.2,8683,55.26,https://magiceden.io/item-details/7AdgxxP3NfU4Sg2w7X3bkcELD9pyv3gyzvswRPwZzD6k,Orange,Collie,Rebels Jersey,Circle Sunglasses,Blue Bow,Closed Mouth,None,Common
7760,2.97,4796,63.11,https://magiceden.io/item-details/5TUUdicRc8xGR5k37tnFEpPPQX68ZLMT3GcLp3y59eEy,Purple,Lab,Black Soul Dogs Tank,Cute,Pink Rock Locks,Closed Mouth,Black Collar,Common
7765,4.5,3752,51.99,https://magiceden.io/item-details/8NjTpgeudzPcBsZ8cQfrBtFXrb9rHY8fB7zoTKtqsy7W,Green,Hound,Plain White Tee,Drunk,Red Headband,Beer Can Boi,Turquoise Bolo Tie,Cool
7828,4.2069,6993,41.95,https://magiceden.io/item-details/Fdw124HakrJ5hvrp4DMCckuw4BX1xKTxKPtEtXqaCKZ2,Orange,Collie,White Soul Dogs Sweater,Stoned Orange Eyes,Brown Explorer Hat,Closed Mouth,None,Cool
7842,2.45,7903,55.88,https://magiceden.io/item-details/EZppNbc9DKHWLpyxHYz2bEHs7oFFijSseNtxdCg9QYUC,All Dogs Go To Heaven,Hound,White Tank,Happy,None,Cigarette,None,Common
7864,2.2,7048,61.8,https://magiceden.io/item-details/4Y5HXsiJdYTrDzdxNYZqtyfwz6qpFwXR11mfC4AhtiTb,Green,Hound,Blue Overalls,Stoned Blue Eyes,Bookie Visor,Burger Boi,None,Common
7880,4,7077,43.69,https://magiceden.io/item-details/2ZwXnkred9ffTgHTmaiV8zuy5sqgt3UYWAqrMSG9ZvaX,Red,Retriever,White Soul Dogs Tee,Angry,Red Bucket Hat,Drunk Drool,None,Common
7899,4,5558,49.76,https://magiceden.io/item-details/7uc9iQY6MFgKwe1kCXfjXAtSrKUSfwiQJGRXJ2vs33Up,Purple,Beagle,None,Sus Look,Green Mullet,Silver Nose Ring,None,Common
7915,3.4,1191,73.24,https://magiceden.io/item-details/GkVtGPwGrZEEJ7jc5XCgThYJYPos3b8FHR1SFmacPka2,Miami Vice,Collie,Dogidas Blue Tracksuit,Drunk,Brown Straw Hat,Tongue Out Side,Black and White Bandana,Groovy
7940,1.4,9456,60.17,https://magiceden.io/item-details/3shuNxgvV1n4BEXLXSr8dgwcPYHCyEZiK4YG6YRW99nN,Pink,Lab,White Tank,Happy,Brown Straw Hat,Chewing on Straw,None,Common
7971,2.9,9886,43.45,https://magiceden.io/item-details/Bpddpo4VyB7uxSuJQk8LcuArvB79cTKbkQWED1Uqh87Q,Yellow,Collie,Blue Hoodie,Drunk,None,Open Mouth,None,Common
8009,4.4,4679,49.28,https://magiceden.io/item-details/265E57J91wiePnXfVnyj97qqWZwhBwcKx4xnig25zuXR,Purple,Beagle,Tie Dye Tank,Stoned Blue Eyes,Red Cap,Cigarette,Black and White Bandana,Common
8026,1.57,7880,64.77,https://magiceden.io/item-details/5QTw57m7J7F6JdzbnmG2iMmTW1gU3Gywi7fVv9DSiJpy,Pink,Collie,White Soul Dogs Tee,Cypher Punk,Cowboy Hat,Open Mouth,None,Common
8051,2,9436,54.25,https://magiceden.io/item-details/GTRYsdmRmPfmNPSydaR8osGcVeSy85jvkHKET3EjXT4W,Blue,Hound,Rebels Hoodie,Angry,Black Hippie Headband,Tongue Out,None,Common
8066,3.8,4755,54.98,https://magiceden.io/item-details/CSbne9sYnJmbkaMXd5KdfR8PzYCMMrhAcF9snBUmq996,Orange,Retriever,Black Overalls,Angry,Black Cap,Burger Boi,Pink Bowtie,Common
8129,3.8,8041,41.83,https://magiceden.io/item-details/5S173fmV7q2LhjfXin6rYQS8ktYrFyCg7MbRR1kjH7su,Scooby Groovy Violet,Hound,Black Overalls,Drunk,Red Cap,Tongue Out Side,None,Common
8144,1.76,3604,79.98,https://magiceden.io/item-details/9EUo6WYGitkfSv2bmjepC4c9Vt1P4L1F42NWAQcU59vy,Orange,Dalmatian,Blue Hawaiian Shirt,Sus Look,Black Bandana,Tongue Out,Pink Bowtie,Cool
8152,3,8295,48.81,https://magiceden.io/item-details/73VqbaC8nEWE1SCnKRvrfVLYPXVfctubsc4GT6sM69b5,Yellow,Collie,Rebels Jersey,Cute,Red Bucket Hat,Closed Mouth,None,Common
8169,2.49,4512,69.05,https://magiceden.io/item-details/BrVLpfvn9bp1fEk54K15imzs1ycHbS4ZuY9r2yenALL9,Orange,Retriever,Black Grateful Dogs,Circle Sunglasses,Black Soul Dogs Cap,Closed Mouth,Heart Collar,Common
8190,4,5416,50.33,https://magiceden.io/item-details/CxPXXvHjmmkvK5DTZUmnurceGwvyAARunGub5v4eBBWo,Orange,Retriever,Blue Overalls,Cute,Black Cap,Pizza Boi,Chain Link,Common
8195,2.6,4695,67.22,https://magiceden.io/item-details/6Fi6Rm7icPiFbdfioaDXqZ9hLkfkBxkGxEdNrbeXxuWF,Purple,Dalmatian,Tie Dye Tank,Bored,Brown Straw Hat,Cigarette,Black Bowtie,Common
8215,2.5,5213,66.14,https://magiceden.io/item-details/Dccy7PvzUxNAfdT5zyLmXHxnvK4bPkY9mL5WQ2kaCCue,Pink,Collie,Black Overalls,Monocle,None,Drunk Drool,Doggy Bandana,Common
8232,2.2,6983,62.06,https://magiceden.io/item-details/9SYAmeEgJe2kFeGdYNVS7mTAumen5X1mWc6yL6QNrD9K,Red,Collie,Checkered Tee,Happy,Red Cap,Tongue Out,Doggy Bandana,Common
8244,1.3,2601,88.59,https://magiceden.io/item-details/BRtL6ryGm1HqEAki3bVmvkSAy8Akk4bV2oZoEq5vZqm4,All Dogs Go To Heaven,Lab,Black Soul Dogs Tank,Aviators,Retro Headband,Open Mouth,Black and White Bandana,Cool
8320,3.25,5707,56.67,https://magiceden.io/item-details/CwrM5E2GFMRPsYTrfZdvVmH44e8X5mWzmTJdbDfi4gGB,Yellow,Collie,Black Soul Dogs Tank,Angry,Black Bandana,Tongue Out Side,Ruby Bolo Tie,Common
8341,3,4184,65.26,https://magiceden.io/item-details/7F882EPYPhAzZnthYwr6xB45CADgWfRS8QssdPc8kezs,Orange,Dalmatian,White Tank,Drunk,Black Hippie Headband,Cigarette,White Bowtie,Common
8350,20,2429,0,https://solanart.io/nft/DkTpEKXw4CTSDdpsi1fnN3wtmoTZ3Q8dw8AT6UNf7CTF,Blue,Hound,White Soul Dogs Tee,Monocle,Yellow Pimp Hat,Open Mouth,Peace Sign Necklace,Groovy
8412,3.4,8689,43.24,https://magiceden.io/item-details/ENuuQY1ha9XE81vZdnu6UvGtpMJaog7ZzNxPw86NAcBv,Pink,Hound,Purple Tee,Flower Print Glasses,White Bandana,Closed Mouth,None,Common
8417,7999,2096,0,https://solanart.io/nft/HDM8BwfdBZm9peDTwYUuQHQ2kkV8XBZcW64ix1zDness,Yellow,Retriever,Silk Shirt,Laser Eyes,Purple Pimp Hat,Cigarette,None,Fly
8419,3,6709,55.16,https://solanart.io/nft/DVdQLUk2o8k8o2HugtxLpNkAYVAJExhetGag4DftNYzk,Yellow,Retriever,Rebels Hoodie,Stoned Blue Eyes,Black Mullet,Tongue Out,Black Bowtie,Common
8420,2,9424,54.3,https://magiceden.io/item-details/7qgeTRY1zdVsc7zzYN83gWY3P4Lzdg1ak9n2oCP3DiJW,Pink,Shiba,Blue Overalls,Drunk,Yellow Bow,Closed Mouth,None,Common
8455,4,6005,47.98,https://magiceden.io/item-details/EL3CJjZrZCkziNdCoRxQ2uWohCvP5EnDPon339Fq2a4u,Orange,Beagle,White Hoodie,Stoned Blue Eyes,White Pimp Hat,Open Mouth,None,Groovy
8462,3.3,4138,62.44,https://magiceden.io/item-details/3n1AMdL6X9xj7oW8HUS3LpDrZEYcKNut7vEVdDtgEJ5D,90s Pop,Retriever,Rebels Hoodie,Monocle,Black Cap,Open Mouth,Turquoise Bolo Tie,Cool
8478,3.5,2607,66.57,https://magiceden.io/item-details/3myLa7FS6xPGGdTJXZdK2mNHAV5X6BgLKodTxQfoZGJ2,Red,Hound,Blue Hawaiian Shirt,Cross,Yellow Cap,Tennis Ball,Doggy Bandana,Cool
8514,1.98,2574,81.9,https://magiceden.io/item-details/83VcgdGubJmzJn3URDNwS7LgFwjH3HSG99kabZUdpDnM,Green,Hound,Black Grateful Dogs,Bored,Black Newsboy Cap,Silver Nose Ring,USA Bandana,Cool
8556,2.5,7197,58.21,https://magiceden.io/item-details/AJo3sjUMiUMu1g8p19hx4Qq4BMUcMNwADu21nV9hCYTh,Yellow,Beagle,None,Bored,Brown Explorer Hat,Cigarette,None,Common
8577,2.5,4071,70.71,https://magiceden.io/item-details/3tgNXHo54rMUaz9WGwVhem7gkqiPvGf455nCsJnrjCU1,Red,Retriever,Rebels Jersey,Stoned Blue Eyes,Blue Hippie Headband,Pizza Boi,Black and White Bandana,Cool
8584,2.99,6022,58.01,https://magiceden.io/item-details/CeTueoZBTt7DoFwDRVtm6VCtNqMbSZuoiS8fY9eeWdUV,Red,Dalmatian,Black Tee,Stoned Blue Eyes,White Bandana,Muzzle,None,Common
8632,4.5,6296,41.81,https://magiceden.io/item-details/GsUovupyASB1mdGyarrqJqP1KNAzTfnPhofXCovgsE5U,All Dogs Go To Heaven,Collie,Blue Hoodie,Happy,Pink Mohawk,Tongue Out,None,Cool
8681,4.2,3348,56.61,https://magiceden.io/item-details/CGc4Wowx4irTN5343JFCq8xn27rQUpcj9rKSGv7F8owX,Scooby Groovy Green,Hound,Rebels Hoodie,Drunk,Pink Rock Locks,Open Mouth,Black and White Bandana,Cool
8741,4.9,4607,44.57,https://magiceden.io/item-details/GNUJJqGh3n263ueeJmjZ2sNU2eWRyBWYcmXYEXmENPRw,Red,Retriever,Blue Overalls,Bored,Jheri Curl,Open Mouth,Ruby Bolo Tie,Cool
