id,price,moonRank,💎 score (%),storeURL,Background,Breed,Clothes,Eyes,Head,Mouth,Neck,Soul-O-Meter
158,2.2,9828,50.68,https://magiceden.io/item-details/CS7zBsc8jBR4u7T4gYrY1DyyH7nr97vMvMnQjJ1tQayK,Blue,Hound,Plain White Tee,Angry,Brown Straw Hat,Tongue Out,None,Common
177,1.7,9097,58.6,https://magiceden.io/item-details/FwKcWkxtwP3JXxjtCQXfHZnhHPXuqjarupVznP7YVTUr,Orange,Lab,Blue Overalls,Angry,Black Newsboy Cap,Open Mouth,None,Common
197,3.195,5629,57.53,https://magiceden.io/item-details/GJUrRgb3bhn4qAxbN8SEJDm9nd9ZTAzKP39maL7oqB1z,Pink,Hound,White Soul Dogs Sweater,Drunk,Brown Straw Hat,Tongue Out Side,Peace Sign Necklace,Common
197,3.195,5629,57.53,https://solanart.io/nft/GJUrRgb3bhn4qAxbN8SEJDm9nd9ZTAzKP39maL7oqB1z,Pink,Hound,White Soul Dogs Sweater,Drunk,Brown Straw Hat,Tongue Out Side,Peace Sign Necklace,Common
243,3,1510,75.96,https://magiceden.io/item-details/AFmWFcvpRCm7gsGEtnd7fJ9AsGHHzWMsrK4FTQvrpkTW,Pink,Collie,Dogidas Vintage Tank,Bored,Doctor Light,Closed Mouth,Peace Sign Necklace,Groovy
276,4,4350,54.6,https://magiceden.io/item-details/BE7Gd5oCnt4ZDKGGD6e7CQpH93xWeS1f4XF8mNzu1b61,Green,Lab,Rebels Hoodie,Sus Look,Cowboy Hat,Beer Can Boi,Junk Yard Chain,Common
319,4.5,1768,59.93,https://magiceden.io/item-details/B1YyvhynjTrAEgTtEn3QXmamJpMKgqKtz1cpn1PFtQCg,Pink,Beagle,Red Hawaiian Shirt,Bored,Stars and Bars Racing Helmet,Beer Can Boi,Emerald Green Bolo Tie,Cool
344,1.33,9320,61.41,https://magiceden.io/item-details/EhLyzLjMRwZtjK5sLF5UES6Lf1fkxpxNACwBVnmNXgyp,Blue,Lab,White Tank,Stoned Blue Eyes,Black Rock Locks,Open Mouth,None,Common
356,10,9517,0,https://solanart.io/nft/BAGt3wMutPcy635u8cs35ynma64iPzpGBxhByh4AcPGj,Blue,Shiba,White Tank,Stoned Blue Eyes,Yellow Cap,Kiss,None,Common
387,3.99,4998,52.1,https://magiceden.io/item-details/F2pV4KmBaqG1L3SHkxdBVcD3LsQaQNvWoKN5Rm5CmxWA,Pink,Lab,Guitar Boi,Circle Sunglasses,None,Tongue Out Side,None,Groovy
398,4.666,5915,41.68,https://magiceden.io/item-details/H9dLXTFdvKjsi769P5Sns64r9oJx99mn5jE2n2KFw7Qv,Yellow,Lab,Black Soul Dogs Tank,Terminator,Red Cap,Tongue Out,Black Collar,Common
407,4.3,1494,63.02,https://magiceden.io/item-details/H97qmW6TkghxUdonBLZuxFPnpeqryWcmkfL3GydmjdoJ,Low End Theory,Shiba,Tie Dye Tank,Cross,Yellow Cap,Beer Can Boi,White And Black Bandana,Groovy
411,3.99,6239,47.14,https://solanart.io/nft/EytUiTWN75TRxctbg6hggia3dwgnzVasFQgx9SRsKF47,Orange,Retriever,White Soul Dogs Sweater,Eye Patch,Black SDC Cap,Cigarette,None,Cool
413,10,6908,0,https://solanart.io/nft/B4R6JWXnmTkw9ioG55ddiVLzTheUtyeK3LjvUMBrpoMK,Yellow,Lab,Tie Dye Tank,Stoned Orange Eyes,White Backward Cap,Kiss,None,Cool
414,2,8316,58.73,https://solanart.io/nft/7EebSiFnQchDbR2TtcN1morozt6WPMHPihwq9nrXsiEm,Red,Lab,White Tank,Angry,Green Mullet,Tongue Out Side,None,Common
422,10,5235,0,https://solanart.io/nft/G5JP1rQTgyreNj8d84qP4uUNYMRmLsoTXF8SDL1wvskY,Red,Beagle,White Soul Dogs Tee,Happy,Black Cap,Chewing on Straw,Emerald Green Bolo Tie,Common
427,3.2,5362,58.55,https://magiceden.io/item-details/9hWFqmN9ZmRSyr9D6hcyrmT8izJ4xFW4cH7Cudpc7acb,Purple,Retriever,Checkered Tee,Laser Eyes,Black Newsboy Cap,Tongue Out,None,Cool
435,7.89,3625,18.6,https://solanart.io/nft/wd7Tf5GSBHgv6gzmsHWjw2dc6uFfqYBB8Kzf3A8eYBH,Red,Beagle,Rebels Jersey,Cyborg,Brown Straw Hat,Tongue Out,Disco Ball Necklace,Cool
441,1.799,9584,55.67,https://magiceden.io/item-details/7zbykTdbpUfLeLhSBgGq4kg12Tg82q2JktCwEFGBrsct,Orange,Collie,Silk Shirt,Angry,Brown Straw Hat,Open Mouth,None,Common
473,3.15,9479,42.58,https://magiceden.io/item-details/Gicu1iYNrh8VVATC4tUFnyoecaLjcZtdiwQMwbdHTiZw,Orange,Shiba,None,Stoned Blue Eyes,Yellow Cap,Chewing on Straw,None,Common
544,3,2024,73.9,https://magiceden.io/item-details/F49SmGji9WWyw4gxrwWYbvuQnjPnzLLoVGL6vRyX2qdP,Pink,Lab,Checkered Tee,Monocle,Black Soul Dogs Cap,Kiss,USA Bandana,Cool
580,2.15,7224,61.6,https://magiceden.io/item-details/B1otQVVCwUSUMeGv8XkNDyRMrPX75b2SsrmRKnH2mSMC,Red,Lab,Black Soul Dogs Tank,Bored,None,Closed Mouth,Ruby Bolo Tie,Common
657,3.59,5857,52.67,https://magiceden.io/item-details/Cme4QmeFSfmJdECsM7DRA6QQ4z3wf6gKFvsMzYpHmXrg,Yellow,Hound,Silk Shirt,Drunk,Brown Straw Hat,Kiss,Black Bowtie,Common
658,3.5,3330,63.68,https://magiceden.io/item-details/4mpw4yHSnaGMYyx61PvF8EDFDriq5Ge3EpGELPUrmuhR,Yellow,Hound,Black Overalls,Bored,Woofer Beer Trucker Cap,Drunk Drool,Chain Link,Cool
677,1.25,8032,67.37,https://magiceden.io/item-details/APbCyRLY6uhQ1N61zAjNJxdbXcxkugAFswkMACQon566,Pink,Shiba,Red Hawaiian Shirt,Bored,Brown Straw Hat,Drunk Drool,None,Common
775,4.2,2100,61.6,https://magiceden.io/item-details/Gfu98k7ZkHfwCPWACG47SmgGnHH1PcYwqwzkU7y6kc5c,STAT7,Shiba,Silk Shirt,Closed,White Backward Cap,Open Mouth,Bone Necklace,Groovy
786,4.24,7398,40,https://magiceden.io/item-details/4BZpKieQSFwmfMYsqZvqcYTC9oeAxPu5JwFE8aN7Eh7k,Purple,Collie,Rebels Jersey,Circle Sunglasses,None,Tongue Out,Black Collar,Common
800,4.5,7301,37.79,https://magiceden.io/item-details/AnZ6V8Y7JsAGaeb3z9tp7HM34VD1WyXy25JpQbHrcAqu,Green,Shiba,Black Soul Dogs Tank,Aviators,Black Bowler,Cigarette,None,Common
808,2,7341,62.63,https://magiceden.io/item-details/6VUnFhHsCQj6uMTmkUoF5DGRtJTdNTRuzRZ3TKRXnCMJ,Orange,Retriever,Rebels Hoodie,Bored,Yellow Cap,Beer Can Boi,Black and White Bandana,Common
815,1.5,3484,83.06,https://magiceden.io/item-details/3u6rgCXdcrqBYfsySUzoEEw9xR6kGHFG2AVCtjS9i6vD,Blue,Retriever,White Soul Dogs Tee,Aviators,Native Pattern Bandana,Kiss,Disco Ball Necklace,Cool
825,50,7959,0,https://solanart.io/nft/HoNcqwMLsWymLtHQMDvknW63paMUK9qA3ctHYp9oVEay,90s Pop,Dalmatian,Black Grateful Dogs,Sus Look,White Backward Cap,Closed Mouth,None,Common
856,2.5,6549,60.8,https://magiceden.io/item-details/DQQXJq2HntSR4pXSk4ZLcQqm8qTPvpMP7rSDBJQe6AWz,Scooby Groovy Green,Retriever,Blue Hoodie,Bored,Yellow Cap,Closed Mouth,White And Black Bandana,Common
891,3,7245,53.01,https://magiceden.io/item-details/BYsutCG2Px4ozEo4vmnyoL36NoDJetfFSc35mRtzUVBY,Yellow,Collie,White Soul Dogs Tee,Stoned Blue Eyes,None,Beer Can Boi,Chain Link,Common
946,1.7,6583,68.66,https://magiceden.io/item-details/7hnV2DoGFCBHg4g3xd8SV4Wgh7oDVa5bNVVAQYzzFFy6,Blue,Beagle,Black Overalls,Angry,Red Cap,White Drumsticks,None,Common
951,10.5,5634,0,https://solanart.io/nft/J13gWSb227amF1sBorws23gVQaFWFmks1AAKxXFAfYjg,Scooby Groovy Violet,Shiba,White Tank,Stoned Orange Eyes,Red Headband,Tongue Out,None,Cool
977,4,2034,63.86,https://magiceden.io/item-details/EHTXE8URUKD5TLXu3tRayDWXU6YABMtdtUBLA1tdtwts,Green,Shiba,Tie Dye Tank,Pilot Goggles,Yellow Mullet,Closed Mouth,Bone Necklace,Cool
996,3.11,4392,63.33,https://magiceden.io/item-details/DfCaTb8AUMCfVPg5pYpo8yQbDwdmAeak3h6sjqhtLmJF,Yellow,Hound,White Hoodie,Angry,Red Cap,Pipe,Black and White Bandana,Cool
1028,3.5,5399,55.4,https://magiceden.io/item-details/8Pm17rAnqYjEWJjWMmvgUFUxHPf1k6AArSuwbBaiZEzV,Orange,Retriever,Black Grateful Dogs,Angry,White Bucket Hat,Kiss,Chain Link,Common
1042,3.3,9441,41.23,https://magiceden.io/item-details/89T8QmSjWbkdtN97cNEJPxgGYvF22XAd6fJHAwMVQ1wW,Pink,Shiba,Blue Hoodie,Bored,Red Headband,Tongue Out,None,Common
1056,2999,6734,0,https://solanart.io/nft/GNZWPFziGLQeT8NXvktkmw7Qn1BEn7n19zFqzqjMMqdC,Orange,Collie,Red Hawaiian Shirt,Cyborg,Black Bandana,Beer Can Boi,None,Cool
1081,4.5,6224,42.1,https://magiceden.io/item-details/4ZEzm7R6i9iCkD1zPEsR3pucfvyVtJ8KLjonzadhyVMq,Pink,Beagle,Purple Tee,Happy,White Backward Cap,Beer Can Boi,Black Bowtie,Common
1127,1.98,7862,60.75,https://magiceden.io/item-details/GkxFHD6uEFeYFNggTdNvM7gPfXLJQUoTGrHceaRNn169,Yellow,Collie,White Soul Dogs Tee,Closed,Blue Bow,Tongue Out Side,None,Common
1177,10,2077,3.69,https://solanart.io/nft/5sWakUksTGu8rqjTKJgPb17NQ5Bfo2EMSLQUuvzcYD3R,Purple,Collie,Black Grateful Dogs,Bored,Red Bucket Hat,Tongue Out,Probation Tracker Collar,Groovy
1192,3,7279,52.88,https://magiceden.io/item-details/6E4i3zCrGb1ufvEaUxueHTZKbGizwHqGTV6bPecxEEJY,Pink,Retriever,Rebels Jersey,Drunk,Black Bandana,Muzzle,None,Common
1194,3,5775,58.9,https://magiceden.io/item-details/H1DtHqgeDp6tvMReCixVxUn9bu8omxfd2roiyShymGkF,Red,Collie,Black Overalls,Angry,White Pimp Hat,Beer Can Boi,None,Groovy
1220,1.28,9713,60.34,https://magiceden.io/item-details/7Rtdo59qa8Zwjb75bVFiyUPW5MrR8iSZi9T9NEJSQWxr,Purple,Lab,Blue Overalls,Closed,White Bandana,Tongue Out,None,Common
1324,111,3500,0,https://solanart.io/nft/AM2cShXZ9Z7hJbzF2qC38gaSSm5mHqDcCZGSF1FRiJoG,Pink,Lab,Rebels Hoodie,Laser Eyes,None,Cigarette,Heart Collar,Cool
1356,3.8,4575,55.7,https://solanart.io/nft/Fc7yctoNJ32ZVDxCqy91N1HKada3SZmviV8QohWh4nNu,Green,Dalmatian,70's Vest,Cross,Yellow Cap,Silver Nose Ring,None,Cool
1368,4.4,4907,48.37,https://magiceden.io/item-details/BJD2AAn6g41khAUvxRYE8ecjpfazd56Kz4XEqWekD7aN,Psychedelic,Hound,White Soul Dogs Sweater,Eye Patch,Woofer Beer Trucker Cap,Open Mouth,None,Cool
1370,3.85,6112,49.05,https://magiceden.io/item-details/pB6xnj7ifdGpdUaMKoUnMeAt8nTgVzhSgkefEpzQ3PP,Green,Hound,Rebels Hoodie,Circle Sunglasses,Red Headband,Open Mouth,Black and White Bandana,Common
1391,4.95,2921,50.81,https://magiceden.io/item-details/HyBAEEJe2bmRbFsVtZZ73ypmngWEVgCp4GTSJ1rbuu11,Scooby Groovy Violet,Retriever,Black Overalls,Cypher Punk,Red Cap,Open Mouth,Peace Sign Necklace,Cool
