id,price,moonRank,💎 score (%),storeURL,Background,Belly,Body,Decoration,Eyes,Flair,Head,Mouth
306,0.4,3254,58.24,https://magiceden.io/item-details/4rZW9Y6Gk4yK7EPEXGo6Z4myLUVEDgaLFscBkrtDGJEc,Teal,Heart,Grim Teal,None,Exhausted,None,Dog Teal,Happy
322,0.4,3212,58.74,https://magiceden.io/item-details/4LJ2UDy3Ar94BFCEjuKHT3mmU3tSNDXs8MprqfyDiw9t,Teal,Leaf,Grim Teal,None,Panic,None,Bunny Teal,Sad
323,0.4,2530,66.93,https://magiceden.io/item-details/8ywSJk8wdMHLHr82tA4gRsjS2Dw1tN5xxPQTw63EixC9,Orange,Lightning,Concerned Pink,None,In Love,Eyes Scribbles,Dog Pink,Hungry
329,0.4,2153,71.45,https://magiceden.io/item-details/2bg6RZJ11JMyLm3zjJzqSHn1V8yAr8scytjj6tYLLb26,Pink,Heart,Grim Pink,None,Hurt,Stars,Bunny Pink,Hungry
371,0.4,2142,71.59,https://magiceden.io/item-details/DYHYKNQV6JwZ3fV2c8zpzCWfzkXN6MQBP2Uoy6zXQWX6,Teal,Heart,Grim Pink,Pink Flair,In Love,Eyes Scribbles,Cat Pink,Cheeky
385,0.4,2655,65.43,https://magiceden.io/item-details/GdTJjqsoREGraiHfqfYQP29424iXQ1HgbmwCKHGemEYt,Orange,Cell,Shy Teal,None,Panic,Tornados,Bunny Purple,Bored
388,0.4,2554,66.64,https://magiceden.io/item-details/2EaVydJp4xanjXwWib6KbSX3pMgbYbnuaLz54xVU8bv7,Pink,Heart,Grim Pink,Pink Flair,Hurt,None,Bunny Teal,Bored
424,0.4,2869,62.86,https://magiceden.io/item-details/8ANbmRNvoFU8B9juYmPZD7ThEoAAwkgdPPrEdjC7qAbc,Orange,Lightning,Grim Teal,Rain,In Love,None,Dog Purple,Surly
448,0.4,1248,82.32,https://magiceden.io/item-details/CreNPnrkhyzpTfoG9UARPLjRrMoqUGWSq9qbf8XnXWH3,Pink,Lightning,Concerned Pink,Flames,Exhausted,None,Cat Purple,Hungry
453,0.4,1489,79.42,https://magiceden.io/item-details/CftmwS8phhYrZUK5CJgYWmYyEq4AoJP5HeX71WzSmHT6,Teal,Leaf,Concerned Purple,None,Worried,Tornados,Dog Pink,Happy
467,0.4,3036,60.85,https://magiceden.io/item-details/6gqSjbaxcVaJvsKbQT87Q5U6ngXv3Keqv2nwg5zeEGiE,Orange,Cell,Concerned Teal,None,Panic,Eyes Scribbles,Cat Teal,Cheeky
502,0.4,3163,59.33,https://magiceden.io/item-details/ByJGpF1nsTxj9j8yR4n7YJrcBK5YM7Gy5sddWtm2hHJ7,Purple,Heart,Concerned Purple,Rain,Happy,None,Cat Teal,Happy
539,0.4,3177,59.16,https://magiceden.io/item-details/CELYoqCAUba9Mxd272GzXgftkohUa8dXVeg6x6sqZL6W,Orange,Cell,Concerned Pink,None,Exhausted,Stars,Cat Purple,Happy
549,0.4,2270,70.05,https://magiceden.io/item-details/EnTfeAAPybvWr4kh7VgmYFDkeTZA7v24hJ4sQJRPfb3B,Purple,Lightning,Grim Pink,None,Sad,None,Dog Teal,Bored
551,0.4,2952,61.86,https://magiceden.io/item-details/76H2fGqezmPj8TGhNq1kybgpej3BFPjtUvstmwdxxumd,Purple,Cell,Grim Pink,Rain,In Love,None,Dog Teal,Sad
558,0.4,1445,79.95,https://magiceden.io/item-details/2ViC53gbFHvem4CKtXpLGF2Ab1EE83drsishXdm81k5r,Grey,Cell,Grim Pink,None,Panic,Tornados,Cat Purple,Sad
571,0.4,2004,73.24,https://magiceden.io/item-details/5EoMV11jJDeokBYd3Mc1ynWMY2mwkBXGi32Fj3e6u2a9,Orange,Leaf,Grim Purple,Pink Flair,Panic,Cap,Cat Pink,Surly
589,0.4,2590,66.21,https://magiceden.io/item-details/Bcn4b8npY9uCfdVfKEcNPuyC829wAy6U4X7ARj97LCKk,Orange,Leaf,Shy Teal,None,Exhausted,Cap,Cat Purple,Happy
606,0.2,2998,63.31,https://magiceden.io/item-details/FSGdCNnxfrgLPtRg8S4YJFex2F7Lu6Xx2f6AVt8QWyib,Orange,Cell,Shy Purple,None,Bored,None,Cat Pink,Surly
609,0.4,2652,65.46,https://magiceden.io/item-details/3djuGRfHXLN8qz1pz1AWpqbg3aW1BbWqwxSaEX34xm8x,Teal,Lightning,Shy Pink,Scribbles,Panic,None,Cat Teal,Happy
644,0.4,2513,67.13,https://magiceden.io/item-details/7Lts1ZPRRjGu7r658W3jhJ8WwjpWmduZxEJ8pLUM63Sm,Teal,Leaf,Concerned Purple,Orange Halo,Exhausted,None,Bunny Purple,Surly
647,0.4,1953,73.85,https://magiceden.io/item-details/HXxEztSAuFC7x2mFWJiSoseT5VzbPuoxzTRuFuVPNGZ9,Teal,Leaf,Concerned Purple,Rain,In Love,Tornados,Bunny Teal,Happy
650,0.3,2789,64.82,https://magiceden.io/item-details/8JyHZ3Mxmc9iFkDJZU4fgeNG9VSYxqaXEHQiDEGH92yD,Green,Cell,Shy Teal,None,Hurt,None,Cat Purple,Surly
685,0.4,2334,69.28,https://magiceden.io/item-details/5Q1muH3s35UtgXPQBHU5CSjxipxshFeQMuu4bEG11FPr,Orange,Heart,Grim Pink,None,In Love,Eyes Scribbles,Dog Pink,Joker
725,0.4,1418,80.28,https://magiceden.io/item-details/3rW3hMVjTevFEmc5t2yhsyWePoxD73Lm5U5aoaGGYTGC,Purple,Leaf,Shy Teal,Rain,Hurt,None,Bunny Teal,Surprised
739,0.4,3249,58.3,https://magiceden.io/item-details/7S8e9AegHo2nUUcfKNfjyFNGEN8NoxyEn8Z9CKx4yxH3,Orange,Cell,Grim Purple,Orange Halo,In Love,None,Bunny Purple,Happy
741,0.4,2380,68.73,https://magiceden.io/item-details/Gb6CddqSnPftpaVfiLgphNDjwDFbmQ2iGCojzYEdPAGH,Purple,Leaf,Grim Teal,Rain,Happy,None,Dog Pink,Cheeky
765,0.4,2438,68.03,https://magiceden.io/item-details/8eKiUGD6er3Qzhi8VZWaGMiNCtqvLHZcy33XxdVey3xT,Orange,Lightning,Shy Teal,Pink Flair,Hurt,None,Bunny Pink,Hungry
775,0.14,2574,69,https://magiceden.io/item-details/DQHHWTsZWT6aWJpCuJTisvZSwZQ1gjGQsBEKXxbpXKV3,Teal,Leaf,Grim Teal,Scribbles,Excited,None,Cat Pink,Happy
781,0.4,2595,66.15,https://magiceden.io/item-details/261hyAWjamF9ACFtgDpawJGaryEkqeTDuSYAf9tZFHQy,Teal,Leaf,Grim Teal,Scribbles,Excited,None,Cat Purple,Happy
800,0.4,280,93.94,https://magiceden.io/item-details/KRJRmKsC7bcpxPyacKJ2GmqkqgtuF8Uqi9WF2HTt3rh,Orange,Leaf,Shy Teal,None,Bored,Tear,Cat Pink,Spookyz Scary
854,0.21,3307,59.5,https://magiceden.io/item-details/AR9tiziBALyorcYz4qBM9RKgcia1Qrfp5GxNAYpuppPy,Purple,Cell,Concerned Purple,None,Hurt,None,Cat Teal,Bored
868,0.39,2269,70.16,https://magiceden.io/item-details/57jCNNaFHpWMQPg6S4kiwoy45cDQSmvP9USUmEeCwbFy,Grey,Heart,Shy Purple,Rain,In Love,None,Dog Teal,Happy
881,0.25,2544,68.26,https://magiceden.io/item-details/384TYzWvSHfcPPpgU17zehmy93qTeEF3ShfchXneADLS,Orange,Cell,Grim Purple,None,Happy,Tear,Bunny Pink,Bored
938,0.35,1279,82.45,https://magiceden.io/item-details/EqWzdvWP5GAG4UmhxxLfAZTasSZyNkfSVRR6bdAsi4FJ,Teal,Leaf,Concerned Teal,Orange Halo,Excited,None,Dog Pink,Clueless
