id,price,moonRank,💎 score (%),storeURL,Accessory,Aura,Back,Background Color,Body,Ears,Eyebrows,Eyes,Feet,Hair Color,Hair Type,Head,Legs,Mouth,Race,Racial Variant
2024,2,5197,72.64,https://magiceden.io/item-details/6TYZXZaEwCJWu7PwTTHQSJFxcfK9BfhATYHhTPobPcru,,Party A Aura,,#85e8a9,,01,18,28,Green Sneakers,blonde,28,,Green Plaid Pleated Skirt,03,elf,
2055,1.75,6187,71.17,https://magiceden.io/item-details/GJ3hWsBnRArtxNSwm5YDHaJ5G7HXJervjAvVLvqeV6tJ,,Red Flames Aura,,#87fff3,,01,20,16,Red Flip Flops,blonde,37,,Red Baggy Pants,04,lizard,01
2534,3.99,NaN,0,https://magiceden.io/item-details/2T8cwud9Zd8XTsTrZfYJqzwaiU89cJaNinb83YH3PD6k,,,,,,,,,,,,,,,,
2541,2.5,4427,70.73,https://magiceden.io/item-details/Ap52HvNfvrmGg6XsNhUnfUG42mQfhB4fjAVzCHabSMwe,,Orbs D Aura,,#2b6bb5,,01,,32,Blue Flip Flops,red,22,,Blue Shorts,01,lizard,01
2542,1.749,8097,63.51,https://magiceden.io/item-details/6uMK7WAqimcyT2ZiPB51YJoy6eMpuJa5g7kD2HFmCsMz,,Party C Aura,,#ff99ef,,01,05,19,Brown Flip Flops,brown,36,,Brown Cargo Shorts,03,human,
2552,1.45,9775,59.76,https://magiceden.io/item-details/H1JShPZGsGDoqDh8xnM3kRNg2GxmFp9XGkxukbHQVisC,,Neon Circles Aura,,#9641ff,,03,06,11,Yellow Boots,grey,37,,Brown Pants,04,human,
2553,3.88,5429,52.91,https://magiceden.io/item-details/B2Xnuo7dksa19t78r6S8vF4cVQfmaY6wnGwEBc5nnHGJ,,Silver Blade Wings Aura,,#85e8a9,,02,19,14,Strappy White Sandals,brown,37,,Blue Shorts,03,catfolk,02
2560,2.5,9242,51.4,https://magiceden.io/item-details/6JSRrUCbgaTotYSDwGc21h55oUvGqsHqPGmYivJvRD5c,,Starstruck Aura,,#87fff3,,01,02,01,Pink Flip Flops,black,37,,Red Baggy Pants,03,lizard,03
2590,3.5,4668,59.76,https://magiceden.io/item-details/5BeN3Jt5NMkHpNv3s5nS4uyzwpF4kEzN6PF3N5CCBFPT,,Purple Flames Aura,,#ff99ef,,03,10,06,Purple Sneakers,blonde,14,,Brown Cargo Shorts,03,catfolk,05
2624,2.5,7843,57.02,https://magiceden.io/item-details/7mhzTpDCwBAGZf61FZGYDqJTyen1v1ovsK7Z9AztV5jJ,,Scooter Aura,,#ff8599,,03,19,17,Tall White Boots,grey,36,,Plain White Miniskirt,04,human,
2672,2.39,6239,64.56,https://magiceden.io/item-details/2enwyaiEcRMDsJyv4JhZY2wb9tJ58SGDnjNvBUm7apyh,,Purple Stars Aura,,#232234,,03,13,26,Purple Skate Shoes,red,33,,Pink Polka Dot Pencil Skirt,02,orc,
2780,3.5,4509,60.4,https://magiceden.io/item-details/5XSYf6Cy7FLnuMS28Bt9JkEodZCLVDQGNwGbwJKsxq5u,,Thonk Aura,,#85e8a9,,01,10,17,Gray Sneakers,brown,36,,Grass Skirt,02,catfolk,03
2815,1.9,5563,72.17,https://magiceden.io/item-details/6sx3hY3jQXFg587kYyXd71d7p5QFCGoo2mnE1WR976mc,,Pink Sparkles Aura,,#61a8ff,,03,10,11,Tall Black Boots,brown,32,,Yellow Baggy Pants,03,lizard,01
2830,1.5,8838,63.02,https://magiceden.io/item-details/BgVm4Z6ixHtsYizpDND26dLj1L5uS6F3zDVgFPNWMPK6,,AA Gun C Aura,,#ffd864,,02,04,08,Red Flip Flops,red,32,,Red Baggy Pants,02,elf,
2860,3.35,4456,62.11,https://magiceden.io/item-details/ADfxfSwyZwUH3rVx1vAWA7S4v9F3KkE3k2q4E2Y9Lsup,,Weed and Chocolate Aura,,#9ca4a7,,03,07,29,Purple Sneakers,blonde,33,,Purple Miniskirt,02,orc,
2941,4,4762,54.39,https://magiceden.io/item-details/GeWnDymxWJNeS5gghXSnkiuZpfDNkNFQ1DyRZyMv5ioy,,Yellow Stars Aura,,#e2e2e2,,01,03,13,Purple Sneakers,red,07,,Blue Baggy Pants,03,lizard,02
2954,1.5,9602,59.96,https://magiceden.io/item-details/8nDTJg2MnjQhbr49YgrBiMVjQ41syY5fjucbnnVbV279,,Party B Aura,,#215ae8,,03,11,16,Tall Brown Boots,blonde,37,,Brown Cargo Shorts,03,elf,
2973,3,6430,57.69,https://magiceden.io/item-details/6yrG8yaAc1XXQzFJCPRPQc5H9d4Y37L53qaPPFPHTPdR,,Rainbow Coins Aura,,#9641ff,,03,02,07,Tall Black Boots,brown,37,,Black Cargo Shorts,02,catfolk,02
3003,3.5,8331,45.06,https://magiceden.io/item-details/51YpvNVG27CZKbEHBEUQfbdm2kXj7yia7JaiWTPzZE1A,,Starstruck Aura,,#85e8a9,,02,19,20,Gray Slippers,brown,36,,Long Gray Skirt,01,lizard,03
3018,2.99,NaN,0,https://magiceden.io/item-details/2YWRcXEMKph4LfmF3bQDT3gzCihraBwDrtRQ61eTPbMn,,,,,,,,,,,,,,,,
3027,2.49,3917,72.88,https://magiceden.io/item-details/52shHs1XAKnmLwUU33cL5Zx3xo3Mcgrf6EjtsFtXKtoa,,Bakery Chocolate Aura,,#9ca4a7,,03,02,21,Tall Black Boots,grey,33,,Purple Bikini Bottoms,03,orc,
3065,3,NaN,0,https://magiceden.io/item-details/4h6chZdycNVXamMXGfwc39gLFpPWPDs5pedBU5FC4zmF,,,,,,,,,,,,,,,,
3084,2.6,4198,70.65,https://magiceden.io/item-details/Hx6bdJA28pKYKEAsSbu5dyDtmost8TrB6jvvBjYm1jFS,,School Fireworks B Aura,,#9641ff,,01,04,30,Pink School Shoes,black,36,,Pink Polka Dot Pencil Skirt,02,catfolk,02
3089,2,7636,62.85,https://magiceden.io/item-details/22EhDcsMfWTYVS4N75vWCE6Cw4g5iriyT7NLGGDmGzfh,,Gamers Robot C Aura,,#85e8a9,,01,06,20,Brown School Shoes with Black Socks,black,36,,Gray Shorts,03,orc,
3100,3.99,NaN,0,https://magiceden.io/item-details/4rU8zKsrNZu3Z3MDRnriYegf6edJdiavWpJh7bE38bBj,,,,,,,,,,,,,,,,
3115,2.9,1944,76.7,https://magiceden.io/item-details/FdufyfTqCpJcm8V142nHy8GxBfkMMGEfVV5TMq4xwyF7,,Octopus Game B Aura,,#383838,,03,11,03,Purple Skate Shoes,grey,11,,Black Leggings,01,catfolk,04
3119,2.5,6544,62.23,https://magiceden.io/item-details/GnBKmYMbgixeNY2RoRuDHZohtj5LC2JUy5eT3WnHYKXr,,Gamers Robot B Aura,,#9641ff,,02,11,18,Purple Skate Shoes,brown,36,,Green Miniskirt,01,catfolk,02
3146,3.3,5419,58.75,https://magiceden.io/item-details/8mQAqM4gshckwqnQoe1T4bNYiTyDPL93znEyZdTxVxgw,,Gold Card Aura,,#9ca4a7,,02,19,22,Beige Slippers,brown,30,,Gray Shorts,02,catfolk,02
3176,1.4,7130,70.88,https://magiceden.io/item-details/EiUePcAuRvuybSs9wgSaift3mDWanpVxVqkANYyQtiJ2,,Red Leaves Aura,,#9ca4a7,,03,10,06,Red Flip Flops,brown,32,,Red Baggy Pants,03,catfolk,03
3178,1.99,6846,66.12,https://magiceden.io/item-details/3FNPEJfGRxV4AVGCYEoxHfqy4EiiEtYTEu3eBvH48dCW,,Blue Sparkles Aura,,#ffaf2e,,01,13,28,Black Heels,red,36,,Black Leggings,01,elf,
3199,2.5,8751,53.37,https://magiceden.io/item-details/5kpFJk7VSmvTK9umohSSsacjK22xEcYq7tN59K9Hw1Xa,,Bubbles Aura,,#215ae8,,01,,25,Gray Sneakers,red,33,,Gray Pants,04,human,
3241,2.8,8322,52.1,https://magiceden.io/item-details/HdbpoLpAjygLqWMb6nXzhyBKfvCNJ7hPGnhhevoyeZ6s,,Party A Aura,,#87fff3,,02,,18,Black Skate Shoes,brown,36,,Black Cargo Shorts,03,elf,
3244,1.65,7470,67.02,https://magiceden.io/item-details/ETmVyTp6cYvoKUshUoBGu9Ni2P56SXoe9PS9fmn5fZuX,,Yellow Leaves Aura,,#383838,,02,11,32,Brown Boots,grey,36,,Brown Cargo Shorts,02,lizard,01
3246,3.5,8594,44,https://magiceden.io/item-details/HN6d1TRiZug2KdEVMqbaGgQeTCRYyqimfKqeDTE5pTi3,,AA Gun A Aura,,#87fff3,,02,03,14,Red Flip Flops,grey,37,,Yellow Baggy Pants,04,lizard,03
3255,3.8,2551,65.26,https://magiceden.io/item-details/8cvWHq8MMuVUp2JUur8L9iLkYLVqMAakzeTAgjRpBWfL,,Yellow Leaves Aura,,#383838,,01,01,10,Black Skate Shoes,brown,37,,Black Leggings,02,catfolk,03
3259,1.6,8735,62.44,https://magiceden.io/item-details/9QdUx96ETTraL8HB4uhJ7WQkS1GQZa4Nrtf1Bwdd3e64,,Orbs B Aura,,#215ae8,,02,,18,Green Flip Flops,brown,36,,Plain White Cargo Shorts,02,orc,
3351,2,9906,53.74,https://magiceden.io/item-details/6gXP87H5en38h5riVBtHHGAwomRLwEQhHFcDuhC9mLBP,,Yellow Sparkles Aura,,#232234,,03,,14,Pink Flip Flops,black,37,,Yellow Baggy Pants,02,human,
