id,price,moonRank,💎 score (%),storeURL,Biome,House color,House number,House style,Material,Openings color,Openings style,Precipitation,Roof color,Roof style,Sky,Street name
115 Wall Street,59,1536,0,https://solanart.io/nft/8oPZ4CU62RptfMcoiRAQMXF7uRGtmpS8zg2zUR3uVN9W,Treehouse,Red,115,Cottage,Brick,,Glass,,Pale green,Shingle,Day,Wall Street
118 Ape Lane,104.199997,1357,0,https://solanart.io/nft/Gk3uCKTwDraMSWxoLfNXmb8yc6kjmXGXEEFDhSxsZ1aZ,Field,Blue,118,Mansion,,Yellow,Shuttered,Rain,Red,Shingle,Day,Ape Lane
120 Canal Street,90,1082,0,https://solanart.io/nft/GZqdwx4ULjbksx2BUUthETsndBMiVzYPgrQEDmsVHtEr,Field,Yellow,120,Cottage,,Pale green,Shuttered,,Green,Haunted,Night,Canal Street
120 Supple Circle,169,999,0,https://solanart.io/nft/C3vZDUVSnbkWRHLeR8XuknhBDHdKTi12MhAJ4piHXArW,Woods,Green,120,Cottage,Vines,,Occult,,Yellow,Shingle,Night,Supple Circle
143 Canal Street,49.990002,1348,0,https://solanart.io/nft/FkHifGqBmKmcAZJbYX4JEu3dsE9VABJuQ9eKJFGwzUzy,Field,Green,143,Art Deco,Brick,Red,Rounded,,Mix,Food,Day,Canal Street
158 Stewart Avenue,39,2013,0,https://solanart.io/nft/8Su559QGPooEXS6cuseXKtJCg3R8kLSznZSpJV8ACJk3,Field,Red,158,Cottage,,,Crystal,,Red,Tin,Day,Stewart Avenue
162 Stewart Avenue,44,1002,0,https://solanart.io/nft/6fJAVc2jjwR9Z2K6viiw1Vi3isy27cSUaQP3WCvGwjG5,Treehouse,Red,162,Modern,Vines,Green,Rounded,,Green,Skylight,Day,Stewart Avenue
184 Wisteria Lane,73,443,0,https://solanart.io/nft/6R1ciwNzTjmeBLx5wHNzXixrZZMhtwWCz1a16g5pYF7U,Treehouse,Green,184,Art Deco,Brick,,Glass,,Mix,Grass,Day,Wisteria Lane
222 Baker Street,125,445,0,https://solanart.io/nft/VKUgcrTV98CXYQ9SVx9cMEdmxjr4vKSt6JYNxg5yMcw,City,Yellow,222,Art Deco,Vines,Green,Shuttered,,Mix,Grass,Night,Baker Street
224 Bit Boulevard,43.5,1624,0,https://alpha.art/t/9xmfLg5Vf7XGVqE3YDMZrh37TKUEimUZuSNKjh4rbuPe,Mountain,Yellow,224,Cottage,,,Crystal,,Yellow,Skylight,Day,Bit Boulevard
225 Baker Street,40,612,0,https://solanart.io/nft/CBtnrVbzhnBcBhMVEBgaTYMqwV7ZuztqmjupNhjx4hyz,City,Blue,225,Art Deco,,Blue,Rounded,,Green,Tin,Stormy,Baker Street
226 Delray Circle,55,435,0,https://solanart.io/nft/9YFLzjTf97mpiHW2ixMCW98rkJTmPTGsgy3thBrXGvAb,Underwater,Green,226,Mansion,,Red,Rounded,,Blue,Patio,,Delray Circle
240 Bit Boulevard,39,1367,0,https://solanart.io/nft/DNcFRpLtSLN4BhEG4gek8yAohqCGBF2LJaKrafdi9v5D,Field,Pale green,240,Cottage,,Blue,Rounded,,Yellow,Tin,Day,Bit Boulevard
241 Privet Drive,43.799999,1981,0,https://solanart.io/nft/CZKbRQ48EQpgwu6VWnef8RQw8VyddZ4rkH6caZ77pHR7,Field,Blue,241,Cottage,,,Crystal,,Blue,Patio,Day,Privet Drive
243 Privet Drive,75,295,0,https://solanart.io/nft/4NXG6Y4vcpJphfZSgGJhLzM1Rkm4BrmwCWrU3uBqmG6A,City,Green,243,Cottage,Vines,Blue,Rounded,,Dark green,Tin,Night,Privet Drive
245 Privet Drive,99.690002,367,0,https://solanart.io/nft/9FTFkPe7WKoGRpRWLqh6r3wipEScWFiJgDNbNro4PAF4,Woods,Yellow,245,Art Deco,Brick,,Occult,,Lavender,Shingle,Day,Privet Drive
245 Bit Boulevard,100,69,0,https://solanart.io/nft/Ao5s25ehJcbCPLCqtJLeFBLSYrocHGw1pqs2VX4UNA2M,Woods,Red,245,Mansion,Brick,Green,Shuttered,Rain,Lavender,Haunted,Day,Bit Boulevard
247 Pico Street,35,1694,17.58,https://solanart.io/nft/FyqxfJGAAoeer4aSvtNNH9Uj6EA7iPA6pjCoaJHLMb19,Field,Blue,247,Art Deco,Vines,,Glass,,Mix,Food,Day,Pico Street
247 Privet Drive,54,119,0,https://solanart.io/nft/9SQ2hXAsxV1UUYHKPq7pQj2DVsGcFsC94yYWdCn2JZDJ,Underwater,Dark green,247,Modern,,,Occult,,Yellow,Patio,,Privet Drive
250 Baker Street,249,1110,0,https://solanart.io/nft/4mV1sdzWMWospB18CSxYAd2qrUECCKrS54fUZsm1z5aP,City,Red,250,Modern,Brick,,Glass,,Green,Tin,Sunset,Baker Street
251 Baker Street,75,1385,0,https://solanart.io/nft/AZHagTrJsvLE89WtNc8cQdrYTUH98CEr7iE2DN9tXtEa,City,Green,251,Cottage,,Blue,Shuttered,,Red,Patio,Sunset,Baker Street
251 Privet Drive,79,1209,0,https://solanart.io/nft/CrjiFSxjBTAhBEzMTL4AaUKJR4cVfxBrx9GhDnHDfvWz,Desert,Green,251,Art Deco,Brick,Yellow,Rounded,,Red,Skylight,Day,Privet Drive
256 Delray Circle,75,127,0,https://solanart.io/nft/CcEc7Wv4LgKrQD7Q6RXoL3RoamS9aPTyf2YehkCinp9z,Mountain,Dark green,256,Mansion,,Red,Shuttered,,Lavender,Tin,Sunset,Delray Circle
261 Privet Drive,50,544,0,https://solanart.io/nft/GWyBveH778vjrYYYLJWM5gDzen3ECP6CnSKjz9SVtEut,Underwater,Red,261,Modern,Brick,,Glass,,Blue,Tin,,Privet Drive
263 Frontier Street,100,34,0,https://solanart.io/nft/4w6dzGeDvC4KE6q6aF76r3zFkbN1LeZzLpgDkhHpi3Th,Volcanic,Dark green,263,Cottage,Brick,,Glass,,Green,Haunted,Stormy,Frontier Street
266 Privet Drive,42,729,0,https://solanart.io/nft/CKf9dBku6rm5KT7o1dq4zLKRAyLuHeHxAEvwaDwWCpo8,Treehouse,Yellow,266,Art Deco,,Red,Rounded,,Yellow,Skylight,Day,Privet Drive
268 Baker Street,80,2362,0,https://solanart.io/nft/H5N4E73JKR6ApSPWAzN5YuhCEom6MyJQet7LsSJT1coN,City,Blue,268,Cottage,,Red,Shuttered,,Yellow,Skylight,Day,Baker Street
279 Bit Boulevard,165,75,0,https://solanart.io/nft/79A74dtHSC2nUjGpw839ZXpM51eoLpTzhWiHv99kPFe1,Mountain,Yellow,279,Art Deco,Brick,Yellow,Rounded,Snow,Mix,Grass,Day,Bit Boulevard
285 Pico Street,30,555,86.02,https://solanart.io/nft/hYqB9VNpCFfVfYQyWsrtT4qg5ufb1RXYj2R2N91mpQe,City,Blue,285,Modern,Vines,Blue,Rounded,Rain,Red,Shingle,Night,Pico Street
286 Bit Boulevard,75,924,0,https://solanart.io/nft/BkjmdmtKqoraf1Qh4zt8TgCfFarMLXVWumhKVEaPfR6C,City,Yellow,286,Mansion,Vines,Lavender,Rounded,,Green,Patio,Day,Bit Boulevard
