id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Glasses,Head,Neck,Piercing,Skin,Tusk,Wrist
2649,3.85,1541,68.16,https://solanart.io/nft/8FyQYn15uLCbtecX1aUy4dGGG63pmCw73KyrQD999B2R,Blue,Green Suit,Sad Eyes,Pirate,None,Moustache,None,Ghost Babolex,None,None
2654,22,1291,0,https://solanart.io/nft/EwzLukv46Zce9EPtMnFCyrTeR5VwtKndCWV8QVjLc6b4,Purple,Standard Green,Base,Heart Glasses,None,None,Blue Piercing,Golden Babolex,None,Jade Bracelet
2664,2.5,4093,57.75,https://solanart.io/nft/Btnnpn9tDUS4AQsAhgT3HsaBZqb5sPT8fxEsUzBNmQkd,Jungle,Gucci,Joy Eyes,None,None,None,None,Golden Babolex,None,None
2674,4,4248,41.3,https://solanart.io/nft/27TAMMtuBfNragi2izQFhwZNNnhS3kwUjUciuygetC2w,Blue,Babolex Sportwear,Fear Eyes,None,None,None,None,Chrome Babolex,None,None
2678,10,695,14.59,https://solanart.io/nft/DtXkK22feR1xFdPw8HGKFoihr24HBoSykWsWjZHMqCQB,Volcano,Black Suit,Angry Eyes,Black Glasses,Pirate Hat,None,None,Alien Babolex,Gold Tusk,Rolex Pepsi
2681,30,4207,0,https://solanart.io/nft/DQxdk2AziH3qgiNKtSBeNAL2Qr4WHkNgtHQ24TbWqgyY,Chinatown,Fighter White Black,Joy Eyes,None,None,None,None,Golden Babolex,None,None
2685,4,3726,46.19,https://solanart.io/nft/5GTmzxvnpgCVsK4FjzPSN3ASAiuUvrCLs67yxtCi2z5j,Red,Blue Green,Dizzy Eyes,None,Green Cap,None,None,Golden Babolex,None,None
2688,19,357,0,https://solanart.io/nft/Anr79GpxWia4y6Yjv1x5FJSxbFJiwAK9gh2UpR972LrS,Paris,Captain,Joy Eyes,Black Glasses,Captain Hat,Scarf,None,Chrome Babolex,Gold Tusk,Jade Bracelet
2691,5,2006,52.3,https://solanart.io/nft/5aqxm14aPQPdupErK8m4aTm92rYg8we36XTzSrCjR6rM,Green,Standard Green,Base,Pirate,Pirate Hat,None,None,Zombie Babolex,Gold Tusk,None
2741,4.79,3456,40.82,https://solanart.io/nft/HgP49eh9rbAsTC9Fp3q9NSBHGwK3rW8uh2f9XZZKiXKr,Blue,Bathrobe,Base,Monocle,None,None,None,Zombie Babolex,None,None
2767,10,3665,0,https://solanart.io/nft/CEHHJpzaegSLci3QPxEtXAY4dqWTtehVgJyBpCND4qRN,Volcano,Fighter White Black,Base,None,None,None,None,Golden Babolex,Gold Tusk,Crown Bracelet
2768,30,305,0,https://solanart.io/nft/4rKxLjrpMNPAWepMb4L5SdJrL6ZCJnuWHwboix9NexT6,Volcano,LV,Angry Eyes,None,Punk Hair,Crown Chain,Rings,Ghost Babolex,None,None
2769,3,1833,73.93,https://solanart.io/nft/GwtnDKnoSowU6tTDk2dqTv62fTygcJuDSMR9e5Y5HLtj,Green,Sweat Short Orange,Base,None,Top Hat,Crown Chain,None,Chrome Babolex,None,Crown Bracelet
2771,2.75,2643,68.84,https://solanart.io/nft/C8V6xvvzWexA3pt5v2yfNEC9rkqfdX7pN4xRGCFop2Y4,Yellow,Fighter White Black,Base,None,Red Beanie,None,Rings,Chrome Babolex,None,Gothic Bracelet
2774,4,1484,67.2,https://solanart.io/nft/4xfFVU7VuQEuS3eboKHN5nWJ7HVrhneFiBGHmpwZoNR2,London,Dungarees,Base,None,None,Moustache,Gold Piercing,Chrome Babolex,None,Date Just Golden Rolex
2791,5,2349,49.09,https://solanart.io/nft/C16qdxDnpnbpGC92mDNb5h9hB2zHRwNwgbEsLWXmm9iP,Jungle,Green Suit,Sad Eyes,Viper Glasses,Hay Hat,None,None,Chrome Babolex,None,None
2795,20,1101,0,https://solanart.io/nft/DDk3Hsx9Mf5i6CscNVsjjj6rNvSK7Vo5DcjK3KYww6dp,Blue,Fighter White Black,Angry Eyes,Black Glasses,None,None,Blue Piercing,Golden Babolex,None,Rolex Hulk
2800,10,3930,0,https://solanart.io/nft/4fnE5zQDmsKRukbyD1iMtCRbFjW2BE81RJDxRdzActAb,Red,Sweat Short Blue,Sad Eyes,Aviator Glasses,None,None,None,Chrome Babolex,None,None
2811,4.5,2813,49.74,https://solanart.io/nft/9kHJBRhhAGRi2woAgDuCKYi1i8UY3F7uHiv7k7ybdhkM,Green,Hippie Clothes,Joy Eyes,Pirate,None,None,Blue Piercing,Chrome Babolex,None,None
2816,20,1169,0,https://solanart.io/nft/DGmv9Kki9m8BGvMbNh64JqQjJ38NKLNKg7oEnJwJJ2Xk,Chinatown,African Wax,Base,Viper Glasses,Red Cap,Scarf,Rings,Chrome Babolex,None,None
2833,11.2,1578,0,https://solanart.io/nft/AtEocr5oUHgHc914LD1Y6BM1sctddr1qgvfTNiB9my38,Egypt,Standard Green,Blazed Eyes,Disco,Blue Beanie,None,None,Golden Babolex,Gold Tusk,None
2841,20,2747,0,https://solanart.io/nft/3mr24YDxqEtspUdr7Mmyrx1ipeyVA7wqe3P7hpF1csv5,Blue,Hippie Clothes,Joy Eyes,None,Party Hat,None,None,Chrome Babolex,None,Date Just Golden Rolex
2843,4.2,2551,55.2,https://solanart.io/nft/GA19kkE36QB46RMZw24X7wx5rCSQwU2aXVQxnPkCsLLV,Volcano,Sweat Short Triband,Base,Pirate,Blue Beanie,None,None,Alien Babolex,Gold Tusk,None
2847,30,3836,0,https://solanart.io/nft/53nRhgyzmRVHKyWoGqH8ZMYckHGBP718tppYBnNhtRx1,New York,Panda,Sad Eyes,Black Glasses,None,None,None,Chrome Babolex,None,None
2849,12,3687,0,https://solanart.io/nft/CPLDs14KivGGT4HE4sgAowk8nqvTz8hdyiLkWuRZHr2h,Maya,Green Suit,Base,Viper Glasses,None,None,None,Golden Babolex,None,None
2854,8.8,607,27.41,https://solanart.io/nft/GmBcdhdEPBFwwLmvppqPCbpPzUMAdvZsarbZfNGrmG3N,Jungle,Standard Green,Sad Eyes,Viper Glasses,Party Hat,None,Silver Piercing,Chrome Babolex,None,Gothic Bracelet
2870,5,2173,50.74,https://solanart.io/nft/C8uixzRnaekofRKax5NAEixFYDtiDbm8x75QnuyhJW3j,Red,Purple Suit,Sad Eyes,Papy Glasses,Bowler Hat,None,None,Chrome Babolex,None,Gothic Bracelet
2917,4.9,298,69.31,https://solanart.io/nft/BCrQ4pKAnoVJ63swC8cCihGVm6id4qoKNvm7y5vfWwuu,Maya,Sailor Suit,Blazed Eyes,Rayban,Golden Crown,Fat Beard,None,Alien Babolex,None,None
2927,10,1113,10.67,https://solanart.io/nft/3hY6pXxCZsPY1qsWxJuTvAAAS7s35Cc34AmrowAn2j78,Purple,Hippie Clothes,Base,None,Captain Hat,BTC Chain,Gold Piercing,Chrome Babolex,Gold Tusk,None
2936,20,3387,0,https://solanart.io/nft/AGcVFEs9XcVBDShQUsvwp242GPTc24SXg4jpEyYExSg8,Volcano,Purple Suit,Alien Eyes,Papy Glasses,None,None,None,Golden Babolex,None,None
2937,13,2428,0,https://solanart.io/nft/G78CQuN5CUkXv3ndbt91tVtKjCq3595C5ZCVzYUxZRXy,Volcano,Sweat Short Green Gray,Sad Eyes,None,Blue Beanie,Bow Tie,None,Alien Babolex,Gold Tusk,None
2948,5,2905,43.88,https://solanart.io/nft/FQnTi8V4eyqNoF7uCy6gaEKziMgbUNd4dKF3PtMNtViC,New York,Dungarees,Base,Viper Glasses,Punk Hair,None,None,Chrome Babolex,None,None
2970,15,2773,0,https://solanart.io/nft/EJzsXNTJDsfR12PcA48Akw8Lsq4opBR37tWLKMg6rZjh,New York,African Wax,Joy Eyes,Viper Glasses,None,Scarf,None,Golden Babolex,None,None
2973,25,827,0,https://solanart.io/nft/E7fdUry6CtmrUG4CiYmweoczLx7Nm1yWU25MvubEG8Y4,Volcano,Fighter White Black,Blazed Eyes,None,Top Hat,None,Gold Piercing,Chrome Babolex,Gold Tusk,Rolex Pepsi
2977,5,2843,44.46,https://solanart.io/nft/65F1WxY5zcMRHDBL1nBpZfTzYWCt9ZivJfd3MkBzt2uj,Volcano,Dungarees,Fear Eyes,Black Glasses,None,None,Silver Piercing,Chrome Babolex,Gold Tusk,None
2994,19,4144,0,https://solanart.io/nft/Hq8Dj7CYUGjN29Ujs76jaoQKU9fwe3GrTACLP84hR55c,Paris,Sweat Short Triband,Angry Eyes,None,None,None,None,Chrome Babolex,None,None
3009,22,3935,0,https://solanart.io/nft/BwVUGVBfswnPtdUtHQ3D89qPFdRaQsXP8HJLcgMQVD1V,Yellow,Green Suit,Base,None,None,None,Pad,Golden Babolex,None,None
3019,3.76,2460,60.45,https://solanart.io/nft/DxhqERbCG7S5jpAbPWxHAUaBUDNF4a47bFEEZPWeRDBA,New York,Sailor Suit,Base,Pirate,Red Beanie,None,None,Alien Babolex,None,None
3021,6.79,2626,28.59,https://solanart.io/nft/JBYRhK2YXvjo3Vfo244F8hBhRyaT3N4fbVCfja95A6KR,Purple,Anorak,Base,None,Red Cap,None,None,Golden Babolex,Gold Tusk,Gothic Bracelet
3027,5.79,1688,47.38,https://solanart.io/nft/EVd3bWL2XNWAVXgLVUru3QwDH9vXbvWbb2mBvUrVQvai,Red,Anorak,Joy Eyes,Rayban,Captain Hat,None,None,Alien Babolex,Gold Tusk,None
3027,10,1688,5.28,https://solanart.io/nft/2BVuCsYXV3eC76jrQKJvhsKUvJBNtHBmooE2Be9jbfAA,Red,Anorak,Joy Eyes,Rayban,Captain Hat,None,None,Alien Babolex,Gold Tusk,None
3033,9.5,3537,0,https://solanart.io/nft/ExwaTeVuGq7sUBUQCMdVf38BJwSVXiLpbqFD243CYNgo,Purple,Kimono,Fear Eyes,None,Top Hat,None,None,Chrome Babolex,Gold Tusk,None
3040,8,2532,17.38,https://solanart.io/nft/J12ee9uVu7ugRhfxNNPn45hNRMajYR3v6yvXWHvrrP5Y,London,Hippie Clothes,Angry Eyes,Heart Glasses,Bandana,None,None,Chrome Babolex,None,None
3047,12,4070,0,https://solanart.io/nft/G5gMcA66aipFY89K41WpMGiTm6JBeLih7SZahtC7zUnx,Red,Sweat Short Green Gray,Base,None,Red Cap,None,None,Golden Babolex,None,None
