id,price,moonRank,💎 score (%),storeURL,Background Color,Beak Color,Chain,Ear-ring,Face Tattoo,Favourite rapper,Head accessories,Head Color,Neck Color,Position in gang,Shades,Smoking,Type
3046,45,428,0,https://magiceden.io/item-details/BpPHZnsq8Gegw86rtMvawTEEWEuNNpyVAipZoeLcB8dC,khaki,lightsalmon,none,none,none,tupac,heisenhat,lightcyan,lightcyan,thug,standard,none,alien
3059,25,1574,29.96,https://magiceden.io/item-details/JEEk8iKePqCnNgLdsESv6t5fQ6sAwdHfqAivh2YthmQC,thistle,saddlebrown,none,silver,none,outkast,backwards cap,paleturquoise,gray,thug,standard,none,normal
3077,45,896,0,https://magiceden.io/item-details/2KNBUZnCKALxK3xz2GHHCcF9pQs9PsYBsj2Mjs3C58SK,thistle,lightsalmon,none,none,none,nas,doorag,lightpink,gray,thug,red,none,normal
3115,150,1526,0,https://solanart.io/nft/9ubpTzqg3V6JFgWKFDbAPqcajGb63mgasN9ejFNEAAZn,lightpink,lightsalmon,none,silver,none,biggie,normal,lightblue,rosybrown,thug,standard,none,normal
3133,30,1520,0,https://magiceden.io/item-details/J8m73GYBA47zjPJEyuVbf5vxw2tibqS7nkKfRrJpMvov,khaki,lightsalmon,none,none,none,nas,normal,moccasin,cadetblue,thug,standard,none,normal
3151,55.55,290,0,https://magiceden.io/item-details/BAZjgtaCFZnmUyy4WfonFeFtFPj8xSp229u66zFQTDKi,khaki,lightgray,none,none,none,ditc,normal,lemonchiffon,gray,enforcer,tron,none,normal
3168,83,2912,0,https://alpha.art/t/8Ay6J2951QPPyY77wXmHZkuKPuBgXonuSzFvabmJg3U5,aquamarine,gray,none,none,none,nas,normal,silver,rosybrown,thug,standard,none,normal
3173,46,211,0,https://magiceden.io/item-details/G72i9Yzgcqqg3UfbjDBG4CSpEwcUMNHvKo9XLx3rsTQa,palegreen,darkslategray,none,silver,none,nas,forwards cap,darkolivegreen,darkolivegreen,thug,standard,none,zombie
3175,42,1121,0,https://magiceden.io/item-details/HCVahLF9Ec1Y2ZwbEAKfD2dpN4WMivkA3TWfAasCMbDG,thistle,gray,none,silver,teardrop,jay-z,normal,lightblue,gray,thug,standard,none,normal
3194,21,2725,56.04,https://magiceden.io/item-details/CCGfv577Zg41fBUfFsyvBsHZtwd1YfHMPMxYjtsXnHEw,aquamarine,tomato,none,none,none,tupac,normal,beige,gray,thug,standard,none,normal
3227,25,3130,11.14,https://magiceden.io/item-details/8seizYB3HZFc56pT6HHKj76vvVsyzxKKAX5kioGGHqJH,palegreen,saddlebrown,none,none,none,nas,normal,paleturquoise,gray,thug,standard,none,normal
3236,75,1893,0,https://solanart.io/nft/CJLZNgtHsZLCHNpccPWiyp1sRogciPzfCwwarBnvgkef,coral,gray,none,silver,none,wu-tang,normal,silver,gray,enforcer,standard,none,normal
3262,35,691,0,https://magiceden.io/item-details/DS2bbCQQcC2ovPf2MSdyH4YU8Kzmfg9R2apQZGVSLV5A,lightpink,tomato,silver,silver,none,outkast,backwards cap,lightsteelblue,gray,thug,standard,none,normal
