id,price,moonRank,💎 score (%),storeURL,Background,Clothing,Eyewear,Fur / Skin,Head,Mouth,Teeth
3493,666,9530,0,https://magiceden.io/item-details/2dkTQkfj5JJsBsdauwe8aVjULFdR8riAaF4JSssX3Ei2,Blue,No Traits,No Traits,Ice,No Traits,Banana,No Traits
3512,95,5758,0,https://magiceden.io/item-details/22gaj2D6PeJePj5pMh8EuPojd797AvxBZFqPqQkAWthK,Blue,Tie-Dye T-Shirt,No Traits,Blue / Blue,Pilot's Hat,Ape-le Juice,No Traits
3518,115,789,0,https://magiceden.io/item-details/3v6eaCgDFoLL2qqnwPqCGbPREJagPX3BvUvFQwj27sJF,Yellow,Cheerleader,No Traits,Brown / Yellow,Conical Hat,Burger,Wooden Teeth
3533,105,7725,0,https://solanart.io/nft/7CRG1nGDCWos714NEcjnNBTzoekC7STCViqrpiHXDRw3,Teal,Bowling Shirt,No Traits,Purple / Purple,No Traits,Drool,No Traits
3553,130,2480,0,https://solanart.io/nft/6sPtfyVCmGaTEpTBtJzZnGV8Sm9jvyQgWHKxnvwLdXzH,Blue,Wetsuit,No Traits,Ice,Graduation Cap,Donut,No Traits
3557,189,4579,0,https://solanart.io/nft/EQxJqRtCqwVJKxgwbUcJyNsJn9dy5cXdrfFwUc1AV1RB,Black,Silk Robe,No Traits,Black / Peach,Racoon Skin Hat,No Traits,No Traits
3564,150,2140,0,https://magiceden.io/item-details/BkccxR1TdY3CWL9hbqgndV3FzyxosPZwYp19P4a8rnZw,Blue,Striped T-Shirt,Ape Vipers,Purple / Purple,Pilot's Hat,Hotdog,No Traits
3571,130,5280,0,https://magiceden.io/item-details/9G39HgFF42StPUfhqMELvMDGkDgPCqGzadsd3BNwTr3E,Green,No Traits,Aviator Glasses,Brown / Peach,Straw Hat,Drool,No Traits
3578,250,1490,0,https://solanart.io/nft/2L4QQnxmY9HZ9aRsHHnYpUbTzmZ8NXwJ5bdpwwbFYkmk,Blue,Academy Uniform,Shutter Shades,Blue / Blue,Captain's Hat,Hotdog,No Traits
3594,200,9566,0,https://solanart.io/nft/DSiS9iizPaoSLDBHt6c39peZTiHrwrNr4SHSRHWiU1xZ,Yellow,Police Uniform,No Traits,Brown / Yellow,No Traits,No Traits,No Traits
3599,95,6832,0,https://solanart.io/nft/CCW124JpQS1EyFxpzcc1uA724G7JDctuRGKXw6Epv1fj,Green,Dress,No Traits,Black / Peach,Judge's Wig,No Traits,No Traits
3605,515,5521,0,https://magiceden.io/item-details/F88YUmwt8jKAPXDjvpCbyFdLbR75auwpf5C534MeD6SR,Yellow,NB-Ape Red,No Traits,Brown / Yellow,Pilot's Hat,No Traits,No Traits
3606,400,8061,0,https://solanart.io/nft/6YhgCDv8oT7wzrr5JdPycJEiRJHDKpbiA2qoTfYRHmGG,Yellow,Pilot's Jacket,No Traits,Brown / Yellow,Mobster Hat,No Traits,No Traits
3624,555,200,0,https://solanart.io/nft/DYx4ew5Ebnw9hQJpW8pJH3D9b4YQS6UxAD71f2WdZ5Fy,Teal,No Traits,No Traits,Ice,Judge's Wig,Dirty Fiat,Gold Tooth
3626,85,9612,0,https://magiceden.io/item-details/6TzxjdN2jQMrNzxcao34pZdozwZbcawsAPe3jbEzjZ6p,Blue,Striped T-Shirt,No Traits,Blue / Blue,No Traits,Pizza,No Traits
3635,114,3169,0,https://magiceden.io/item-details/6WkFCK4ZUBnPHThpuKj9pBaQYyyHubiVYV3z8o9rD4Wx,Yellow,Striped T-Shirt,Round Glasses,Red / Blue,Floral Crown,Corndog,No Traits
3638,420.69,800,0,https://magiceden.io/item-details/FWPW8ddEZYbpaQ8b6qiU5yMbFan3Myg4z55oEN5qTpsE,Purple,Jungle Explorer,Aviator Glasses,Purple / Purple,Top Hat,Drool,No Traits
3641,120,8435,0,https://solanart.io/nft/4GDCQqct325jTSpoix4Ebdi7CSZMYaRiyH8TMPL7QHxP,Red,No Traits,No Traits,Red / Peach,Graduation Cap,Corndog,No Traits
3648,777,266,0,https://magiceden.io/item-details/4YY1E2fQTVZgZQUMrpk2PboSv99cwL1p878zn2sY8tNL,Green,Japanese Uniform,Round Glasses,Green / Peach,Straw Hat,Crayons,No Traits
3657,98,3871,0,https://magiceden.io/item-details/Cp9edFqZvWCxFsh8iv1MtWJcLTnykNCozJvg37eoPEFa,Green,Tie-Dye T-Shirt,Round Glasses,Purple / Purple,Sailor's Hat,Sandwich,No Traits
3665,95.5,4453,0,https://magiceden.io/item-details/CzwJvWRCpG762E5c6Cs5WvGUqqpwy9uxWsvPrjbKKvJ5,Blue,Bowling Shirt,Shutter Shades,Brown / Peach,Fireman's Helmet,No Traits,No Traits
3670,367,9064,0,https://solanart.io/nft/EncwVdtvuRRrR92DL4QffQyJgHzyqfvntYV26BvbUNc3,Red,Tie-Dye T-Shirt,No Traits,Brown / Yellow,No Traits,Dirty Fiat,No Traits
3681,6969,939,0,https://magiceden.io/item-details/DY4ueH2JBeeUea7sN6xQbJSjNgFKWRuQMEEZ45y47oR7,Purple,Maid's Uniform,3d Glasses,Brown / Peach,Pilot's Hat,Hotdog,No Traits
3709,400,3209,0,https://solanart.io/nft/4q7NNKutAdWuQRAD3aCQVNySi4tscqxFRVjwFQ8oUTwq,Blue,Leather Jacket,Heart Glasses,Blue / Blue,No Traits,Soda,No Traits
3712,1068,2035,0,https://magiceden.io/item-details/4soYJM64x3V8jMLB7Yta79P3MeWqjcXVAYGFvfaoXWYh,Yellow,No Traits,Round Glasses,Leopard,Pilot's Hat,Pipe,No Traits
3746,109,2655,0,https://magiceden.io/item-details/8ARPof2d4GsmhgMXfJHJqRFEtcPmmbKf5XSdJmfQtZKY,Purple,Police Uniform,Wayfarer Glasses,Purple / Peach,Baseball Cap,Banana,No Traits
3748,1500,1164,0,https://magiceden.io/item-details/DZVLmuRrvqg1pNUcPLxS1YNdXQvgothVsknnAuhKgQJy,Green,NB-Ape Green,No Traits,Green / Peach,The Artist,Sandwich,No Traits
3751,469,2065,0,https://magiceden.io/item-details/4unL9TiozhiD69dj9ookKQqENrhvkgguAXjSj6tRwHim,Teal,Academy Uniform,No Traits,Blue / Blue,Tiara,No Traits,No Traits
3759,99,683,0,https://magiceden.io/item-details/AsyoexyKLmdZ8PwK6xbrw4gLQP5EWMHs4XoNHjCHqR58,Purple,Bowling Shirt,Wayfarer Glasses,Purple / Purple,Graduation Cap,Grilled Cheese,Wooden Tooth
3765,199,476,0,https://solanart.io/nft/5fnqiV53mxRpGE5q46z9Xx7C2ohiMqssj1ZCPfsGWfXn,Black,Wetsuit,3d Glasses,Black / Peach,Umbrella Hat,Ape-le Juice,No Traits
3781,1059,5916,0,https://solanart.io/nft/3d73LpCkrU4taMUX8rUARyByTk76BSrK4jDCrFnazv8D,Yellow,Overalls,No Traits,Brown / Yellow,Football Helmet,Hotdog,No Traits
3786,199,3554,0,https://magiceden.io/item-details/FNdBvpZ3bF6QZSF4xN5wU3MGJVNWEtbJffgfFoLKK5fx,Yellow,Police Uniform,No Traits,Leopard,Sailor's Hat,Drool,No Traits
3788,199,2919,0,https://solanart.io/nft/CRyeaWF2ebSDhjp4Gfjqni92Hkds4wcrita9hDViHhJG,Green,Suit,No Traits,Green / Peach,The Croc Hunter,Burger,No Traits
3797,99,5818,0,https://magiceden.io/item-details/BhBes9dbatfG1MvLc47xdR4JaMUaw1uEg1NqqnuXUCZm,Blue,Wetsuit,No Traits,Blue / Blue,Football Helmet,Pipe,No Traits
3799,139,362,0,https://solanart.io/nft/HHJihV6MXVyA2Yg2zytpWCKwNQ8NDUfwyhGWQMVfN23g,Yellow,Pilot's Jacket,Round Glasses,Brown / Yellow,Snapback Cap,Dirty Fiat,Wooden Tooth
3803,350,2764,0,https://magiceden.io/item-details/HSnFrxzVrhNwhbqF27Az4CTi4LPT5MQJqNKkYWWsRPes,Green,Tie-Dye T-Shirt,No Traits,Green / Green,Pharaoh's Neme,Corndog,No Traits
