id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Head,Mouth,Teeth,Type
358,0.38,154,82.94,https://magiceden.io/item-details/EVpwGvYDpEE3ZG6XWtfKeAgBigT4CzvFequfKZZ4aQ1T,Light blue,None,None,Pink Hat,Cigar,Steel,Green
360,0.3,450,57.49,https://magiceden.io/item-details/8oSi5YjyPFWLcJcSk5h19nCVLjNKGniSBEnEnTwkugmP,Light blue,None,None,None,None,None,Green
362,0.59,28,92.02,https://magiceden.io/item-details/8qN3FZ7u5JQmT8RT8YFve5Af2GdHteRMxzQzjC2u6n45,Light blue,Yellow Sport Suit,Blindfold,Beani Purple,Cigar,None,Dark Skinned
366,0.5,254,72.87,https://magiceden.io/item-details/8wvggzNTLrMYLtpwKHxKDQ18uCGPCS6WvvQy5SfgcPNM,White,Black Tee,3D Glasses,Blue Hat,None,None,Green
374,0.09,332,70.05,https://magiceden.io/item-details/HYNydqwq2RoceMayDpvJjkUP4c6qTtDpHfhPYotgX5m7,Pink,None,Pink Glasses,White Backwards Cap,None,None,Green
375,0.3,79,90.39,https://magiceden.io/item-details/3HRfGdX8GAJmVQTanB8sewjDs6js2n8VK9CNGBPwGE7X,Purple,White Tee,Blind,Camo Helmet,None,None,Dark Skinned
399,1.5,260,62.34,https://magiceden.io/item-details/6rtjmSUKxCXpWbekZbjrn1RwosE8pUneFt3jEeYDzu9g,Green,None,Eye Patch,Beani Black,None,None,Zombie
403,6.9,73,24.93,https://magiceden.io/item-details/DWgVnvFpgFAMETN1iRhSDVnaSNGmuumLcKjKJmzKwVt5,Burlywood,None,Glasses Cyber,Beani Black,Cigar,None,Zombie
404,0.239,180,82.05,https://magiceden.io/item-details/G3iFEbi5zHVk5vGo7MKyCJqhbS1Be3XikVNpRkvdBKFx,Green,White Hoodie,None,Pink Headphones,Blue Vape,None,Green
405,0.2,75,91.75,https://magiceden.io/item-details/D3z3B8uxaC9z4Uiz9tQX4dcBAYCYzCyjUccMqxJeabRk,Green,None,Blindfold,Blue Mohawk,Cigar,None,Yellow
411,0.7,296,67.15,https://magiceden.io/item-details/HxUyvn8yYegBJcfjbAdJAo3zpHTqHNcDq7NQ6QpVbZwB,Solana,None,Black Glasses,None,Fire,None,Green
412,0.1,187,82.81,https://magiceden.io/item-details/DTaNB7seZ89T5xMh7nJeGcUnhSurmN68CESBm5vfs1hW,Burlywood,Magician Cloak,Yellow Glasses,None,None,None,Black
415,0.05,328,70.81,https://magiceden.io/item-details/AmARnqCP25XsRdya9xRx6BAa1JS4y7GUBemxVNp9fUuP,White,White Tee,None,Blue Hat,None,None,Yellow
418,0.04,412,63.46,https://magiceden.io/item-details/Fxes9txwnzXY8kRHGhawy23fXJETJNpeAJMQmdVoyRqt,Pink,None,None,Black Backwards Cap,None,None,Light Blue
421,0.05,184,83.58,https://magiceden.io/item-details/3JKzBEoEnzmvHMGzDs3sCUYaH16osJ1fjyCsMNYfKWkq,Light blue,None,Blind,Camo Helmet,None,None,Black
426,0.06,320,71.42,https://magiceden.io/item-details/nv9zqNwNjc9UiJCTEDQ6XYh1CpcTzbJmsQ3NUBfjXc1,White,Camouflage,None,White Backwards Cap,None,None,Green
442,0.12,272,75.08,https://magiceden.io/item-details/6LN5UWdndUL42Q6GdAo9rzogbwCnU2jjMPR1zejGHh8t,Light blue,Pink Suit,Thief,None,None,None,Zombie
445,0.29,377,64.06,https://magiceden.io/item-details/kzjTKmTu1c1GrtNrXFv4LxxTCYB8nuwZGFT2ho6wCUz,Solana,None,Yellow Glasses,None,None,None,Yellow
446,0.1,205,81.22,https://magiceden.io/item-details/3ceU45RrntZ9G27a71HATtEjXEvPfKRGW7NSgWSm5p74,White,White Tee,Black Glasses,Builder,None,None,Light Blue
449,0.25,405,61.98,https://magiceden.io/item-details/DkKUD56AHtjTchsZdRMzuMMBHUEWNRPtRXyf1wytLQJo,Green,None,None,Builder,None,None,Green
450,1.5,334,55.78,https://magiceden.io/item-details/GthSLY9pwivwetmNFRXFaKrCMj9nzLEfLTNfomaYt2va,Burlywood,Black Sport Suit,None,Beani Black,None,None,Pink
