id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Eyes,Head,Mouth,Nose,Skin,Top
0882,3.24,1438,79.08,https://solanart.io/nft/GueVR21SUJ19KeLDrvUM7ShKGPX1pdPgrKRBDAr2LSyU,None,Blue,Green,Purple Fitted Cap,Whistle,Ring 2,Lizard,Blue Tracksuit
0927,4,1652,69.91,https://solanart.io/nft/GYoT4cnf9czUJtC1M6eF8wUawCJWtL7zG4aEA5sest2y,Fomo Tattoo,Red,Aviators,Fur Bucket Hat,Sneakers,None,Albino,Blue Tracksuit
1023,4.2,3374,55.31,https://solanart.io/nft/GX6wWuaYpuVXgcRUMpAhUL7ui8NMA8F4XgoYcZjFMVT,None,Savanna,Vipers,None,Sneakers,None,Brown,Red T-Shirt
1037,4,5318,43.08,https://solanart.io/nft/FoYCwmCkemnbuYaWPky2pH1nnhe4qfMhMSRVJN3AJi9W,None,Yellow,Camo Vipers,None,None,None,Base,Blue Sweatshirt
1046,4.2069,5035,43.09,https://solanart.io/nft/5ysAXhSMQQps58eAc5496SaNqBKUCzY1e53Er4PdPDaX,None,Orange,White,None,Blunt,None,Purple,White Hoodie
1052,3.9,3238,59.3,https://solanart.io/nft/9AMtAXDtbon7vrSk643BJh2BBcJPGpW2pxM79Jnjukn2,Diamond Chain,Red,White,Purple Fitted Cap,Whistle,None,Albino,None
1065,4,2816,61.39,https://solanart.io/nft/GFZXP7z3aDCziTLNqgnommYAEeWst3RxQ9nLqXuP9dVh,None,Matrix,Blue,Light Bulb,Microphone,None,Black,Blue Puffer
1078,3.4,4096,58.03,https://solanart.io/nft/C7YrRzqJYjG6vV5Ea5g3pE3HocQa4EFipfTH7mSbZNNx,None,Purple,VR Goggles,Wizard hat,Gas Mask,None,Base,None
1092,3.9,2055,67.96,https://solanart.io/nft/J8GmhNG1wLWcheRLG9XC6azXCPRYp9kgkoRY8q1zvTLZ,None,Purple,Buffs,Safari Hat,Stitched,None,Zebra,Construction Vest
1113,3.3,4312,57.44,https://solanart.io/nft/2sgZvBKZWx3pXvGXhHTETQqojd5vqKry65YMvmwiKhD1,None,Red,Eye Patch,Pirate Hat,None,None,Blue,Solana Hoodie
1198,4.2069,5172,42.08,https://solanart.io/nft/98jSDznuhcXg92BXnwiHHBrAPYLizfSAtZSGNhqviwEz,None,Blue,Orange,Black Fitted Cap,Pipe,None,Black,None
1226,4.22,3243,56.07,https://solanart.io/nft/EN7bvZiuzx8v9WsNkhPEBDeVEB4huuTrxYu6eqaorZBa,None,Orange,Orange,Viking Helmet,None,Ring 2,Purple,Black T-Shirt
1236,3.66,3784,57.71,https://solanart.io/nft/HcpPUhGkJNVk6x2X5E5g36bigc5hnmMTXM79TbzaDXpR,None,Red,Red,Safari Hat,Flower,Stud,Brown,None
