id,price,moonRank,💎 score (%),storeURL,Background,Body,Clothing,Face,Hat
772,1,1573,69.46,https://magiceden.io/item-details/74gcJqBYWyN5cceTBLUckekLwtzFfdrNGRAjVMsLpWpG,Violet,Blue Kitten Skin,Suit,Blue Shades,Ninja Mask
775,3,488,69.15,https://magiceden.io/item-details/5f18iEh9Vz78uGqBVBx4PEKXpZYi9LukHRbHMjWnXSHn,Blue,Blue Kitten Skin,Tank Top,Gamer Goggles,Blue Cap
807,2.99,39,77.39,https://magiceden.io/item-details/BYJJZZkDAWHubRSH1byoZcKagNrCAL9k86AzvYdTc4Dd,Green,Blue Kitten Skin,Red Overalls,Beard,TV Head Face
818,10,1455,0,https://magiceden.io/item-details/HE5EXZHiCCuXfiBXFvVSifT9CVwq3hzeT47Ps2DK6LYQ,Violet,Blue Kitten Skin,Ninja,Sus,Ninja Mask
820,1.1,1136,76.39,https://magiceden.io/item-details/94J9PbMP2doP8XEMZXc9TBuPHzMuVWE852sepm8f4a5J,Green,Blue Kitten Skin,Mononoke,Sus,Lizard Scales
831,2.5,1811,50.15,https://magiceden.io/item-details/HCfMwLGuoANpxZrq4BHaBgxdoYZJVKWC77a3AYpyLcH,Orange,Blue Kitten Skin,Ninja,Happy,Ninja Mask
835,3,189,74.57,https://magiceden.io/item-details/GCTEarAbdTsh4wQH9bcjZVQyed7tW4A7a7hJztC6Q14D,Purple,Blue Kitten Skin,King,Sus,Pink Captains Hat
846,8,217,24.06,https://magiceden.io/item-details/6ZB4eDGgM6iDvvJSWii9PCfrLVpkEp8GUrCNPme3JcEP,Orange,Blue Kitten Skin,Star Shirt,Hearts,Space Helmet
872,1.85,2112,51.19,https://magiceden.io/item-details/D1kh3eg73g2Zhb17SnEKqV5phHZv9kAJzbGHYVdBe8ox,Beige,Blue Kitten Skin,Mononoke,Sleepy,Blue Cap
876,3.5,1823,39.93,https://magiceden.io/item-details/7LDzpt8na8gkFZZApqHXn9kuwTbueNRS9hxZ9WjjTKUg,Pink,Blue Kitten Skin,Ninja,Hearts,Ninja Mask
881,0.95,2120,60.04,https://magiceden.io/item-details/BpJgnhWyp9FgzeAzJsippAqEqQigHkTiZ1uicyfVqwAm,Green,Blue Kitten Skin,Flannel Red,Happy,Ninja Mask
882,5,306,52.45,https://magiceden.io/item-details/9MH5JkPc1AvJ8ZGL78HWKLARapp8JVgbFaZhQLugFvF2,Orange,Blue Kitten Skin,Ninja,The Cool Kitten,Candle Hat
