id,price,moonRank,score,storeURL
2266,10,6729,7289,https://alpha.art/t/4mzegrDe45f8EsXxKbRg32MNEWUTJ8HjqnxoqzgJiDo6
2268,15.89,8086,9235,https://alpha.art/t/DF36ANbokUSsb7GdcyV9XS8zXtjjxqLnEqoZGEFPnN3v
2278,14,5522,6482,https://alpha.art/t/AycxTTCARzXtyanUciCdsAZmAYCBfNS75F3ESqfDjSpE
2281,99,567,10027,https://alpha.art/t/7tooDHm2g9qak9ar7HCh6W24AnFKBBwDF5PGvbKpTrvv
2289,13.99,9378,10337,https://alpha.art/t/BMA2QP8gM6QCyrwWhs6dw65ioeyUqGdSLckX39RN1PWC
2313,33.33,9154,12047,https://alpha.art/t/8kVEAeraxP1jjoQyyERz6poF2XBJNy5KipWDaDZPofLM
2314,13.99,8144,9103,https://alpha.art/t/93BXMXfDUQZQzx4LUVphTrvGmByo1MtP18Cbb9Gd24w5
2332,100,9475,19035,https://alpha.art/t/Hzmp2Nah6gi5cL7CD38YEyZifQT16Gs7aw5dFjzZqajY
2351,11.85,9226,9971,https://alpha.art/t/5HVnMfZo8rtdKSmz7XPWyeToqry6KfjATHSoKPmALwbE
2395,333333,4228,33337087.999999996,https://alpha.art/t/HwfkSkEYf1MbJisHTtggVhdtd1m5Rhf4h3g37gEC9Vk1
2415,10,9346,9906,https://alpha.art/t/61EUhhsy3naFViMyN5Hf1UG7PGqsNh3syLXDKz8bw5BJ
2420,25,4118,6178,https://alpha.art/t/4H9ENN76hW82iM5wFXyzUNvV7YDQCcevxCtj1YCdvzSg
2421,50,5353,9913,https://alpha.art/t/7KpZr97VWHmLCCkKEj4ccymm6yY2GHraBc8mNGexAuMU
2441,25.3,2895,4985,https://alpha.art/t/7qn9yZ2MwaVC2jvRfHortKBtoZcFDTQuXrD571gczmie
2444,11,8197,8857,https://alpha.art/t/7gJHfEL86Z4nAYAaNY7dQVAdjh3FyEdFLEFB7dLVfUd1
2446,25,3505,5565,https://alpha.art/t/3WSwoqqmQbaeXUSdjGe2EACcmDY6n5S9qML4YbRWmx7t
2452,25,6987,9047,https://alpha.art/t/HPnPvUMSRyNfwWA3R9SVUVDNtfvcNJ3eYCdgQi2wRW8P
2461,10.46,6293,6899,https://alpha.art/t/At7PvX1eMWB1f6wXxsNyEjaXV5RLcpidgCXe5fsVy4wY
2464,13.9,8562,9512,https://alpha.art/t/HKMgYy7r1Qvixk6o7VVy9QyEeuK1Mur6UeCtk1k88iye
2468,10,1127,1687,https://alpha.art/t/CGKPnQu1D8YX4EqY1tG4GG3rfKJyWvNEmA7pYoGD3Nc8
2477,10.46,3175,3781,https://alpha.art/t/9RvLrAXWNJDD7kcKuhNE4RyzTUzJ2pmojmx3ZE9q8XeT
2485,5.65,6196,6321,https://alpha.art/t/CQB73dQYp73S2ixQHv4c1RftibEFk95Gp53szR5LnhfL
2502,7,662,922,https://alpha.art/t/3HZG8XbisAcBj1ruDSr21NXocrQrrWVbfWmCEVf7VKQU
2507,10,3597,4157,https://alpha.art/t/A1CMdEXGb99XU1LhPJpzU8i7qbr6wodFTqkUiMh7McyL
2509,14.1,5735,6705,https://alpha.art/t/E77H7c7iubwmpohb9HvAQcSUCoEVbLFXqBQJNXTGeq5g
2522,22.2,391,2171,https://alpha.art/t/6qGZtoAPggmgcqy6MNbgRZyfVWu5vB6pEHWzdnb1KJEJ
2533,9.5,1918,2428,https://alpha.art/t/8AqgoARftZG7qnJi5pJwygtfmqqGALZS3RrHbHJ7y9ea
