id,price,moonRank,💎 score (%),storeURL,Accessory,Background,Ears,Extra,Eyes,Headwear,Horns,Jewelry,Outfit,Skin,Tattoos
3861,3.2,949,79.64,https://magiceden.io/item-details/27CiNrvnbJQu7SZCYem2fD3A9TBeyR47wkTVmUmDfgeQ,None,Black,Big Hoops (Single | Silver),None,Vintage Rimless (Red),Dad Hat (Orange),None,None,Hoodie (White Lightning Metal Print),Concrete,Pain
3863,2.3,1133,87.32,https://magiceden.io/item-details/4WabKrSd2i33RaHxNZ2xUfKjixGCo5iW6DVaKSomc5qr,None,White,Big Hoops (Single | Rose Gold),None,Vintage Rimless (Clear),Oversized Beanie (Black),None,None,Oversized T-Shirt (Orange),Blue Rubber,Pain
3864,2.5,526,89.69,https://magiceden.io/item-details/A6SPwYEuafpfwnbjw338gE3BEqse5hVTAzEyiVTKrY3d,None,Cream,None,Angel Wings (White),Retro Round (Silver),None,Big,T-Shirt Necklace Crystal (Blue),T-Shirt (Yellow),Purple,None
3871,3.169,2222,70.78,https://magiceden.io/item-details/AEtMgdPkVymnGTUEAETn4ckTVebGJXJTFpFNE8rUQg4e,None,Cream,None,Dragon Wings (White),Normal,Five Panel Cap (Blue),None,None,Puffer Jacket (Yellow | Blue Flower Print),Purple,None
3872,7.8,1953,26.41,https://solanart.io/nft/32bgEcxWbiqRXnTNyrMKiDynB8215nABWsfSMHjtcMGN,None,White,Diamond Hoops (Double | Rose Gold),Feather Wings (Black),Small Round (Black | Silver),None,Small,None,Hoodie (Orange Drip Metal Print),Mint Gem Stone,None
3878,3,777,82.88,https://magiceden.io/item-details/V8sp1UaG3hbvqRiBTFjgyGGyzn3xsuHxLpVdpBv5yZB,None,Yellow,Top Hoops (Single | Silver),None,Swirl,Oversized Beanie (Mint),None,None,T-Shirt with Tactical Vest (White | Gold),White Marble,None
3882,1.85,4725,65.94,https://magiceden.io/item-details/9Qqwp1US7L45v7Y9e6NCyb6X1hJmh8T8nudn3QrQ5jUn,None,Cream,None,None,Normal,Dad Hat (Cream),None,None,T-Shirt (Grey | Hype Print),Pink,None
3904,2.85,5323,51.63,https://magiceden.io/item-details/5ZewQqfHTuh6A55MhmUmxzmyJUvt82j7W5qR1hFSznpu,None,Black,None,None,Small Round (Black | Gold),None,Small,None,Oversized T-Shirt (Black),White,Pain
3914,3,1865,75.04,https://magiceden.io/item-details/4GS56xKqsmE3pMF8rv7X1mEMQipPdWTfZQcL3xZhDDZy,None,Blue,Top Hoops (Single | Silver),None,Normal,Visor Cap (Red),None,None,T-Shirt (Grey | Palm Tree Print),Black,Pain
3934,3,2662,69.3,https://magiceden.io/item-details/EmZtBkLdd9dAFWxmGGbAguget9W2wEG3mw4xCp2PHyx2,None,White,Big Hoops (Double | Rose Gold),None,None,Oversized Beanie (Black),None,None,Hoodie (Red Drip Metal Print),White,Cross
3935,2.48,3078,71.5,https://magiceden.io/item-details/A9LgJGcroCyH39HKJ6fCrhPgAaZ6jxhomb2F6gENboCP,None,Black,Top Hoops (Single | Silver),None,Vintage Rimless (Mint),None,Small,None,T-Shirt with Oversized Jersey (Orange),Mint Gem Stone,None
4007,3.1,4500,55.06,https://magiceden.io/item-details/9z55xqkvQjxTeUKF5rHzmaCLBadxbc5cp33bSUUZhU5,None,White,None,None,Square Allover (White),None,Small,None,T-Shirt with Oversized Jersey (Orange),Yellow,None
4013,2.5,4060,64.23,https://magiceden.io/item-details/57pqvExCvRvvuiSvaRexrnSd6mEyMfgackRbzLcUCHw9,None,Orange,None,None,Vintage Rimless (Clear),None,Curved,None,T-Shirt (White),White Marble,None
4016,3,2476,70.64,https://magiceden.io/item-details/HrdXS8ZKFdX8ijTG421UhKqk3GezjjkjHpwtnJNusig7,None,Orange,None,None,X,Visor Cap (Silver),None,None,Puffer Jacket (Teeth Print),Concrete,None
4026,2.79,2037,75.9,https://magiceden.io/item-details/Ar7jUs1uQV6B5ZJqVgi4cEimKD7DXukeL9NJTFsvtCLg,None,Cream,Big Hoops (Single | Silver),None,Happy,Dad Hat (Blue),None,None,Denim Jacket (Cream),White Marble,None
4060,3.23,2199,70.34,https://magiceden.io/item-details/EtsL1XyH9CSXVZU3LCeijwFcyTySLCcEbLQsCjYGZa8X,None,Cream,Big Hoops (Single | Rose Gold),None,None,Fur Hat (Yellow),None,None,Oversized Hoodie (Pink),Black,Pain
4088,1.97,4351,67.43,https://magiceden.io/item-details/3pGSh4tX8PTMjnxZeWQ8EjYenWMczHRUJwYNYVZKJhfa,None,Cream,None,None,Vintage Rimless (Mint),Oversized Beanie (Blue),None,None,T-Shirt (Grey | Palm Tree Print),Black,None
4100,3,2407,71.14,https://magiceden.io/item-details/GxwAmCBHEto5yd4nW8AQkE6Qwq9rJC9PtgugErTpAivV,None,Black,Top Hoops (Double | Rose Gold),Feather Wings (Black),Normal,None,Big,None,Puffer Jacket (Neon Print),Red,None
4110,20,3426,0,https://solanart.io/nft/M7am5JKXkP4FeQf5TahsbXyyiS1som9SBqqrSYczRpB,None,Black,None,None,Small Round (Black | Rose Gold),Snapback Backwards (Yellow),None,None,T-Shirt (White | Hype Print),Purple Gem Stone,None
4115,3.3,578,81.32,https://magiceden.io/item-details/Fa5Rh1q8Kxn4ZQqpufckKJhhf1JcrLFwKfLV1M8CNhky,One Arm Backpack (Yellow),Cream,Lock (Gold),None,None,Oversized Beanie (Red),None,None,Hoodie (Purple Drip Metal Print),Cream,None
4128,3,2665,69.28,https://magiceden.io/item-details/2r4uDjWV2kn3mwBEuBL6bByfyU7v9Gxjyrj7F1FA5Cag,None,Mint,Diamond Hoops (Single | Rose Gold),None,Retro Half Frame (Blue),Oversized Beanie (Purple),None,None,T-Shirt (Mint),White,None
4135,2.75,2973,69.56,https://magiceden.io/item-details/3AwVoxbQrTgL1Kj11PY8GNf49rvW7NHXaK4rjMCyW1zq,None,Cream,Diamond Hoops (Double | Gold),None,Retro Half Frame (Mint),None,Big,None,Hoodie (Blue Drip Metal Print),Cream,None
4146,2.1,5424,58.4,https://magiceden.io/item-details/GVj3c7foArYkC7QzT3fkZcd6Jm89aCK33pupxFafMJrL,None,Black,None,None,X,None,Curved,None,Hoodie (Orange Drip Metal Print),White,None
