id,price,moonRank,💎 score (%),storeURL,Back,Background,Body,Body Color,Chest,Head,Metal,Topper,Visor
1967,3.4,1366,57.47,https://magiceden.io/item-details/3iv3scgQuxCqE5PwnJNrVLFvEShzspsN6eGQy4xKubrx,Staff,White,Issue,Orange,Pump,OctoView,Copper,Fins,Black
1996,2.3,787,75.43,https://magiceden.io/item-details/9jzvD37orohkDLkRez9qbsFShns6sgwAXMCxHRPyNzmD,Drip,Black,Heat Sink,Steel,Pump,OctoView,Steel,Cryo Bulbs,Black
1997,3,496,71.93,https://magiceden.io/item-details/5TuBDc8yWb5WCx25gN3HKmrmb4pzJGZjR5M1v7gusH6k,Zippy,Sage,Scout,Green,None,Entry,Steel,Fins,Glowing Blue
2006,5,2831,23.86,https://magiceden.io/item-details/8KQiRoWbZimKc22k44RPUxi5sKUMoZMLRVR1Pts5YEfE,Volt Pack,White,Workforce,Orange,Pump,Slim,Copper,None,Black
2015,1.8,2847,55.67,https://magiceden.io/item-details/5Dt3BUXdLjxufkETzawiPFbu9CEbE2chpdGTvVMkbXe3,Minis,Black,Issue,Yellow,Copper Insignia,Flattop,Steel,Intake,Black
2023,2,1461,70.33,https://magiceden.io/item-details/RKXfu1jpcvLEYVEKKG8y1oYqyNJNsfoiEuf6kN8zxTR,Volt Pack,Teal,Breach,Orange,Pump,Atomic,Steel,Steel Insignia,Black
2031,1.63,1973,67.88,https://magiceden.io/item-details/5vmFkKcFCC8WBNSgqKpK8KhmMea1CSeySokfJQVUWEq7,Sector,Red,Quadrid,Yellow,Vent Pack,Aero,Steel,None,Black
2041,1.5,1370,76.42,https://magiceden.io/item-details/HECUNX6AYveKuDBhEfQB2xgxSx1CyzBHfxTtezKr5529,Volt Pack,Red,Workforce,Steel,Filter,Bobber,Steel,Dish,Black
2060,1.2,3121,58.38,https://magiceden.io/item-details/8UTTVA2hznjQ9NQzDmrsyRDyw1X4Y6Zto8upDTuAXGir,Minis,White,Issue,Red,Grid,Slim,Steel,Fins,Black
2083,0.95,2754,65.29,https://magiceden.io/item-details/B5xv9RqeUKYJfMpBq4T2hfeqicA74V7uNr7fPD5iNjLv,Drip,White,Ventilator,Black,Filter,Boxy,Steel,Duel Antennas,Black
2139,8,1630,8.3,https://magiceden.io/item-details/37bY1mzmqpKsSMEb3LE9xs6CzPn54NKN9VKK9necf84F,Staff,Black,Issue,Orange,Jolt Pack,Boxy,Steel,Overscanner,Black
2142,1,1710,77.34,https://magiceden.io/item-details/CuY83AW8ieFJifucLAuGYyUQJhGqZAtAv6C3sYBrLkWV,None,Sage,Vector,Steel,None,Regulator,Steel,Fins,Black
2145,1.9,1511,70.73,https://magiceden.io/item-details/HuLNEAqWDQtw9TNX6ayn76SMYgcUg7KH8tnHsRVkoCrG,None,White,Scout,Gold,None,Boxy,Copper,Dish,Black
2163,9.5,1600,0,https://magiceden.io/item-details/HVaAoYxCV1kep4E56rY7EZkhxP7ShxEFtnYkjs9homm4,Zippy,Plum,Breach,Steel,None,Bobber,Steel,Duel Antennas,Black
2169,1.99,1414,70.99,https://magiceden.io/item-details/EnHkM2BqD74Dk19ttf4Yy8zT9C6BSAenjvTWZFqoXpX,Minis,Teal,Scout,Yellow,Grid,Flattop,Copper,None,Black
2174,6,113,46.53,https://magiceden.io/item-details/GkGRtBThNnC8DKxoc5cHdhybz1QWRcvWtuHDMHYGdS2E,Squidy,Cave,Workforce,Steel,Gold Insignia,Spirit,Steel,Intake,Black
2178,1.8,3252,50.8,https://magiceden.io/item-details/E6R5ajewky7Boma1TQsjkkBP3NzxmvM4HbRfo9zSaNCY,Staff,Black,Issue,Blue,Filter,Slim,Steel,Intake,Black
2179,1.35,1241,79.47,https://magiceden.io/item-details/3ADWGWZZT1sn9p5jnaWJfbkeJ3cHgY6q7pb3HiDSSz6f,Sector,Blue,CryoTank,Green,Copper Insignia,Flattop,Copper,Intake,Black
2197,2,1746,66.9,https://magiceden.io/item-details/84xLSXMitFWYnhFUQezG2NgvZ2gRLaTspFzEjT6NV9ai,Squidy,Blue,Heat Sink,White,Vent Pack,Entry,Copper,Cryo Bulbs,Black
2199,1.49,3002,56.91,https://magiceden.io/item-details/FhTAXz1RH6SRCd3FKX5EFfAQsD74b4E2wudCrERAStH7,Staff,Sage,Heat Sink,Red,Facet,Entry,Copper,Extensions,Black
2232,100,5,0,https://magiceden.io/item-details/FVvkv5MCKfaA4P1N284UDgrZ9rLc6WWDwC5tahzthWxs,Insignia,Gold,Overseer,Teal,None,Overseer,Copper,Quad Extensions,LED
2249,1,1961,74.32,https://magiceden.io/item-details/J9t6VqvGpZR2K2fBNsygqAnzpdjLgbHRNYJHQtr4Ho1R,Volt Pack,White,Workforce,Red,Copper Insignia,Slim,Gold,Fins,Black
2253,1.9,1836,66.82,https://magiceden.io/item-details/FYNnq2LRnyFb5r6UwEokpc4czUd1fhXRNcioKrWNZ4mE,Zippy,White,T3,Black,Gold Insignia,Entry,Steel,Duel Antennas,Black
2261,1.3,1576,75.95,https://magiceden.io/item-details/H1nmS2NigWehLkJge2zKAFFVxB1HpWcU5KysZVyEFk37,Sector,Sage,Scout,White,Facet,Aero,Copper,Copper Insignia,Black
2263,0.98,1552,79.44,https://magiceden.io/item-details/DdK57877jhNrC8jkXEJzykjLMK66LVuztUWXkbB3WL8U,Cryo Charger,White,T3,Teal,Grid,Flattop,Steel,None,Black
2269,1.2,1152,82.04,https://magiceden.io/item-details/3DvjyLpQkRkWYoKqAuXmqY36gwD22GLKTXR4qBgyrLhW,Minis,Blue,Workforce,Magenta,Copper Insignia,Aero,Gold,Fins,Black
2271,1.5,3232,54.04,https://magiceden.io/item-details/25B84WEm3q4VYL9BGWDBcPcDiigyM8aTzwGAwtXdzsWn,None,Black,CryoTank,Blue,Copper Insignia,Boxy,Steel,Extensions,Black
2277,2,2433,58.65,https://magiceden.io/item-details/9YpwQrQsmxuuqf39xxSsB7ZvpBEL8tVTh6DZ6Kihzgb1,Volt Pack,Black,Issue,Copper,Jolt Pack,Boxy,Copper,None,Black
2286,5.4,257,50.8,https://magiceden.io/item-details/D8mNcwk4qo8P9NFHpSV1qxhwwgpqebqnUPpXPDajVWg7,Minis,Plum,Scout,Magenta,Facet,The Ring,Copper,Cryo Bulbs,Black
2290,1.49,2861,58.6,https://magiceden.io/item-details/Fp5fvL5WbPDYzQkPmGhQ6cbLui4FLzBgnzQ3PYatgQkU,None,Orange,Heat Sink,Black,None,Aero,Copper,Fins,Black
2328,2.4,1369,67.44,https://magiceden.io/item-details/A1cUNeQHfey6Q3YN5ek4hnqfEA1JzfY19EbHKxFirf5Y,Sector,Sunburst,Scout,Teal,Facet,Aero,Steel,Duel Antennas,Black
2348,2,1940,64.57,https://magiceden.io/item-details/2zsbJYo7WeG4DugEVmXUUvu9MAn22NLmha7FzfY3iLJ6,Sector,Blue,CryoTank,Yellow,Gold Insignia,Atomic,Steel,Duel Antennas,Black
2368,1.15,2591,65.25,https://magiceden.io/item-details/xFr3NXGX5zwJ6dZd3TpN41pJJLQYApkcKRBqKjUuiGd,Minis,Blue,CryoTank,Blue,Facet,Regulator,Steel,Duel Antennas,Black
2396,10,2376,0,https://magiceden.io/item-details/GAczgTWGjL69VyLhEV6rs1UxN67UDXnoDgb9zYkTrfBK,Staff,Sage,Scout,Green,Copper Insignia,Boxy,Steel,Copper Insignia,Black
2410,1.5,1359,76.56,https://magiceden.io/item-details/316ptYozftHJ1zg2mgskzj1LXcsuCWujUNu2Hezg9HqF,Volt Pack,Solana,Heat Sink,Black,Pump,Hydro,Copper,Extensions,Black
2417,3,835,67.85,https://magiceden.io/item-details/2ukaevm8hz9erkfmyqZsJuzmkXMveJ7gHn2r7KZPMbBv,Blasters,Orange,Scout,Rose Gold,None,Boxy,Steel,Cryo Bulbs,Black
2431,1.1,3050,60.23,https://magiceden.io/item-details/8wTMFZw3hULAenP19wGWxnqJXvL4qYZoPWPAZUNjBiXb,None,Blue,Issue,Blue,Copper Insignia,Spirit,Steel,Extensions,Black
2433,55,10,0,https://magiceden.io/item-details/7YrDhnuZvUzCqcocHHeZpMomYD9avP9GvuUsYjrGDG6n,Shock Arms,Sage,Workforce,Solana,CryoFlow,Obliterator,Gold,Duel Antennas,Glowing Blue
2439,2,284,84.48,https://magiceden.io/item-details/JDmsrTVoF2BHPcunns1DzPYuWgMjhBviAJhwVCwDihCR,Squidy,Cryo,Quadrid,Yellow,Grid,Aero,Steel,Steel Insignia,Black
2442,0.8,3081,62.86,https://magiceden.io/item-details/69oJEuwabBy62oJgDma3eGnSZcVjL8Wd7QxmBTS3aJsJ,Volt Pack,Black,Workforce,Yellow,CoreBoost,Entry,Steel,Extensions,Black
2449,1.9,1577,69.94,https://magiceden.io/item-details/GjjBtPM6YGuiitRMgW5dEhoAeMuKuYaNUGi6w7ZyLSH2,Squidy,White,Heat Sink,Copper,Grid,Obliterator,Steel,None,Black
2458,32,1382,0,https://magiceden.io/item-details/6sTxUCB2K5H5SVyRHsF9VK7gYJcsithTWfpYzcwSU19M,Sector,Cave,Workforce,Orange,Filter,Boxy,Steel,Extensions,Black
2482,2.5,1792,61.35,https://magiceden.io/item-details/9Rjrp5hM1Ta8pdNjPEk169VLvrFLPQMRERp58LLoJY2E,Staff,Red,Heat Sink,White,Jolt Pack,Bobber,Steel,Copper Insignia,Black
2499,2,1266,72.67,https://magiceden.io/item-details/4du7pfNS5ayhXWHp4eCYMF25uq1qA5hok6Y95WnjnkRS,Zippy,Plum,T3,Copper,Copper Insignia,Entry,Steel,Copper Insignia,Black
2506,1.5,1559,74.15,https://magiceden.io/item-details/5amf7LQPudHtyfaKTYaLypND1W3SxX4u2ZgD5zrqzRxw,Detainer Clamps,Black,Scout,Teal,Facet,Swivel,Steel,Extensions,Black
2530,2,2703,55.4,https://magiceden.io/item-details/8VhGecRkk1nzxJ4Nmhtfm9eVZQXeGRcnZz5XWfgSbH19,Staff,Black,Scout,Blue,Jolt Pack,Cyclops,Steel,Extensions,Black
2539,2,927,76.75,https://magiceden.io/item-details/F7jBprCy9QQPa5bqe17vXETmjV5NYiGVPWLjuGDqioaG,Zippy,Hologram,Vector,Yellow,Copper Insignia,Atomic,Steel,Fins,Black
2542,19,695,0,https://magiceden.io/item-details/6hAHpEEccKbRjhbJRpo7nXFNvzNg9EFe4G61HUqUGvZG,Drip,Forge,Heat Sink,Red,None,Entry,Copper,Intake,Black
2544,3,323,74.01,https://magiceden.io/item-details/CFcrZ4YN2mmkAekKTAiNXZJPB7LVDuknhoHdoPgu5Vsn,Drip,Surface,Breach,White,Facet,Airframe,Steel,Gold Insignia,Black
2552,1.05,2683,65.14,https://magiceden.io/item-details/ERwGjWBWm7AwBV7UwZKSakeaiiL9yPbc9uXMXie62zoZ,Cryo Charger,Black,Workforce,White,Facet,Hydro,Steel,Fins,Black
2574,1.1,3224,58.14,https://magiceden.io/item-details/EJRRmhCfrpRWtAb7dDHbWN22Zrm32tNEh4uDTh4QvZAE,Minis,White,Heat Sink,Black,Filter,Atomic,Steel,Fins,Black
2576,1.3,1404,78.02,https://magiceden.io/item-details/CothrJMeRao3zkimnesmX1eAxYCFVqcDjbDdy9FvE21G,Volt Pack,Solana,Scout,Blue,Facet,Airframe,Steel,Dish,Black
