id,price,moonRank,💎 score (%),storeURL,Background,Edition,Eyes,Head,Mouth,Outfit,Skin
3257,14,6487,23.21,https://magiceden.io/item-details/FzdzHPBZLKgwuE7jtS2xfq9rQJExw738vBk2hSigcdU7,Purple,,Standard,Backwards Cap Camo,Smile,Hoodie Blue,Natural
3342,13.5,3498,43.73,https://magiceden.io/item-details/9Zv4eYfN2aEvcHAqaaJ7TuadX3yZybyNcJD7CDhDhqtE,Alabaster,,Mutated,Bucket Hat Ivory,Drool,Turtleneck Green,Natural
3354,13,3879,46.75,https://solanart.io/nft/4nUnnVriAzvy6Rf597tRLgkNsM21XDHjCDh4pus7oxzN,Mint,,Scar,Backwards Cap Pink,Blep,Hoodie Blue,Natural
3370,44,1889,0,https://solanart.io/nft/3u74VqebhC3ALi7iewtGuphTw5t9vsH6WwoUo26Lpaq4,Emerald,,Standard,Bucket Hat Ivory,Smile,Captain Red,Natural
3375,12,4640,52.8,https://magiceden.io/item-details/51e1rG65fdNNE9NYicKmWJSkziUPot8YdPbHbnsN7RDE,Violet,,Eye Patch,Headband White,Closed,Sweater Light,Natural
3416,40,58,0,https://solanart.io/nft/Dr93786ULehnERLbps387B5i7C8DuJ8vXbFTZLs8Mc8L,Purple,,Wink,Captain,Beard,Shirt Camo,Natural
3459,10.95,6253,54.92,https://magiceden.io/item-details/JAwfB4UG7GUgsczdP7WZhcAf2iVgfEUXSxuowgrVX21z,Amaranth,,Standard,Bucket Hat Blue,Fangs,Scarf Purple,Natural
3553,14.5,1279,45.26,https://magiceden.io/item-details/7haqkkPNLSDPMTeqgoqaPYZjHwam1JhAKwWTB4Zmrfoz,Straw,,Wink,Halo,Smile,Shirt Green,Natural
3666,26,6976,0,https://solanart.io/nft/AU3JPxGRPRc1jtjwDsvT4H97d4ihfexGksPeE3AcABeg,Blue,,Standard,Bucket Hat Green,Fangs,Sweater Green,Natural
3678,12,5130,50.25,https://magiceden.io/item-details/8KSDQ1w7g6eMQo8vjfVGqB29DZNbEZ8BS1GuWEomaKG8,Amaranth,,Blank,Headband Patterned,Smile,Sweater Light,Natural
