id,price,moonRank,💎 score (%),storeURL,Background,Base,Clothing,Eyes,Hat,Mouth
0895,0.6,280,86.47,https://magiceden.io/item-details/2Nw4Qwvw1MwBeM5Rm2TarfrSStsCnvfPBQTh6hyRpVjC,Green,Dracula,Frost,Holo Shades,Purple Panel Cap,Blood
0915,1,785,64.21,https://magiceden.io/item-details/9kpnnJpWk9kzxziXWxbxkhDS3V2SPE9PhsDpVspj8bwK,Rose,Dracula,Blue T-Shirt,Holo Shades,None,Blunt
0926,2.99,64,70.39,https://magiceden.io/item-details/5YV3SKzv6rS2eUUZRQWS4uvcuC9KFnc5PYPWSiAMgHc4,Olive,Dracula,Blue Suit,Aviator Goggles,Purple Panel Cap,Rainbow Grills
0943,2,111,78.59,https://magiceden.io/item-details/CBU4k3BVMLeikRZuD9vgyyS9JUgzcYVg5SmCUFPVrFGu,Blue,Dracula,Shirt and Tie,Blue Shades,Orange Panel Cap,Gold Tooth Right
0945,0.9,959,58.92,https://magiceden.io/item-details/Au65bcmbM2UmnSCYmtWGwhd2YWCh9GXRfGAfBYp6sKJE,Olive,Dracula,Blue Sweater,Purple Shades,Devil Horns,Blood
0956,6.9,875,1.95,https://magiceden.io/item-details/8syG4f6AYLzxheTfnQRe8r7nR5vb9p5Vpy4Y96fKiagN,Olive,Dracula,Bath Robe,Blue Shades,Devil Horns,Blood
0961,0.97,1022,55.94,https://magiceden.io/item-details/DYH9FJazYXBHCsBrH8GuxLqne5hLu7S5uW14k7yKHFf8,Blue,Dracula,Cowboy Shirt V2,Green Shades,None,None
0962,0.3,843,69.11,https://magiceden.io/item-details/GSbTRxrpvtEP5b2cnvqEZRwKRTC8WDug8zLrHgyPk4dr,Violet,Dracula,Prison Suit,Eye Patch,Devil Horns,Blood
0969,0.8,898,62.12,https://magiceden.io/item-details/D8hs3phjFo1N1zogRR2stfBE6cz1yitKFJzfprKTznxk,Rose,Dracula,Standard Suit,None,Green Hat,Blood
0976,0.6,715,70.74,https://magiceden.io/item-details/7dtmRN1C7df4v2VLbwJfN6ptfyKWbWovfn5vw8rkYYK,Forest,Dracula,Cowboy Shirt V2,Green Shades,None,Blood
0980,0.9,829,63.62,https://magiceden.io/item-details/5C82VRZ19iS8L5oYvjaATZzqDKrpkQZYozaHPi4t4GU4,Rose,Dracula,Snow Camo Hoodie,Purple Shades,Purple Panel Cap,None
0991,1.65,1035,48.67,https://magiceden.io/item-details/FcRqWaq7Z9HpFzHVhWAEztG6RQCy5oa4eKfApzGrE3Pb,Violet,Dracula,White Fur Coat,Pit Viper,None,None
0998,0.75,101,91.45,https://magiceden.io/item-details/7zN9XyjL4qW3aeqBcQNPBikoPyDeHq4rsoZKqUdrbCri,Violet,Dracula,Bath Robe,Flying Goggles,King Crown,Gold Tooth Right
1028,0.34,598,77.57,https://magiceden.io/item-details/97ktf6vKn7zmqa5mi75ixbRPFqq4SPogucM3oantVXHu,Blue,Mohawk,Tie Dye T-Shirt,Eye Patch,None,None
1030,1.15,578,70.2,https://magiceden.io/item-details/ETYLhDRv4g9mbaqynoAddrDY62KRqWxYjFp2FPiMgdBF,Violet,Dracula,Tank Top,Eye Patch,Halo,Blood
1093,2,75,79.89,https://magiceden.io/item-details/BaJbD3ZAXQdZhE628kKXBzWEwuWsfJds7xv2AAP8ptTY,Violet,Dracula,Pirate T-shirt,Blindfold,Police Hat,Gold Tooth Left
1098,1.2,15,90.06,https://magiceden.io/item-details/6mkx7vXeATPLKGKrALg2tQBEqC9wSMqp1FZ6YMNQaGsy,Violet,Solana Dracula,Green Camo Hoodie,Aviator Goggles,Halo,None
1103,0.38,863,67.59,https://magiceden.io/item-details/Fa7AkfBhWQWCHYyvzDHHUiiU9uzrv83LZ8Qt5JLdEdLS,Blue,Dracula,Cowboy Shirt V2,Blindfold,Devil Horns,Blood
1105,0.3,373,86.11,https://magiceden.io/item-details/38sDxJsCyaYQu6WsPRpfhW3hwLbi4UieHPMgkwT8K3xj,Green,Dracula,Turtleneck,Red Shades,Black Panel Cap,None
1107,1.45,486,70.52,https://magiceden.io/item-details/ATsXhXu5qhqZMBC43ADncCkZnNUeC9i3CNJuqJfCS9Gn,Blue,Dracula,Snow Camo Hoodie,Blindfold,Devil Horns,Gold Tooth Left
