id,price,moonRank,💎 score (%),storeURL,Background,Clothes,Eyes,Glasses,Hair,Head,Neck,Skin,Smoke,Type,Wing
Sidney Dozier,6.5,819,83.96,https://magiceden.io/item-details/KJZ75wUa4SuHnHSVMQfDYH37ZK5snjt3gZ6nw2Z18Hd,Garden Of Eden,,,,Sugar Daddy Hairstyle,,Solana White Gold,Without Shell,Cigarette,Base,
Benjamin Bradbury,6.5,1412,76.83,https://magiceden.io/item-details/6fAciVMY7h4nEpy3DyfN4La2B7o8AMiThyZ6VVBGX8z3,Garden Of Eden,Thug,,Vintage Sunglasses,,,Yee Haw,Base,Cigarette,Base,
Taylor Bland,6.5,2911,58.82,https://magiceden.io/item-details/AaLAstEpgXhzW3bAN6devY8UwL2pAHhBfYsBmm1ahT6G,Garden Of Eden,,,Nerd One's Glasses,,,,Base,,Base,
Gale Grimes,6.5,2473,64.09,https://magiceden.io/item-details/Bgaz5R78HwHsSU8itNzhZgCSkLTj6iijc7GQUjBjsrLg,Grey,White Collar Shirt,,Deal With It,,,Retro Pendant,Base,,Base,
Koltyn Suggs,6.6,1474,75.09,https://magiceden.io/item-details/7SFswzuuvEceR88eGTei6WPmgnEhNhqiwKrbfPbkuCbj,Light Blue,San Andreas,,,,,Yee Haw,Without Shell,I Want My Cigar,Base,
Yong Devine,6.7,2344,63.64,https://magiceden.io/item-details/4gM6SFoXDhtjfCeJiQcPfstG5LGERHuFe7JGzQMX23rU,Cerulean Mornings,,,Sunnies On,,Pirate's Crown,Retro Pendant,Base,,Base,
Alvin Goble,6.7,2338,63.71,https://magiceden.io/item-details/9moQy4qYwV5H5afTB7gcvZnNiYJYcbYXKULj9Qqgu5PR,Pink,White Collar Shirt,,,,Pirate's Crown,,Base,Cigarette,Base,
Ramses Clark,6.8,1508,72.68,https://magiceden.io/item-details/Unr7GD3ud6cihnuey8JZ4cz8FctW6to2XjfB1ivXqU5,Purple Frenzy,Casual Brown Vest,,,Sugar Daddy Hairstyle,,,Dark Skin,,Base,
Yousuf Livingston,6.8,822,80.92,https://magiceden.io/item-details/58z5JJ14scoMiay3P3nTRyjWrgsL9bUdJfWqgFW2cfBK,Cerulean Mornings,White Collar Shirt,,Sunnies On,,Purple Ghetto Bandana,Retro Pendant,Base,Cigarette,Base,
Angad Foote,6.8,1564,72.01,https://magiceden.io/item-details/DEJ6LeM9difpS7xK5Fd2CtAxVP17mct3ZGSPwAKTKBeZ,Grey,Thug,Devil's Spark Eyes,,,,,Base,Cigarette,Base,
Ravi Ahmed,6.8,2371,62.31,https://magiceden.io/item-details/HtpCVvxmGYTa7MXETVhEn8HDVC23ZV5Q8CZ7iFccVDvE,Light Blue,,,,,Solana Bandana,Retro Pendant,Base,Cigarette,Base,
Richie Wayne,6.8,1748,69.8,https://magiceden.io/item-details/6y6BpR9VsbUF1pKHthN6ZcBaQz25jJs7UPwitjw9iCL1,Old White Bricks,Abstract,,Deal With It,,,Retro Pendant,Base,,Base,
Pearson Lamar,6.8,2550,60.16,https://magiceden.io/item-details/8LxfRmhygFcqwKyuUKkbcYVVnpasVCBsLbjHfxziWzNW,Orange Fever,,Devil's Spark Eyes,,,,,Base,Cigarette,Base,
Abraham Jonas,6.8,2130,65.21,https://magiceden.io/item-details/Fs5ab4WGa5CtP3uQXb3GRgGuMk4n6A5MZnnWzTJ1ABFH,Cerulean Mornings,Forest Green,,Vintage Sunglasses,,,Yee Haw,Base,,Base,
Camdyn Creamer,6.8,2248,63.79,https://magiceden.io/item-details/AhNBXTd8WUCUDZDhhwPyZevUUSBvhP8KxXVtAaAwoKWK,Grey,,,Vintage Sunglasses,Sugar Daddy Hairstyle,,Yee Haw,Base,,Base,
Baylen Horan,6.8,2569,59.93,https://magiceden.io/item-details/69438k5DKc4gmakJo2VDpJJwHzcj6tSJaCozoiPLEUrF,Grey,Oldschool Tee,,,,Snapback,,Base,,Base,
Elvin Burleson,6.83,2761,57.32,https://magiceden.io/item-details/3MNTYrVMrHHmR6NSLPW3whTDgkHaWBxPfS6141A2UNSS,Cerulean Mornings,,,,Sugar Daddy Hairstyle,,Overpriced Silver Pendant,Base,,Base,
Lenin Conklin,6.9,2302,62.14,https://magiceden.io/item-details/CdxDDqXsnLMHLps4k1hVYkdg1pB9fm6KKy9TcX1cAi7d,Pink,,,Sunnies On,,,,Cerulean,Cigarette,Base,
Konnor Ruggiero,6.9,1875,67.27,https://magiceden.io/item-details/F3Myn5zTJPjcQMcbeggsr5JDFPqVcPVtw2xjhK5NquXB,Orange Fever,Casual Brown Vest,,,,Pirate's Crown,,Base,Vape,Base,
Renato Freitas,6.9,3038,53.3,https://magiceden.io/item-details/3Xc88irdVMRs9vgxf65EPkZ4YpfMGcboLqWzH5NGmuNk,Burgundy Desire,,,,,,Yee Haw,Dark Skin,,Base,
Ivory Hobson,7,2591,57.67,https://magiceden.io/item-details/6HNbVPfcPn3U5AnwBVswJ8UBE6LWe2jLHp7UocYKfcQj,Pink,,,Pit Viper,Gentlemen's Hairstyle,,,Base,,Base,
Toren Doty,7,3032,52.37,https://magiceden.io/item-details/pCFuNNFLWaHPh1vfd2HAB73r9KfykVnhoAwyYDgAZqd,Grey,San Andreas,,,,,,Base,Cigarette,Base,
Ameen Arroyo,7,2727,56.03,https://magiceden.io/item-details/5vtB4iHf12Cd9tjG4iV6JLb6TmiLbF6s4Qn4kgARBETB,Grey,,,Sunnies On,,,,Blood Vessel,,Base,
Coleman Newsom,7.2,2099,61.58,https://magiceden.io/item-details/7oj9T8nUxVtKCz2V2P1QSoceS3Le1mGq84Bq3XGd354c,Castle In The Sky,Alternative Rock,,,,,Overpriced Silver Pendant,Base,,Base,
Reese Shirley,7.48,1188,69.73,https://magiceden.io/item-details/6BxkXyyC2JiffWz1PkY7ToMkjmeyVZabTM7rqdfdc2rL,Burgundy Desire,Classic Brown Vest,,Eye Patch,,,Retro Pendant,Without Shell,,Base,
Pavel German,7.49,1192,69.58,https://magiceden.io/item-details/DYNG9Anh4E93ERKSMCK7d4SQiMmJUF6MB6JQ56AsJM99,Light Blue,Thrasher,,,,Black Ghetto Bandana,Yee Haw,Base,I Want My Cigar,Base,
Tomas Wharton,7.5,303,80.16,https://magiceden.io/item-details/CBnVmsfVBMcY32gWZyrGC8TZoHEoGuqeeCMvpt9byTE8,Purple Frenzy,Pickle Rick,,,,White Ghetto Bandana,Retro Pendant,Dark Skin,I Want My Cigar,Base,
Griffin Clemons,7.5,856,73.51,https://magiceden.io/item-details/DA8Ce1CXKriAJ6vHw6f1hTKcxbiN7SQuqEayVUf9oFpD,Pink,Forest Green,,Vintage Sunglasses,Gentlemen's Hairstyle,,Silver Pendant,Base,,Base,
Zach Gutierrez,7.5,3122,46.29,https://magiceden.io/item-details/64mxo7t8WGtxHM67wt4TfBn2impPZdjjEXjwGDJxXDME,Grey,,,,,,Yee Haw,Base,Vape,Base,
Marco Mclemore,7.5,2164,57.8,https://magiceden.io/item-details/AgJniTffxoJjSqiVuG4j8X1cqrqnjou3r8TGkURJKgTt,Old White Bricks,Thrasher,,,,Red Ghetto Bandana,,Base,,Base,
Lipa Latham,7.5,2202,57.34,https://magiceden.io/item-details/F2RQ9DfJZ1dWuc2YrspcHEwud4Cmcmx7HAf28MPLb2VV,Grey,,,,Sugar Daddy Hairstyle,,Yee Haw,Without Shell,,Base,
